-----
{
 "description": "The table refers to block wise distribution of Deep Tubewells by status . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.5.csv", 
 "title": "Download CSV for Block wise Distribution of Deep Tubewells by Status for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.5.csv"
}
-----
-----
{
 "description": "The table refers to district wise distribution of Deep Tubewells by status . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.5.csv", 
 "title": "Download CSV for District wise Distribution of Deep Tubewells by Status for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.5.csv"
}
-----
"State","District","Tubewells in use","Tubewell not in use - Temporary","Tubewells not in use - Dried up","Tubewell not in use - Destroyed","Tubewells not in use - Others","Total - Not in use","Grand Total (Not in use + In use)"
"ANDHRA PRADESH","ADILABAD",75,17,0,0,4,21,96
"ANDHRA PRADESH","ANANTHAPUR",NA,NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR",5363,78,16,6,3,103,5466
"ANDHRA PRADESH","CUDDAPAH",7299,450,124,67,20,661,7960
"ANDHRA PRADESH","EAST GODAVARI",2219,63,29,6,0,98,2317
"ANDHRA PRADESH","GUNTUR",577,90,0,0,0,90,667
"ANDHRA PRADESH","HYDERABAD",NA,NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","KARIMNAGAR",76,25,3,8,5,41,117
"ANDHRA PRADESH","KHAMMAM",482,47,6,2,0,55,537
"ANDHRA PRADESH","KRISHNA",830,17,1,0,0,18,848
"ANDHRA PRADESH","KURNOOL",1515,76,3,0,0,79,1594
"ANDHRA PRADESH","MAHABOOB NAGAR",83,25,1,0,0,26,109
"ANDHRA PRADESH","MEDAK",57,6,0,0,0,6,63
"ANDHRA PRADESH","NALGONDA",8,0,0,0,0,0,8
"ANDHRA PRADESH","NELLORE",155,54,4,0,0,58,213
"ANDHRA PRADESH","NIZAMABAD",NA,NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","PRAKASAM",175,3,0,0,0,3,178
"ANDHRA PRADESH","RANGA REDDY",86,0,0,0,0,0,86
"ANDHRA PRADESH","SRIKAKULUM",37,1,0,2,2,5,42
"ANDHRA PRADESH","VIJAYA NAGARAM",NA,NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM",18,0,0,0,0,0,18
