-----
{
 "description": "The table refers to block wise construction of Deep Tubewells over the years . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.1.csv", 
 "title": "Download CSV for Block wise Construction of Deep Tubewells over the years for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.1.csv"
}
-----
-----
{
 "description": "The table refers to district wise culturable command area and potential created through Deep Tubewells . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.13.csv", 
 "title": "Download CSV for District wise Culturable Command Area and Potential Created through Deep Tubewells for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.13.csv"
}
-----
"State","District","Culturable Command Area","Irrigation Potential Created - Kharif","Irrigation Potential Created - Rabi","Irrigation Potential Created - Perennial","Irrigation Potential Created - Others","Total - Irrigation Potential Created"
"ANDHRA PRADESH","ADILABAD",375,311,125,2,0,438
"ANDHRA PRADESH","ANANTHAPUR",NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR",7357,5696,4193,21,10,9920
"ANDHRA PRADESH","CUDDAPAH",18965,16266,12701,702,340,30009
"ANDHRA PRADESH","EAST GODAVARI",11674,9183,6091,2802,155,18231
"ANDHRA PRADESH","GUNTUR",1171,1171,390,0,0,1561
"ANDHRA PRADESH","HYDERABAD",NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","KARIMNAGAR",877,878,741,19,0,1638
"ANDHRA PRADESH","KHAMMAM",3586,2537,1049,166,4,3756
"ANDHRA PRADESH","KRISHNA",4079,2363,2088,605,545,5601
"ANDHRA PRADESH","KURNOOL",3818,3283,2931,3,0,6217
"ANDHRA PRADESH","MAHABOOB NAGAR",131,109,90,2,0,201
"ANDHRA PRADESH","MEDAK",132,64,29,51,0,144
"ANDHRA PRADESH","NALGONDA",9,9,8,0,0,17
