-----
{
 "description": "The table shows the Pregnant Women Following Advices Regarding Services/Activities about Mother Care Discussed During NHE (%). It is observed that the best performing states have been Andhra Pradesh, Kerala and Himachal Pradesh specifically on factors such as immunization during pregnancy, ...", 
 "file_name": "ICDS_Table7.19.xls", 
 "title": "Download XLS for Pregnant Women Following Advices Regarding Services/Activities about Mother Care Discussed During NHE (%)", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table7.19.xls"
}
-----
"States/UTs","About immunization during pregnancy","About institutional delivery","Precautions in case of home delivery","About feeding practices during pregnancy and lactating period","About correct posture during pregnancy","About correct posture during breast feeding","About self care & health (cleanliness & hygiene)","About diseases/ illness","About nipple hygiene","About family planning"
"Andhra Pradesh",57.6,57.1,48.4,57.6,57.3,56.7,58.4,57.9,54.8,39.9
"Assam",10.2,10.2,9.3,9.3,11.7,10.5,8.1,9.0,8.4,12.3
"Bihar",8.5,9.8,9.8,9.8,11.0,11.0,9.6,12.0,9.6,12.0
"Chhattisgarh",61.0,48.7,49.2,21.0,24.9,24.5,37.4,55.3,11.5,4.1
"Gujarat",42.7,32.6,33.4,30.0,21.3,20.6,36.8,32.3,31.5,28.7
"Haryana",32.5,32.5,32.5,32.5,31.7,32.5,31.7,31.7,31.7,30.9
"Himachal Pradesh",51.1,50.2,43.7,43.7,50.2,50.2,51.1,50.2,39.8,50.2
"Jammu and Kashmir",11.8,11.8,11.8,11.8,11.8,11.4,11.8,11.8,11.4,11.4
"Jharkhand",33.8,26.7,31.8,21.1,26.8,26.5,21.6,25.3,21.5,24.1
"Karnataka",20.6,20.2,18.4,19.7,20.2,20.6,19.4,21.0,15.3,20.2
"Kerala",51.2,50.2,9.6,51.2,51.2,51.2,51.2,48.1,50.6,46.2
"Madhya Pradesh",20.8,20.8,20.8,20.5,20.5,20.8,20.8,20.8,20.5,20.5
"Maharashtra",47.7,44.6,40.2,35.0,41.3,43.2,40.1,34.9,39.0,38.5
"Orissa",45.0,39.9,27.5,34.3,40.1,34.4,37.8,38.9,29.0,21.6
"Punjab",11.9,11.9,11.9,10.1,7.8,11.9,7.4,9.2,10.1,10.1
"Rajasthan",22.6,16.8,17.6,21.9,20.0,16.1,21.7,17.4,11.4,15.7
"Tamil Nadu",37.2,35.8,34.1,34.5,36.9,34.2,36.9,37.3,34.8,33.6
"Uttar Pradesh",10.2,7.6,5.9,7.9,7.0,6.4,7.7,6.8,7.2,8.6
"Uttaranchal",13.4,9.5,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4
"West Bengal",35.6,34.6,29.8,19.6,23.3,18.9,17.5,26.5,17.0,25.4
"Delhi",14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2
"Chandigarh",82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1
"Arunachal Pradesh",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Manipur",19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,12.7
"Meghalaya",10.1,10.1,10.1,6.3,2.5,2.5,2.5,6.3,2.5,10.1
"Mizoram",10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
"Nagaland",0.0,0.0,7.9,7.9,0.0,0.0,0.0,0.0,0.0,0.0
"Tripura",5.6,3.8,3.8,3.8,3.0,3.8,3.8,2.1,3.0,22.9
"Sikkim",69.4,46.1,46.1,10.3,0.0,0.0,21.8,33.3,21.8,42.3
"Dadar & Nagar Haveli",45.7,45.7,31.5,45.7,31.5,31.5,45.7,45.7,45.7,45.7
"Daman & Diu",40.3,40.3,40.3,40.3,40.3,40.3,40.3,40.3,40.3,40.3
"Goa",30.7,30.7,30.7,18.2,18.2,18.2,30.7,30.7,18.2,30.7
"Puducherry",5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
"Anadaman & Nicobar Island",4.6,4.6,4.6,4.6,4.6,4.6,1.9,0.0,0.0,4.6
"Total",26.6,24.0,21.6,21.4,22.3,21.4,22.5,23.0,19.7,19.7
