-----
{
 "description": "This data contains details of various seminars held at National Institute of Biomedical Genomics (NIBMG) 2011.", 
 "file_name": "Seminars_Held_at_NIBMG_2011.xls", 
 "title": "Download XLS for Seminars Held at National Institute of Biomedical Genomics 2011", 
 "url": "http://data.gov.in/sites/default/files/Seminars_Held_at_NIBMG_2011.xls"
}
-----
"Sl. No.","Date","Speaker"
1.0,40900.0,"Dr Nilanjan Chatterjee, Chief of the Biostatistics Branch, Division of Cancer Epidemiology and Genetics, National Cancer Institute, USA "
2.0,40893.0,"Dr. G R Chandak, Centre for Cellular and Molecular Biology, Hyderabad"
3.0,40882.0,"Professor Mark Stoneking, Dept of Evolutionary Genetics, Max Plank Institute For Evolutionary Anthropology, Germany"
4.0,"27.10.2011","Dr. Sudipto Ray, Quadra Medical Services Pvt Ltd, Kolkata"
5.0,40785.0,"Dr. Deborah Cunninghame Graham, Department of Medical and Molecular Genetics, Division of Genetics and Molecular Medicine, King's College London. School Of Medicine, UK"
6.0,40780.0,"Dr. Lakshmi Muthuswamy, Ontario Institute for Cancer Research, Canada"
7.0,40762.0,"Professor Eric Green, Director, National Human Genome Research Institute, National Institutes Of Health, USA"
8.0,40751.0,"Dr. Ananda K. Sarkar, Staff Scientist & Ramalingaswami Fellow, National Institute for Plant Genome Research, New Delhi"
9.0,40749.0,"Prof. Tapas K. Kundu, Transcription and Disease Laboratory,  Molecular Biology and Genetics Unit, Jawaharlal Nehru Centre for Advanced Scientific Research, Bangalore"
10.0,40744.0,"Dr.Shreemanta K. Parida, CEO, Vaccine Grand Challenge Programme, Dept. of Biotechnology, New Delhi"
11.0,40744.0,"Professor David Cox, Senior Vice-President & C.S.O. Biotherapeutics and Innovation Center, Pfizer Inc., USA"
12.0,40688.0,"Professor Himadri Datta, Regional Institute of Ophthalmology, Calcutta Medical College, Kolkata"
13.0,40679.0,"Professor K. Vijay Raghava, Director, National Centre for Biological Sciences, Tata Institute of Fundamental Research Bangalore"
14.0,40638.0,"Dr. Anbupalam Thalamuthu, Human Genetics Division, Genome Institute of Singapore, Singapore"
15.0,40661.0,"Dr.Bhuwnesh Agrawal, Chief Managing Director, Roche Diagnostics India Pvt. Ltd., Mumbai"
16.0,40658.0,"Professor Mike Turner, University Of Glasgow, UK"
17.0,40658.0,"Professor Douglas Young, UK"
18.0,40646.0,"Dr. Sanjay Bhattacharya, Consultant Microbiologist, Tata Medical Centre, Kolkata"
