-----
{
 "description": "This table shows the Pattern of Electricity Consumption (Utilities) in India. It gives the percentage share of electricity consumption in each Utility area (Domestic, Commercial, Industry, Traction, Agriculture and others) for the years 2004-05 to 2011-12.", 
 "file_name": "tab124.xls", 
 "title": "Download XLS for Pattern of Electricity Consumption (Utilities)(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab124.xls"
}
-----
1.24,"Pattern of Electricity Consumption (Utilities)","","","","",""
"","","","","","","(per cent)"
"Year","Domestic","Commercial","Industry","Traction","Agriculture","Others"
1.0,2.0,3.0,4.0,5.0,6.0,7.0
"1950-51",12.6,7.5,62.6,7.4,3.9,6.0
"1960-61",10.7,6.1,69.4,3.3,6.0,4.5
"1970-71",8.8,5.9,67.6,3.2,10.2,4.3
"1980-81",11.2,5.7,58.4,2.7,17.6,4.4
"1981-82",11.6,5.8,58.8,2.8,16.8,4.2
"1982-83",12.7,6.1,55.4,2.8,18.6,4.4
"1983-84",12.9,6.4,55.8,2.6,17.8,4.5
"1984-85",13.6,6.1,55.2,2.5,18.4,4.2
"1985-86",14.0,5.9,54.5,2.5,19.1,4.0
"1986-87",14.2,5.7,51.7,2.4,21.7,4.3
"1987-88",15.2,6.1,47.5,2.5,24.2,4.5
"1988-89",15.5,6.2,47.1,2.3,24.3,4.6
"1989-90",16.9,5.4,46.0,2.3,25.1,4.3
"1990-91",16.8,5.9,44.2,2.2,26.4,4.5
"1991-92",17.3,5.8,42.0,2.2,28.2,4.5
"1992-93",18.0,5.7,40.9,2.3,28.7,4.4
"1993-94",18.2,5.9,39.6,2.3,29.7,4.3
"1994-95",18.5,6.1,38.6,2.3,30.5,4.0
"1995-96",18.7,6.1,37.8,2.3,30.9,4.2
"1996-97",19.7,6.2,37.2,2.4,30.0,4.5
"1997-98",20.3,6.5,35.4,2.3,30.8,4.7
"1998-99",21.0,6.4,33.9,2.4,31.4,4.9
"1999-00",22.2,6.3,34.8,2.6,29.2,4.9
"2000-01",23.9,7.1,34.0,2.6,26.8,5.6
"2001-02",24.7,7.5,33.3,2.5,25.3,6.7
"2002-03",24.6,7.5,33.9,2.6,24.9,6.5
"2003-04",24.9,7.8,34.5,2.6,24.1,6.1
"2004-05",24.8,8.1,35.6,2.5,22.9,6.1
"2005-06",24.3,8.7,36.8,2.4,21.9,5.9
"2006-07",24.4,8.8,37.6,2.4,21.7,5.1
"2007-08",24.0,9.2,37.5,2.2,20.6,6.5
"2008-09",24.7,10.2,37.1,2.2,20.4,5.4
"2009-10",24.9,10.4,36.7,2.2,21.0,4.8
"2010-11",25.17,10.36,36.47,2.16,20.48,5.36
"Source: Ministry of power/Central Electricity Authority","","","","","",""
