-----
{
 "description": "The table refers to Block wise Distribution of Shallow Tubewells in use and their Potential Created/ Utilised according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbdistr2.16.csv", 
 "title": "Download CSV for Blockwise Distribution of Shallow Tubewells in use and their Potential Created/ Utilised according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/shltbdistr2.16.csv"
}
-----
-----
{
 "description": "The table refers to Block wise Distribution of Deep Tubewells according to The Farmers holding size. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwldistr3.3.csv", 
 "title": "Download CSV for Blockwise Distribution of Deep Tubewells according to The Farmers holding size", 
 "url": "http://data.gov.in/sites/default/files/dptbwldistr3.3.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Marginal (0-1 ha),Small (1-2 ha),Medium (2-10 ha),Big ( > 10 ha),Total
ANDHRA PRADESH,ADILABAD,CHENNUR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,JAIPUR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,0,1,11,9,21
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,SIRPUR (T),0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,28,86,25,0,139
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,2,3,1,0,6
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,0,0,0,1,1
ANDHRA PRADESH,CHITTOOR,CHITTOOR,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,1,3,2,0,6
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,2,4,2,0,8
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,GUDIPALA,0,45,55,0,100
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,29,25,11,1,66
ANDHRA PRADESH,CHITTOOR,IRALA,4,5,6,0,15
ANDHRA PRADESH,CHITTOOR,K V P PURAM,0,0,2,0,2
ANDHRA PRADESH,CHITTOOR,KALAKADA,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,KALIKIRI,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,KUPPAM,1,37,20,0,58
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,8,16,19,0,43
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,7,14,32,6,59
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PAKALA,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PALAMANER,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,3,0,0,0,3
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,1,0,0,0,1
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PENUMURU,14,12,3,0,29
ANDHRA PRADESH,CHITTOOR,PICHATUR,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PILERU,1,3,9,0,13
ANDHRA PRADESH,CHITTOOR,PULICHERLA,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PUNGANUR,0,0,0,4,4
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,0,0,0,0,0
