-----
{
 "description": "The table refers to District wise Distribution of Surface Lift Schemes(on Drain/Canal) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.18.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Lift Schemes(on Drain/Canal) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.18.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"ANDAMAN & NICOBARS","ANDAMAN",0,22,22,0,79,79,0,30,30
"ANDAMAN & NICOBARS","NICOBAR",0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","ADILABAD",11,26,37,11,62,73,9,62,71
"ANDHRA PRADESH","ANANTHAPUR",0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR",0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH",0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","EAST GODAVARI",3,42,45,364,747,1111,364,743,1107
"ANDHRA PRADESH","GUNTUR",38,406,444,3190,5262,8453,2359,4815,7173
"ANDHRA PRADESH","KARIMNAGAR",0,12,12,0,38,38,0,34,34
"ANDHRA PRADESH","KHAMMAM",1,97,98,101,162,263,101,132,233
"ANDHRA PRADESH","KRISHNA",8,4,12,1398,1655,3053,1267,923,2190
"ANDHRA PRADESH","KURNOOL",1,83,84,485,455,940,300,348,648
"ANDHRA PRADESH","MAHABOOBNAGAR",6,0,6,1802,0,1802,1492,0,1492
"ANDHRA PRADESH","MEDAK",0,52,52,0,123,123,0,106,106
"ANDHRA PRADESH","NALGONDA",0,49,49,0,1215,1215,0,1138,1138
"ANDHRA PRADESH","NELLORE",2,393,395,85,906,991,4,857,861
"ANDHRA PRADESH","NIZAMABAD",0,82,82,0,234,234,0,216,216
"ANDHRA PRADESH","PRAKASAM",7,53,60,2147,3178,5325,1716,1323,3039
"ANDHRA PRADESH","RANGAREDDY",0,3,3,0,15,15,0,15,15
"ANDHRA PRADESH","SRIKAKULAM",0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","VISAKHAPATNAM",0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","VIZIANAGARAM",1,0,1,49,0,49,0,0,0
"ANDHRA PRADESH","WARANGAL",0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","WEST GODAVARI",3,49,52,2712,3091,5803,2311,3083,5394
"ARUNACHAL PRADESH","DIBANG VALLEY",2,0,2,32,0,32,32,0,32
"ARUNACHAL PRADESH","LOHIT",0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","TIRAP",0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","UPPER SUBANSIRI",1,0,1,6,0,6,2,0,2
"ARUNACHAL PRADESH","WEST KAMENG",0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","WEST SIANG",0,0,0,0,0,0,0,0,0
"ASSAM","BARPETA",4,0,4,440,0,440,440,0,440
"ASSAM","BONGAIGAON",0,82,82,0,142,142,0,135,135
"ASSAM","CACHAR",0,4,4,0,57,57,0,38,38
"ASSAM","DARRANG",0,0,0,0,0,0,0,0,0
"ASSAM","DHEMAJI",0,0,0,0,0,0,0,0,0
"ASSAM","DHUBRI",0,0,0,0,0,0,0,0,0
"ASSAM","DIBRUGARH",0,0,0,0,0,0,0,0,0
"ASSAM","GOALPARA",0,0,0,0,0,0,0,0,0
"ASSAM","GOLAGHAT",0,0,0,0,0,0,0,0,0
"ASSAM","HAILAKANDI",0,0,0,0,0,0,0,0,0
"ASSAM","JORHAT",0,0,0,0,0,0,0,0,0
"ASSAM","KAMRUP",0,1,1,0,7,7,0,7,7
"ASSAM","KARBIANGLONG",0,1,1,0,144,144,0,144,144
"ASSAM","KARIMGANJ",0,0,0,0,0,0,0,0,0
"ASSAM","KOKRAJHAR",0,3,3,0,86,86,0,85,85
"ASSAM","LAKHIMPUR",0,0,0,0,0,0,0,0,0
"ASSAM","MORIGAON",0,2,2,0,201,201,0,201,201
"ASSAM","NAGOAN",3,0,3,72,0,72,72,0,72
"ASSAM","NALBARI",0,8,8,0,23,23,0,18,18
"ASSAM","NC HILLS",0,0,0,0,0,0,0,0,0
"ASSAM","SIBSAGAR",0,0,0,0,0,0,0,0,0
"ASSAM","SONITPUR",0,25,25,0,29,29,0,0,0
"ASSAM","TINSUKIA",22,3,25,1698,4,1702,1698,4,1702
"BIHAR","AURANGABAD",9,21,30,678,110,788,161,86,246
"BIHAR","BANKA",51,15,66,921,88,1009,823,77,899
"BIHAR","BEGUSARAI",8,1,9,474,30,504,451,23,474
"BIHAR","BHAGALPUR",9,1,10,217,12,229,151,5,156
"BIHAR","BHOJPUR",0,0,0,0,0,0,0,0,0
"BIHAR","BUXAR",0,0,0,0,0,0,0,0,0
"BIHAR","DARBHANGA",2,0,2,40,0,40,16,0,16
"BIHAR","EAST CHAMPARAN",5,0,5,1334,0,1334,1219,0,1219
"BIHAR","GAYA",1,7,8,12,28,40,12,28,40
