-----
{
 "description": "It provides details of direct transfer of Central Plan Assistance to State/District level autonomous bodies/implementing agencies.", 
 "file_name": "stat18.xls", 
 "title": "Download XLS for Direct Transfer of Central Plan Assistance to State/District level(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/ub2013-14/eb/stat18.xls"
}
-----
"","","","STATEMENT- 18","","","",""
"","","","DIRECT TRANSFER OF CENTRAL PLAN ASSISTANCE TO STATE/DISTRICT LEVEL ","","","",""
"","","","AUTONOMOUS BODIES/IMPLEMENTING AGENCIES","","","",""
"","","","","","",""," (In crores of Rupees)"
"","","","","","","",""
"Sl.No.","Name of Ministry/Department/Scheme","","Major","Actuals","BE","RE","BE"
"","","","Head","2011-12","2012-13","2012-13","2013-14"
"","","","","(Provisional)","","",""
"","REVENUE SECTION","","","","","",""
1.0,"Ministry of Agriculture","","",4221.87,5824.36,4975.99,6557.97
"","Department of Agriculture and Co-operation","","",3963.85,5458.5,4696.0,6259.43
"","(i)","Development and Strengthening of Seed ","","","","",""
"","","Infrastructure Facilities for Production ","","","","",""
"","","and Distribution of Seeds",2401.0,113.92,125.0,62.45,99.0
"","(ii)","Support to State Extension Services",2401.0,240.28,600.0,504.0,549.95
"","(iii)","Studies of input for Agriculture Economic ","","","","",""
"","","Policy and Development",2401.0,52.6,57.6,44.65,67.48
"","(iv)","National Horticulture Mission",2401.0,1049.99,1350.0,1104.04,1600.0
"","(v)","Micro Irrigation",2401.0,1227.0,1500.0,1217.29,1693.0
"","(vi)","National Food Security Mission",2401.0,1280.06,1825.7,1763.57,2250.0
"","(vii)","National Seeds Mission",2401.0,"...",0.2,"...","..."
"","Department of Animal Husbandry,Dairying and Fisheries","","",258.02,365.86,279.99,298.54
"","(i)","National Project on Cattle and Buffalo Breeding",2403.0,151.91,160.26,97.66,115.94
"","","",2552.0,"...",20.0,20.0,19.0
"","(ii)","Livestock Insurance",2403.0,38.09,45.0,45.0,52.0
"","","",2552.0,"...",5.0,5.0,8.0
"","(iii)","Special Package for 31 suicide prone  Districts",2403.0,8.88,26.0,22.43,5.11
"","","",2404.0,4.24,6.0,6.0,9.89
"","(iv)","Assistance to Co-operatives",2404.0,9.0,10.0,6.22,5.0
"","(v)","Integrated Dairy Development  Project",2404.0,45.9,43.6,44.02,42.6
"","","",2552.0,"...",10.0,10.0,11.0
"","(vi)","Strengthening infrastructure for quality and ","","","","",""
"","","Clean Milk Production ",2404.0,"...",36.0,19.66,26.0
"","","",2552.0,"...",4.0,4.0,4.0
"","","","","","","",""
2.0,"Ministry of Home Affairs","","",178.33,"...","...",425.84
"","(i)","Modernisation of Police Forces",2055.0,178.33,"...","...",425.84
"","","","","","","",""
3.0,"Ministry of Environment and Forests","","",303.0,318.15,218.15,318.15
"","National Afforestation Programme","",2406.0,303.0,318.15,218.15,318.15
"","","","","","","",""
4.0,"Ministry of Health and Family Welfare","","",10533.86,13405.72,10316.74,16074.11
"","Department of Health and Family Welfare","","",9622.22,12138.33,9321.13,14766.21
"","(i)","National Vector Borne Disease Control Programme",2210.0,157.38,200.0,217.0,"..."
"","(ii)","National Leprosy Eradication Programme",2210.0,31.33,39.5,29.0,"..."
"","(iii)","National Tuberculosis Control Programme",2210.0,284.75,378.0,325.0,"..."
"","(iv)","National Blindness Control Programme",2210.0,116.75,273.93,220.0,54.0
"","(v)","National Integrated Diseases Surveillance Programme",2210.0,21.97,48.0,30.72,"..."
"","(vi)","Flexible Pool for State PIPs",2211.0,8696.05,10778.21,8065.7,"..."
"","(vii)","Pulse Polio Immunization",2211.0,301.99,410.69,410.69,"..."
"","(viii)","Area Projects",2211.0,12.0,10.0,23.02,10.02
"","(ix)","NRHM-RCH Flexible Pool",2211.0,"...","...","...",11510.69
"","(ix)","National Urban Heallth Mission - Flexible Pool",2211.0,"...","...","...",1.0
"","(xi)","Flexible Pool for Communicable Diseases",2210.0,"...","...","...",683.5
"","(xii)","Flexible pool for Non-communicable Diseases, ","","","","",""
"","","Injury & Trauma",2210.0,"...","...","...",672.0
"","(xiii)","National Mental Health Programme",2210.0,"...","...","...",130.0
"","(xiv)","Assistance to State for Capacity Building ","","","","",""
"","","(Trauma Care)",2210.0,"...","...","...",80.0
"","(xv)","National Program for Control of Cancer, ","","","","",""
"","","Diabetes, CVD & Stroke",2210.0,"...","...","...",275.0
"","(xvi)","Heallth care  for the Elderly",2210.0,"...","...","...",95.0
"","(xvii)","Strengthening of State drug regulatory system",2210.0,"...","...","...",100.0
"","(xviii)","Strenthening of State Food regulatory system",2210.0,"...","...","...",55.0
"","(xix)","Human Resources for Health",2210.0,"...","...","...",1100.0
"","","","","","","",""
"","Department of AIDS Control ","","",746.91,856.62,833.77,928.0
"","","National Aids Control Programme ",2210.0,746.91,856.62,833.77,928.0
"","","","","","","",""
"","Department of AYUSH","","",164.73,410.77,161.84,379.9
"","(i)","Development and Upgradation of AYUSH ","","","","",""
"","","Institutions/Colleges",2210.0,21.0,49.54,14.0,45.0
"","","",2552.0,"...",5.46,1.0,5.0
"","(ii)","Quality Control of  ASU&H Drugs",2210.0,1.2,10.0,2.0,8.0
"","(iii)","Public -private partnership for setting up of  ","","","","",""
"","","Speciality Clinics/IPDs in Technical Hospitals",2210.0,0.03,0.57,"...",0.5
"","(iv)"," National Mission on Medicinal  Plants",2210.0,49.07,58.0,48.84,62.0
"","","",2552.0,"...",7.0,6.0,8.0
"","(v)","Hospitals & Dispensaries (Under NRHM including ","","","","",""
"","","AYUSH flexipool) {Erstwhile Development of ","","","","",""
"","","AYUSH Hospital & Dispensaries and Mainstreaming ","","","","",""
"","","of AYUSH under NRHM}",2210.0,93.43,257.0,84.0,212.0
"","","",2552.0,"...",23.0,6.0,28.0
"","(vi)","AYUSH Gram ",2210.0,"...",0.1,"...",5.6
"","(vii)","National AYUSH Health Program ",2210.0,"...",0.1,"...",5.7
"","(viii)","National Mission on AYUSH",2210.0,"...","...","...",0.1
"","","","","","","",""
5.0,"Ministry of Human Resource Development","","",24947.71,30338.13,28008.47,32817.63
"","Department of School Education and Literacy","","",24947.71,30338.13,28008.47,32817.63
"","(i)","Mahila Samakhya ",2202.0,49.92,59.75,59.75,57.75
"","","",2552.0,"...","...","...",2.0
"","(ii)","Sarva Shiksha Abhiyan",2202.0,20841.47,22965.97,21294.82,24481.1
"","","",2552.0,"...",2519.36,2315.53,2725.8
"","(iii)","Adult Education and Skill Development",2202.0,468.12,528.99,376.97,512.79
"","","",2552.0,"...",59.0,42.09,57.2
"","(iv)","Rashtriya Madhyamik Shiksha Abhiyan(RMSA)",2202.0,2499.81,2810.58,2858.21,3647.11
"","","",2552.0,"...",312.4,313.4,335.8
"","(v)","Scheme  for setting up  of 6000  Model Schools ","","","","",""
"","","at Block level as Benchmark of Excellence",2202.0,1088.39,969.68,684.21,897.68
"","","",2552.0,"...",108.0,63.49,100.0
"","(vi)","Scheme for construction and running of Girls ","","","","",""
"","","Hostels for students of Secondary and Higher ","","","","",""
"","","Secondary Schools",2202.0,"...",4.4,"...",0.4
"","","","","","","",""
6.0,"Ministry of Women  and Child Development","","",0.16,15.0,14.0,15.0
"","Priyadarshini Scheme","",2235.0,0.16,15.0,14.0,15.0
"","","","","","","",""
7.0,"Ministry of New and Renewable Energy","","",294.81,330.0,269.25,284.0
"","(i)","Small Hydro Power Programme",2810.0,154.81,174.0,149.25,157.0
"","(ii)","National Biogas Manure Management Programme",2810.0,120.0,134.0,99.0,102.0
"","","",3601.0,20.0,22.0,21.0,25.0
8.0,"Ministry of Rural Development","","",57763.0,68330.79,48506.27,70141.69
" ","Department of Rural Development","","",55467.07,65298.89,45620.77,64645.47
"","(i)","MG National Rural  Employment Guarantee ","","","","",""
"","","Scheme (NREGS)",2505.0,29189.0,31659.59,29113.97,32463.68
"","(ii)","National Rural Livelihood Mission/ Aajeevika ",2501.0,2174.91,3259.5,2341.5,3415.0
"","","",2552.0,"...",320.5,227.0,326.0
"","(iii)","DRDA  Administration",2515.0,550.0,449.0,368.4,225.0
"","","",2552.0,"...",51.0,41.6,25.0
"","(iv)","Indira Awaas  Yojana(IAY)",2216.0,9864.77,9957.2,8112.2,13656.8
"","","",2552.0,"...",1109.0,903.0,1518.4
"","(v)","Pradhan Mantri Gram Sadak Yojana(PMGSY)",3054.0,13598.39,16042.1,3613.1,11221.69
"","","",2552.0,"...",2301.0,900.0,1743.9
"","(vi)","Provision of Urban Amenities in Rural Areas(PURA)",2515.0,90.0,135.0,"...",50.0
"","","",2552.0,"...",15.0,"...","..."
"","","","","","","",""
"","Department of Land Resources","","",2295.93,3031.9,2885.5,5496.22
"","(i)","Integrated Watershed Management Programme (IWMP)",2501.0,2066.12,2728.6,2596.85,4828.89
"","","",2552.0,229.81,303.3,288.65,536.99
"","(ii)","National Lands Records Modernisation Programme",2506.0,"...","...","...",92.6
"","","",2552.0,"...","...","...",37.74
"","","","","","","",""
9.0,"Ministry of Drinking Water and Sanitation","","",9992.88,13854.73,13000.0,15260.0
"","(i)","National Rural Drinking Water  Programme (NRDWP)",2215.0,8493.15,9423.23,9450.0,9900.0
"","","",2552.0,"...",1050.0,1050.0,1100.0
"","(ii)","Nirmal Bharat Abhiyan (NBA)",2215.0,1499.73,3031.5,2250.0,3834.0
"","","",2552.0,"...",350.0,250.0,426.0
10.0,"Ministry of Food Processing Industries","","",1.7,12.0,8.72,24.0
"","(i)","Scheme for Infrastructure  Development (Abattoirs)",2408.0,1.7,12.0,8.72,24.0
"","","","","","","",""
11.0,"Ministry of Statistics and  Programme Implementation","","",140.21,152.05,139.23,148.29
"","(i) ","Grant in-aid to Indian Association for Research in ","","","","",""
"","","National Income and Wealth  (IARNIW)",3454.0,0.05,0.05,0.05,0.06
"","(ii)","Indian Statistical Institute Kolkata",3454.0,140.16,147.8,134.98,143.93
"","","",2552.0,"...",4.2,4.2,4.3
12.0,"Ministry of Minority Affairs","","",0.62,5.0,1.65,3.0
"","Computerisation of records of State Wakf Boards","",2235.0,0.62,4.5,1.49,2.7
"","","",2552.0,"...",0.5,0.16,0.3
13.0,"Ministry of Tourism","","",102.0,110.0,100.0,150.0
"","Institute of Hotel Management, Food Craft   ","",3452.0,102.0,110.0,100.0,150.0
"","Institute/Indian Institute of Tourism & Travel ","","","","","",""
"","Management/National Council of Hotel ","","","","","",""
"","Management & Catering Technology","","","","","",""
"","","","","","","",""
"","Total Revenue Section","","",108480.15,132695.93,105558.47,142219.68
"","","","","","","",""
"","CAPITAL SECTION","","","","","",""
14.0,"Ministry of Commerce and Industry","","",672.98,800.0,655.5,800.0
"","Department of Commerce","","",672.98,800.0,655.5,800.0
"","(i)","Assistance to State for the development of",5453.0,619.55,730.0,585.5,700.0
"","","Export Related Infrastructure and","","","","",""
"","","other Allied Activities (ASIDE)","","","","",""
"","","",4552.0,53.43,70.0,70.0,100.0
15.0,"Ministry of Social Justice and Empowerment","","",20.0,20.0,5.0,20.0
"","State Scheduled Castes Development  Corporations","",4225.0,20.0,20.0,5.0,20.0
"","","","","","","",""
"","Total Capital Section","","",692.98,820.0,660.5,820.0
"","","","","","","",""
"","GRAND TOTAL","","",109173.13,133515.93,106218.97,143039.68
"","","","","","","",""
"Note:- BE 2012-13 figures have altered  due to better capture of data by  Ministries/Departments.","","","","","","",""
