-----
{
 "description": "The table refers to district wise construction of Deep Tubewells over the years . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.1.csv", 
 "title": "Download CSV for District wise Construction of Deep Tubewells over the years for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.1.csv"
}
-----
"State","District","Upto 1986-87","During 1987-88","During 1988-89","During 1989-90","During 1990-91","During 1991-92","During 1992-93","During 1993-94","Total"
"ANDHRA PRADESH","ADILABAD",39,13,12,4,8,3,12,5,96
"ANDHRA PRADESH","ANANTHAPUR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR",862,276,448,451,755,902,1001,771,5466
"ANDHRA PRADESH","CUDDAPAH",1456,477,711,1359,1123,1270,850,714,7960
"ANDHRA PRADESH","EAST GODAVARI",1436,130,176,182,84,116,88,105,2317
"ANDHRA PRADESH","GUNTUR",54,44,127,119,170,93,26,34,667
"ANDHRA PRADESH","HYDERABAD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","KARIMNAGAR",68,3,12,5,12,8,7,2,117
"ANDHRA PRADESH","KHAMMAM",440,40,20,16,11,4,4,2,537
"ANDHRA PRADESH","KRISHNA",375,29,53,70,62,68,118,73,848
"ANDHRA PRADESH","KURNOOL",87,49,153,149,275,370,252,259,1594
"ANDHRA PRADESH","MAHABOOB NAGAR",37,5,6,11,4,8,5,33,109
"ANDHRA PRADESH","MEDAK",15,0,3,2,7,4,17,15,63
"ANDHRA PRADESH","NALGONDA",6,0,0,0,0,2,0,0,8
"ANDHRA PRADESH","NELLORE",33,9,16,21,21,59,29,25,213
"ANDHRA PRADESH","NIZAMABAD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","PRAKASAM",22,25,10,13,24,37,22,25,178
"ANDHRA PRADESH","RANGA REDDY",8,3,3,6,17,9,15,25,86
"ANDHRA PRADESH","SRIKAKULUM",13,6,4,2,5,4,5,3,42
"ANDHRA PRADESH","VIJAYA NAGARAM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM",5,1,2,1,1,6,0,2,18
"ANDHRA PRADESH","WARANGAL",81,3,18,18,23,34,26,10,213
"ANDHRA PRADESH","WEST GODAVARI",4098,1017,1174,1332,868,770,592,833,10684
"ARUNACHAL PRADESH","CHANGLANG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","BARPETA",8,0,1,0,0,2,0,0,11
"ASSAM","BONGAIGAON",16,7,1,0,0,0,4,0,28
"ASSAM","CACHAR",2,0,0,2,0,1,0,0,5
"ASSAM","DARRANG",32,0,0,0,0,1,1,0,34
"ASSAM","DHEMAJI",11,0,0,0,0,0,0,4,15
"ASSAM","DHUBRI",9,2,3,0,0,0,3,3,20
"ASSAM","DIBRUGARH",10,0,0,0,0,5,0,0,15
"ASSAM","GOALPARA",13,1,3,4,3,8,4,0,36
"ASSAM","GOLAGHAT",57,0,5,0,2,9,0,1,74
"ASSAM","HAILAKANDI",8,0,0,0,0,0,0,0,8
"ASSAM","JORHAT",48,2,1,2,0,9,1,0,63
"ASSAM","KAMRUP",40,5,0,0,2,0,2,0,49
"ASSAM","KARBI ANGLONG",7,0,1,0,0,0,0,0,8
"ASSAM","KARIMGANJ",5,0,0,0,0,0,0,0,5
"ASSAM","KOKRAJHAR",3,1,0,0,0,2,0,0,6
"ASSAM","LAKHIMPUR",10,11,10,3,3,12,6,0,55
"ASSAM","MARIGAON",0,0,0,1,0,0,3,4,8
"ASSAM","NAGAON",8,8,0,0,6,1,0,1,24
"ASSAM","NALBARI",67,0,0,0,1,0,0,1,69
"ASSAM","NORTH CACHAR HILLS",0,0,0,0,0,2,0,0,2
"ASSAM","SIBSAGAR",1,1,0,1,0,2,1,4,10
"ASSAM","SONITPUR",9,0,0,0,2,0,0,0,11
"ASSAM","TINSUKIA",34,0,2,0,0,0,0,0,36
"BIHAR","ARARIA",15,0,0,0,0,0,0,0,15
"BIHAR","AURANGABAD",62,2,3,3,1,5,8,0,84
"BIHAR","BANKA",2,0,0,0,1,0,0,0,3
"BIHAR","BEGUSARAI",242,3,0,1,4,1,0,2,253
"BIHAR","BHABUA",81,5,1,2,3,4,20,4,120
"BIHAR","BHAGALPUR",155,9,10,4,2,1,0,1,182
"BIHAR","BHOJPUR",189,4,0,0,0,0,1,0,194
"BIHAR","BOKARO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIHAR","BUXAR",156,2,0,0,9,1,0,1,169
"BIHAR","CHAMPARAN EAST",223,14,11,7,5,13,9,0,282
"BIHAR","CHAMPARAN WEST",38,2,4,6,0,0,0,7,57
"BIHAR","CHATRA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIHAR","DARBHANGA",154,18,9,11,2,0,0,1,195
"BIHAR","DEOGHAR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIHAR","DHANBAD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIHAR","DUMKA",0,1,0,0,0,0,0,0,1
"BIHAR","GARHWA",0,6,0,0,0,1,3,1,11
"BIHAR","GAYA",31,3,1,1,2,0,0,0,38
"BIHAR","GIRIDIH",1,0,0,0,0,0,0,0,1
"BIHAR","GODDA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIHAR","GOPALGANJ",91,2,1,1,1,0,0,0,96
"BIHAR","GUMLA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIHAR","HAZARIBAG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIHAR","JAMUI",6,3,0,0,0,0,0,0,9
"BIHAR","JEHANABAD",93,9,1,4,0,0,0,0,107
"BIHAR","KATIHAR",30,0,0,0,0,0,0,0,30
