-----
{
 "description": "The table shows the percentage distribution of (Anganwadi Helpers) AWH by residence. It is observed that on an average 88.6 per cent of AWHs were residing in the village itself while 9.2 per cent and 1.2 per cent were from other villages within 5 Km and more than 5Km respectively. In almost all the ...", 
 "file_name": "ICDS_Table6.38.xls", 
 "title": "Download XLS for Percentage Distribution of AWH by Residence", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table6.38.xls"
}
-----
"States/UTs ","Within the village ","Other village within 5 Km","Other village more than 5 Km","Nearby town","Total"
"Andhra Pradesh",99.6,0.4,0.0,0.0,100.0
"Assam",74.0,23.0,3.1,0.0,100.0
"Bihar",98.6,0.7,0.7,0.0,100.0
"Chhattisgarh",98.6,0.0,0.0,1.5,100.0
"Gujarat",97.0,3.1,0.0,0.0,100.0
"Haryana",95.9,0.0,1.7,2.5,100.0
"Himachal Pradesh",72.5,10.1,0.0,17.4,100.0
"Jammu and Kashmir",96.0,2.6,0.8,0.5,100.0
"Jharkhand",91.7,8.3,0.0,0.0,100.0
"Karnataka",90.4,9.6,0.0,0.0,100.0
"Kerala",78.5,17.7,3.8,0.0,100.0
"Madhya Pradesh",96.7,2.8,0.0,0.5,100.0
"Maharashtra",95.9,3.5,0.6,0.0,100.0
"Orissa",97.4,2.6,0.0,0.0,100.0
"Punjab",100.0,0.0,0.0,0.0,100.0
"Rajasthan",93.6,2.7,0.0,3.8,100.0
"Tamil Nadu",81.0,16.1,0.0,2.9,100.0
"Uttar Pradesh",83.8,14.5,1.7,0.0,100.0
"Uttrakhand",79.9,20.1,0.0,0.0,100.0
"West Bengal",67.2,26.1,5.9,0.8,100.0
"Delhi",78.3,21.7,0.0,0.0,100.0
"Chandigarh",100.0,0.0,0.0,0.0,100.0
"Arunachal Pradesh",66.3,3.1,15.3,15.3,100.0
"Manipur",80.0,4.0,0.0,16.0,100.0
"Meghalaya",100.0,0.0,0.0,0.0,100.0
"Mizoram",80.0,0.0,0.0,20.0,100.0
"Nagaland",100.0,0.0,0.0,0.0,100.0
"Tripura",44.3,55.7,0.0,0.0,100.0
"Sikkim",85.7,0.0,14.3,0.0,100.0
"Dadar & Nagar Haveli",100.0,0.0,0.0,0.0,100.0
"Daman & Diu",100.0,0.0,0.0,0.0,100.0
"Goa",100.0,0.0,0.0,0.0,100.0
"Puducherry",20.0,60.0,20.0,0.0,100.0
"Andaman & Nicobar Island",100.0,0.0,0.0,0.0,100.0
"All India",88.6,9.2,1.2,1.0,100.0
