-----
{
 "description": "The table refers to proportion unemployed (per 1000) for persons of age 15-59 years according to usual status (taking both principal and subsidiary status together) for each State/UT. Proportion Unemployed is defined as the number of person/person-days unemployed per 1000 persons/person-days in the ...", 
 "file_name": "UnemployedUsual.csv", 
 "title": "Download CSV for Proportion Unemployed (per 1000) for persons of age 15-59 years according to usual status (taking both principal and subsidiary status together) for each State/UT", 
 "url": "http://data.gov.in/sites/default/files/UnemployedUsual.csv"
}
-----
"State/UT","Rural Male","Rural Female","Rural Male + Rural Female","Urban Male","Urban Female","Urban Male + Urban Female","Rural Male + Urban Male","Rural Female + Urban Female","Rural Male + Urban Male + Rural Female + Urban Female"
"Andhra Pradesh","16","4","10","33","14","24","22","7","14"
"Arunachal Pradesh","13","7","10","26","19","23","16","10","13"
"Assam","39","11","25","46","10","28","39","11","25"
"Bihar","22","6","14","33","15","25","23","7","15"
"Chhattisgarh","10","2","6","33","18","26","16","5","11"
"Delhi","78","0","44","28","7","18","32","7","20"
"Goa","56","2","30","23","25","24","40","14","27"
"Gujarat","4","1","2","5","3","4","4","2","3"
"Haryana","22","4","14","32","8","21","25","5","16"
"Himachal Pradesh","9","6","8","16","33","24","10","9","10"
"Jammu & Kashmi","19","12","16","35","41","38","23","19","21"
"Jharkhand","16","9","13","38","10","24","21","9","15"
"Karnataka","9","2","6","21","11","16","14","5","10"
"Kerala","29","57","44","24","48","36","28","54","42"
"Madhya Pradesh","5","0","3","20","6","13","9","2","6"
"Maharashtra","8","2","5","15","10","12","11","6","9"
"Manipur","21","13","17","47","35","41","27","19","23"
"Meghalaya","3","2","3","18","12","15","6","4","5"
"Mizoram","12","17","15","32","28","30","22","23","22"
"Nagaland","129","82","105","140","110","125","133","91","112"
"Odisha","22","8","15","34","4","20","24","7","15"
"Punjab","20","5","13","22","7","15","21","6","14"
"Rajasthan","7","2","5","25","5","16","12","3","8"
"Sikkim","9","7","8","26","1","15","12","6","9"
"Tamil Nadu","20","11","15","19","14","16","19","13","16"
"Tripura","58","85","72","102","209","157","66","106","86"
"Uttarakhand","23","11","16","15","34","24","20","17","19"
"Uttar Pradesh","9","2","6","35","6","21","16","3","10"
"West Bengal","23","7","15","40","17","29","28","10","19"
"A & N Islands","17","53","36","36","69","53","24","59","42"
"Chandigarh","0","0","0","48","20","35","45","19","33"
"Dadra & Nagar Haveli","0","0","0","0","0","0","0","0","0"
"Daman & Diu","0","0","0","0","7","3","0","2","1"
"Lakshadweep","74","114","94","50","81","66","62","97","80"
"Puducherry","5","3","4","23","8","16","17","6","11"
"All India","16","7","11","25","12","19","19","8","14"
