-----
{
 "description": "The table refers to block wise distribution of surface flow schemes by status. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.6.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes by its status for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.6.csv"
}
-----
State,District,Block,Schemes in use,Schemes not in use - Temporary,Schemes not in use - Abandoned (Salinity),Schemes not in use - Dried up,Schemes not in use - Destroyed,Schemess not in use - Others,Total - Schemes not in use,Grand total (Not in use + In use)
ANDHRA PRADESH,ADILABAD,ADILABAD,6,0,0,0,0,2,2,8
ANDHRA PRADESH,ADILABAD,ASIFABAD,1,0,0,0,0,1,1,2
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,BEJJUR,29,0,0,0,0,0,0,29
ANDHRA PRADESH,ADILABAD,BELA,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,31,0,0,0,0,0,0,31
ANDHRA PRADESH,ADILABAD,BHAINSA,31,10,0,0,0,2,12,43
ANDHRA PRADESH,ADILABAD,BHEEMINI,44,1,0,0,0,0,1,45
ANDHRA PRADESH,ADILABAD,BOATH,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,CHENNUR,62,0,0,0,0,0,0,62
ANDHRA PRADESH,ADILABAD,DAHEGAON,16,0,0,0,1,2,3,19
ANDHRA PRADESH,ADILABAD,DANDEPALLE,29,0,0,0,0,0,0,29
ANDHRA PRADESH,ADILABAD,DILAWARPUR,39,6,0,0,0,0,6,45
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,ICHODA,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,INDERAVELLY,2,0,0,0,0,0,0,2
ANDHRA PRADESH,ADILABAD,JAINAD,2,0,0,0,0,0,0,2
ANDHRA PRADESH,ADILABAD,JAINOOR,NA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,JAIPUR,75,5,0,0,0,2,7,82
ANDHRA PRADESH,ADILABAD,JANNARAM,46,0,0,0,0,1,1,47
ANDHRA PRADESH,ADILABAD,KADDAM (PEDDUR),29,1,0,0,0,0,1,30
ANDHRA PRADESH,ADILABAD,KAGAZNAGAR,36,0,0,0,0,0,0,36
