-----
{
 "description": "The table refers to block wise distribution of dugwells by type. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.5.csv", 
 "title": "Download CSV for Block wise Distribution of Dugwells by its type for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.5.csv"
}
-----
"State","District","Block","Pucca","Kuchcha","Dug-cum Borewell","Others","Total"
"ANDHRA PRADESH","ADILABAD","ADILABAD",264,35,2,0,301
"ANDHRA PRADESH","ADILABAD","ASIFABAD",103,8,0,0,111
"ANDHRA PRADESH","ADILABAD","BAZARHATHNOOR",179,83,1,0,263
"ANDHRA PRADESH","ADILABAD","BEJJUR",472,22,1,1,496
"ANDHRA PRADESH","ADILABAD","BELA",138,7,5,0,150
"ANDHRA PRADESH","ADILABAD","BELLAMPALLE",737,7,1,7,752
"ANDHRA PRADESH","ADILABAD","BHAINSA",86,72,3,0,161
"ANDHRA PRADESH","ADILABAD","BHEEMINI",384,34,2,0,420
"ANDHRA PRADESH","ADILABAD","BOATH",193,128,10,0,331
"ANDHRA PRADESH","ADILABAD","CHENNUR",510,55,18,6,589
"ANDHRA PRADESH","ADILABAD","DAHEGAON",341,5,12,1,359
"ANDHRA PRADESH","ADILABAD","DANDEPALLE",543,931,18,11,1503
"ANDHRA PRADESH","ADILABAD","DILAWARPUR",353,559,42,56,1010
"ANDHRA PRADESH","ADILABAD","GUDIHATHNUR",333,82,3,0,418
"ANDHRA PRADESH","ADILABAD","ICHODA",343,87,6,0,436
"ANDHRA PRADESH","ADILABAD","INDERAVELLY",165,347,1,1,514
"ANDHRA PRADESH","ADILABAD","JAINAD",184,2,0,0,186
"ANDHRA PRADESH","ADILABAD","JAINOOR",212,7,0,0,219
"ANDHRA PRADESH","ADILABAD","JAIPUR",434,4,0,1,439
"ANDHRA PRADESH","ADILABAD","JANNARAM",432,387,6,3,828
"ANDHRA PRADESH","ADILABAD","KADDAM (PEDDUR)",434,1259,0,2,1695
"ANDHRA PRADESH","ADILABAD","KAGAZNAGAR",282,1,0,0,283
"ANDHRA PRADESH","ADILABAD","KASIPET",138,6,1,1,146
"ANDHRA PRADESH","ADILABAD","KERAMERI",113,5,0,0,118
"ANDHRA PRADESH","ADILABAD","KHANPUR",468,1108,15,2,1593
"ANDHRA PRADESH","ADILABAD","KOTAPALLE",195,5,8,1,209
