-----
{
 "description": "The table shows estimated average available fund for supplementary nutrition on different types of beneficiaries (per beneficiary per day in Rs.) for 2008-09. It describes the allocation for supplementary nutrition of different type of beneficiaries per day. It is seen that most of the states could ...", 
 "file_name": "ICDS_Table10.7.xls", 
 "title": "Download XLS for Estimated average available fund for Supplementary Nutrition on different types of beneficiaries (per beneficiary per day in Rs.)", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table10.7.xls"
}
-----
"States/UTs ","Severely malnourished child-Average available fund for SN","Severely malnourished child-Reached/ delivered","Other child-Average available fund for SN","Other child-Reached/ delivered","PW & LM-Average available fund for SN","PW & LM-Reached/ delivered"
"Andhra Pradesh",2.8,1.3,2.1,1.0,2.4,0.9
"Assam",1.5,0.1,1.1,0.1,1.3,0.0
"Bihar",5.5,1.6,4.1,1.2,4.7,1.3
"Chhattisgarh",3.2,2.1,2.4,1.5,2.7,1.3
"Gujarat",2.0,1.3,1.5,1.0,1.7,0.7
"Haryana",3.9,1.7,2.9,1.2,3.3,2.2
"Himachal Pradesh",3.8,2.0,2.8,1.5,3.2,1.6
"Jammu & Kashmir",3.7,2.4,2.7,1.8,3.2,1.8
"Jharkhand",2.7,1.7,2.0,1.3,2.3,1.7
"Karnataka",2.7,1.8,2.0,1.3,2.3,0.9
"Kerala",3.8,2.3,2.8,1.7,3.2,2.3
"Madhya Pradesh",1.8,0.7,1.4,0.5,1.6,0.4
"Maharashtra",2.5,1.5,1.9,1.1,2.1,1.6
"Orissa",1.8,1.1,1.4,0.8,1.6,1.1
"Punjab",1.5,0.6,1.1,0.4,1.2,0.7
"Rajasthan",2.7,0.9,2.0,0.7,2.3,0.3
"Tamil Nadu",2.1,1.4,1.6,1.0,1.8,0.8
"Uttar Pradesh",2.1,0.5,1.5,0.3,1.7,0.4
"Uttaranchal",0.8,0.2,0.6,0.2,0.7,0.2
"West Bengal",2.2,1.4,1.6,1.1,1.9,1.4
"Delhi",3.1,1.6,2.3,1.2,2.7,1.3
"Chandigarh",2.2,1.3,1.6,1.0,1.9,1.5
"Arunachal Pradesh",2.2,0.7,1.3,0.4,1.5,0.3
"Manipur",2.8,0.6,2.1,0.5,2.4,0.0
"Meghalaya",3.6,2.1,2.6,1.5,3.0,1.1
"Mizoram",4.3,3.0,3.2,2.2,3.6,2.5
"Nagaland",3.2,0.6,2.3,0.5,2.7,0.7
"Tripura",2.4,1.3,1.8,1.0,2.1,0.4
"Sikkim",7.4,3.9,5.5,2.9,6.3,2.8
"Dadra & Nagar Haveli",2.7,1.5,2.0,1.1,2.3,2.2
"Daman & Diu",0.6,0.3,0.5,0.2,0.5,0.5
"Goa",2.3,1.3,1.7,1.0,1.9,1.9
"Puducherry",4.0,2.0,4.0,2.0,4.6,4.5
"Lakshadweep",2.5,1.0,1.8,0.7,2.1,0.8
"Andaman & Nicobar Islands",7.9,7.6,5.8,5.6,6.7,3.0
"All India",2.5,1.0,1.8,0.7,2.1,0.8
