-----
{
 "description": "This spread sheet describes the location of Lead-Zinc Ore (galena and sphalerite) deposits in India with locational attributes (locality, state, toposheets, latitude and longitude), geological attributes (host rock and its startigraphic position in terms of geological formation), metallogenesis and ...", 
 "file_name": "Lead_Zinc_Ore_1.xls", 
 "title": "Download XLS for Location of Lead-Zinc Ore Deposits in India and its Salient Features", 
 "url": "http://data.gov.in/sites/default/files/Lead_Zinc_Ore_1.xls"
}
-----
"METALLOGENESIS","LOCALITY","STATE","TOPOSHEET","LATITUDE","LONGITUDE","COMMODITY","HOSTROCK","MORPHOGENESIS","FORMATION"
"AGNIGUNDLA BELT","KAREMPUDI","ANDHRA PRADESH","56 P","16 23 30 N","79 40 24 E","Lead-Zinc","DOLOMITE","ENECHELON LODE-STRATABOUND-SEDIMENTARY","CUMBUM(NALLAMALAI)"
"GHUGRA-KAYAR BELT","GHUGRA-KAYAR","RAJASTHAN","45 J","26 31 26 32N","74 40-74 41E","Lead-Zinc","DOLOMITE,QTZT,QTZ-BIO SCHIST","SHMS-CARBONATE HOSTED","DELHI SUPERGROUP"
"HESATHU-BELBATHAN BELT","BELBATHAN","JHARKHAND","72 P","24 43N","87 18E","Lead-Zinc","TALC-TREMOLITE SCHIST","DISCORDANT VEINS","ENCLAVES IN CHOTANAGPUR GNEISSIC COMPLEX"
"HESATHU-BELBATHAN BELT","HESATU","JHARKHAND","73 I","23 59N","86 01E","Lead-Zinc","TALC-TREMOLITE SCHIST & GRANULITE","DISCORDANT-HYDROTHERMAL VEINS","ENCLAVES IN CHOTANAGPUR GNEISSIC COMPLEX"
"PUR BANERA BELT(EASTERN ZONE)","GADERIAKHERA","RAJASTHAN","45 K","25 26-25 28N","74 38-74 40E","Lead-Zinc","AMPHIBOLITE,CALCSCHIST,Fe(MAgnetite) ROCK","STRATABOUND-DISSEMINATION","BHILWARA Sgp."
"PUR-BANERA BELT","KHERJI-KHERA","RAJASTHAN","45 K","25 07N","74 23E","Lead-Zinc","DOLOMITE,SCHIST AND QUARTZITE","STRATABOUND-CONCORDANT(THIN BANDS)","BHILWARA Sgp."
"PUR-BANERA BELT","MALIKHERA","RAJASTHAN","45 K","25 27N","74 37E","Lead-Zinc","QTZ.-BIO.-MUS.SCHIST,AMPH.-MAG.SCHIST","STRATABOUND CONCORDANT","BHILWARA Sgp."
"PUR-BANERA BELT (EASTERN ZONE)","DEVPURA-BANERA","RAJASTHAN","45 K","25 27N","74 38E","Lead-Zinc","SCHIST AND AMPHIBOLITE","STRATABOUND-CONCORDANT","BHILWARA Sgp."
"PUR-BANERA BELT(EASTERN ZONE)","DEVPURA-RANNINGPURA","RAJASTHAN","45 K","25 27N","74 38E","Lead-Zinc","QUARTZ-AMPHIBOLE-Fe(MAgnetite) GNEISS","STRATABOUND-CONCORDANT","BHILWARA Sgp."
"PUR-BANERA BELT(EASTERN ZONE)","MALIKHERA","RAJASTHAN","45 K","25 27N","74 37E","Lead-Zinc","GAR-BIO.SCHIST,MARBLE,Fe(MAgnetite) ROCK","STRATABOUND-CONCORDANT","BHILWARA Sgp."
"PUR-BANERA BELT(EASTERN ZONE)","TIRANGA","RAJASTHAN","45 K","25 19N","74 32E","Lead-Zinc","SCHIST AND AMPHIBOLITE","STRATABOUND-CONCORDANT","BHILWARA Sgp."
