-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes (on Drain/Canal) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.18.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes (on Drain/Canal) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.18.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No. in use - Public,No. in use - Private,No. in use - Total,Potential created (Ha) - Public,Potential created (Ha) - Private,Potential created (Ha) - Total,Potential utilised (Ha) - Public,Potential utilised (Ha) - Private,Potential utilised (Ha) - Total
ANDAMAN & NICOBARS,ANDAMAN,DIGLIPUR,0,2,2,0,5,5,0,2,2
ANDAMAN & NICOBARS,ANDAMAN,FERRARGUNJ,0,2,2,0,4,4,0,3,3
ANDAMAN & NICOBARS,ANDAMAN,HUT BAY,0,4,4,0,8,8,0,3,3
ANDAMAN & NICOBARS,ANDAMAN,MAYABUNDER,0,1,1,0,7,7,0,2,2
ANDAMAN & NICOBARS,ANDAMAN,PORT BLAIR,0,9,9,0,22,22,0,6,6
ANDAMAN & NICOBARS,ANDAMAN,RANGAT,0,4,4,0,33,33,0,15,15
ANDAMAN & NICOBARS,NICOBAR,CAMPBELL BAY,0,0,0,0,0,0,0,0,0
ANDAMAN & NICOBARS,NICOBAR,CAR NICOBAR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,ADILABAD,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BOATH,0,20,20,0,50,50,0,50,50
ANDHRA PRADESH,ADILABAD,DANDEPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,ICHODA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,JAINAD,11,0,11,11,0,11,9,0,9
ANDHRA PRADESH,ADILABAD,JANNARAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KASIPET,0,0,0,0,0,0,0,0,0
