-----
{
 "description": "The table refers to district wise culturable command area and potential created through dug-wells. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.13.csv", 
 "title": "Download CSV for District wise Culturable command area and potential created through Dugwells for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.13.csv"
}
-----
"State","District","Culturable Command Area","Irrigation Potential Created - Kharif","Irrigation Potential Created - Rabi","Irrigation Potential Created - Perennial","Irrigation Potential Created - Others","Total"
"ANDHRA PRADESH","ADILABAD",22346,16794,9750,130,79,26753
"ANDHRA PRADESH","ANANTHAPUR",88261,64177,41856,10934,273,117240
"ANDHRA PRADESH","CHITTOOR",124201,93910,73940,92,5,167947
"ANDHRA PRADESH","CUDDAPAH",65613,56158,41441,1752,788,100139
"ANDHRA PRADESH","EAST GODAVARI",4258,3227,1584,842,22,5675
"ANDHRA PRADESH","GUNTUR",7339,6109,1717,844,32,8702
"ANDHRA PRADESH","HYDERABAD",165,157,145,1,0,303
"ANDHRA PRADESH","KARIMNAGAR",192842,175955,130517,3979,2633,313084
"ANDHRA PRADESH","KHAMMAM",38652,28797,14949,1936,176,45858
"ANDHRA PRADESH","KRISHNA",25953,12757,11104,4604,2101,30566
"ANDHRA PRADESH","KURNOOL",51965,46818,27180,894,212,75104
"ANDHRA PRADESH","MAHABOOB NAGAR",111096,93030,59823,1141,1035,155029
"ANDHRA PRADESH","MEDAK",62425,51943,29035,6723,596,88297
"ANDHRA PRADESH","NALGONDA",111063,93182,74261,4090,2713,174246
"ANDHRA PRADESH","NELLORE",50595,18456,28047,12015,232,58750
"ANDHRA PRADESH","NIZAMABAD",44075,42290,19184,1470,306,63250
"ANDHRA PRADESH","PRAKASAM",46923,37297,21232,2195,104,60828
"ANDHRA PRADESH","RANGA REDDY",44719,34587,25789,1334,387,62097
"ANDHRA PRADESH","SRIKAKULUM",16390,3402,13795,283,21,17501
"ANDHRA PRADESH","VIJAYA NAGARAM",21254,3259,18201,625,531,22616
"ANDHRA PRADESH","VISAKHAPATNAM",24409,13162,10213,3827,127,27329
"ANDHRA PRADESH","WARANGAL",157865,125599,86129,309,181,212218
"ANDHRA PRADESH","WEST GODAVARI",39426,24078,20504,6651,2118,53351
"ARUNACHAL PRADESH","CHANGLANG",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG",NA,NA,NA,NA,NA,NA
"ASSAM","BARPETA",NA,NA,NA,NA,NA,NA
"ASSAM","BONGAIGAON",NA,NA,NA,NA,NA,NA
"ASSAM","CACHAR",NA,NA,NA,NA,NA,NA
"ASSAM","DARRANG",NA,NA,NA,NA,NA,NA
"ASSAM","DHEMAJI",NA,NA,NA,NA,NA,NA
"ASSAM","DHUBRI",37,31,21,0,4,56
"ASSAM","DIBRUGARH",NA,NA,NA,NA,NA,NA
"ASSAM","GOALPARA",2,2,1,0,0,3
"ASSAM","GOLAGHAT",NA,NA,NA,NA,NA,NA
"ASSAM","HAILAKANDI",NA,NA,NA,NA,NA,NA
"ASSAM","JORHAT",NA,NA,NA,NA,NA,NA
"ASSAM","KAMRUP",NA,NA,NA,NA,NA,NA
"ASSAM","KARBI ANGLONG",NA,NA,NA,NA,NA,NA
"ASSAM","KARIMGANJ",NA,NA,NA,NA,NA,NA
"ASSAM","KOKRAJHAR",NA,NA,NA,NA,NA,NA
"ASSAM","LAKHIMPUR",12,10,6,0,0,16
"ASSAM","MARIGAON",5,4,3,0,0,7
"ASSAM","NAGAON",NA,NA,NA,NA,NA,NA
"ASSAM","NALBARI",NA,NA,NA,NA,NA,NA
"ASSAM","NORTH CACHAR HILLS",NA,NA,NA,NA,NA,NA
"ASSAM","SIBSAGAR",4,4,2,0,0,6
"ASSAM","SONITPUR",17,16,6,0,2,24
"ASSAM","TINSUKIA",NA,NA,NA,NA,NA,NA
"BIHAR","ARARIA",5,4,4,0,1,9
"BIHAR","AURANGABAD",14824,11787,10221,2351,3539,27898
"BIHAR","BANKA",5611,3232,3409,243,157,7041
"BIHAR","BEGUSARAI",28,22,24,2,2,50
"BIHAR","BHABUA",13793,10351,9552,349,197,20449
"BIHAR","BHAGALPUR",4168,3017,3276,266,168,6727
"BIHAR","BHOJPUR",4932,2768,3098,227,107,6200
"BIHAR","BOKARO",4137,1817,2526,323,29,4695
"BIHAR","BUXAR",3502,2700,2408,35,38,5181
"BIHAR","CHAMPARAN EAST",37,16,24,1,5,46
"BIHAR","CHAMPARAN WEST",7,2,3,3,2,10
"BIHAR","CHATRA",5848,2685,4166,235,132,7218
"BIHAR","DARBHANGA",62,29,53,6,0,88
"BIHAR","DEOGHAR",5980,3082,4479,322,710,8593
"BIHAR","DHANBAD",1429,640,1019,147,158,1964
"BIHAR","DUMKA",16490,9775,11317,1055,1001,23148
"BIHAR","GARHWA",13384,5167,9724,460,334,15685
"BIHAR","GAYA",23051,14868,14577,873,380,30698
"BIHAR","GIRIDIH",13696,5808,9654,418,409,16289
"BIHAR","GODDA",6443,3557,4274,490,372,8693
"BIHAR","GOPALGANJ",2029,1006,1555,232,163,2956
"BIHAR","GUMLA",13467,8643,7963,848,681,18135
"BIHAR","HAZARIBAG",11654,4547,8787,557,518,14409
"BIHAR","JAMUI",4383,2224,2800,412,335,5771
"BIHAR","JEHANABAD",7725,4531,4613,410,421,9975
"BIHAR","KATIHAR",8,3,8,0,0,11
"BIHAR","KHAGARIA",24,13,24,0,0,37
"BIHAR","KISHANGANJ",4,4,4,0,0,8
"BIHAR","KODARMA",6407,3328,5441,586,450,9805
"BIHAR","LAKHISARAI",693,238,534,13,82,867
"BIHAR","LOHARDAGA",6317,2953,5248,212,428,8841
"BIHAR","MADHEPURA",0,0,0,0,0,0
"BIHAR","MADHUBANI",88,41,73,4,3,121
"BIHAR","MUNGER",2442,1359,1897,44,76,3376
"BIHAR","MUZAFFARPUR",950,896,904,2,1,1803
"BIHAR","NALANDA",48722,33076,29353,3606,1525,67560
"BIHAR","NAWADA",7121,4089,4580,517,188,9374
"BIHAR","PAKUR",585,437,421,11,12,881
"BIHAR","PALAMU",21436,13642,15608,1792,675,31717
"BIHAR","PATNA",10350,6655,6517,622,496,14290
"BIHAR","PURNIA",1,0,1,0,0,1
"BIHAR","RANCHI",21081,12220,15356,4972,1439,33987
"BIHAR","ROHTAS",10690,7739,7332,352,156,15579
"BIHAR","SAHARSA",NA,NA,NA,NA,NA,NA
"BIHAR","SAHEBGANJ",1217,732,686,25,16,1459
"BIHAR","SAMASTIPUR",84,30,50,0,9,89
"BIHAR","SARAN",1608,376,1502,88,83,2049
"BIHAR","SHEIKHPURA",616,354,323,64,30,771
"BIHAR","SHEOHAR",NA,NA,NA,NA,NA,NA
"BIHAR","SINGHBHUM EAST",2227,1346,1259,119,141,2865
"BIHAR","SINGHBHUM WEST",3044,1911,1699,113,44,3767
"BIHAR","SITAMARHI",8,3,7,1,0,11
"BIHAR","SIWAN",10594,7586,10132,111,46,17875
"BIHAR","SUPAUL",NA,NA,NA,NA,NA,NA
"BIHAR","VAISHALI",4021,1395,1486,1508,164,4553
"GOA","NORTH GOA",2454,2,854,1196,456,2508
"GOA","SOUTH GOA",1323,11,145,1044,129,1329
"GUJARAT","",NA,NA,NA,NA,NA,NA
"HARYANA","AMBALA",2768,2768,2768,0,0,5536
"HARYANA","BHIWANI",10505,10505,10505,0,0,21010
"HARYANA","FARIDABAD",NA,NA,NA,NA,NA,NA
"HARYANA","GURGAON",11330,11330,11330,0,0,22660
"HARYANA","HISAR",600,600,600,0,0,1200
"HARYANA","JIND",NA,NA,NA,NA,NA,NA
"HARYANA","KAITHAL",9049,9049,9049,0,0,18098
"HARYANA","KARNAL",5650,5650,5650,0,0,11300
"HARYANA","KURUKSHETRA",NA,NA,NA,NA,NA,NA
"HARYANA","MEHANDERGARH",5096,5096,5096,0,0,10192
"HARYANA","PANCHKULA",63,63,63,0,0,126
"HARYANA","PANIPAT",1592,1592,1592,0,0,3184
"HARYANA","RIWARI",3518,3518,3518,0,0,7036
"HARYANA","ROHTAK",2872,2869,2872,0,0,5741
"HARYANA","SIRSA",4680,4680,4680,0,0,9360
"HARYANA","SONIPAT",183,183,183,0,0,366
"HARYANA","YAMUNA NAGAR",2545,2545,2545,0,0,5090
"HIMACHAL PRADESH","Bilaspur",75,75,75,0,0,150
"HIMACHAL PRADESH","Chamba",NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Hamirpur",62,38,55,0,0,93
"HIMACHAL PRADESH","Kangra",913,780,619,19,0,1418
"HIMACHAL PRADESH","Kinnaur",NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Kullu",8,8,7,0,0,15
"HIMACHAL PRADESH","Lahul & Spiti",NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Mandi",15,11,11,0,6,28
"HIMACHAL PRADESH","Shimla",NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Sirmaur",499,444,438,9,0,891
"HIMACHAL PRADESH","Solan",999,815,1027,60,17,1919
"HIMACHAL PRADESH","Una",519,210,494,3,9,716
"JAMMU & KASHMIR","Anantnagh",NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Baramulla",50,65,6,0,0,71
"JAMMU & KASHMIR","Budgam",13,13,0,0,0,13
"JAMMU & KASHMIR","Doda",NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Jammu",200,192,192,0,0,384
"JAMMU & KASHMIR","Kargil",NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Kathua",400,307,307,0,0,614
"JAMMU & KASHMIR","Kupwara",NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Leh",NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Poonch",NA,NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Pulwama",33,7,26,0,0,33
"JAMMU & KASHMIR","Rajouri",10,9,9,0,0,18
"JAMMU & KASHMIR","Srinagar",76,69,69,0,0,138
"JAMMU & KASHMIR","Udhampur",4,3,3,0,0,6
"KARNATAKA","BANGALORE RURAL",12224.05,8788.44,3284.68,3983.43,405.75,16462.3
"KARNATAKA","BANGALORE URBAN",3386.02,2662.37,814.62,1341.89,139.74,4958.62
"KARNATAKA","BELGAUM",86583.15,63195.12,23801.95,13486.41,503.27,100986.75
