-----
{
 "description": "The table provides the Plan Outlay by Heads of Development to Centre, States and Union Territories of India. It gives details of Heads of Development-Wise Outlay (amount and percentage share in total distribution) for the years 1961-66 (Third Five-Year Plan), 1966-69 (Annual Plans), 1969-74 (Fourth ...", 
 "file_name": "tab24.xls", 
 "title": "Download XLS for Plan Outlay by Heads of Development: Centre, States and Union Territories, 1961-80(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab24.xls"
}
-----
"2.4 PLAN OUTLAY BY HEADS OF DEVELOPMENT : CENTRE, STATES AND UNION TERRITORIES, 1961-80","","","","","","","","","",""
"","Amount (` crore)","","","","","Percentage distribution","","","",""
"Head of development","Third","Annual","Fourth","Fifth","Annual","Third","Annual","Fourth","Fifth","Annual"
"","Plan","Plans","Plan","Plan","Plan","Plan","Plans","Plan","Plan","Plan"
"","1961-66","1966-69","1969-74","1974-79","1979-80","1961-66","1966-69","1969-74","1974-79","1979-80"
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0
"1. Agriculture and allied sectors",1088.9,"1107.1a","2320.4a",4864.9,1996.5,12.7,16.7,14.7,12.3,16.4
"2. Irrigation and flood control",664.7,471.0,1354.1,3876.5,1287.9,7.8,7.1,8.6,9.8,10.6
"3. Power",1252.3,1212.5,2931.7,7399.5,2240.5,14.6,18.3,18.6,18.8,18.4
"4. Village and small scale industries",240.8,126.1,242.6,592.5,255.7,2.8,1.9,1.5,1.5,2.1
"5. Industry and minerals",1726.3,1510.4,2864.4,8988.6,2383.5,20.1,22.8,18.2,22.8,19.6
"6. Transport and communications",2111.7,1222.4,3080.4,6870.3,2044.9,24.6,18.5,19.5,17.4,16.8
"7. Education",588.7,306.8,774.3,")",263.0,6.9,4.6,4.9,")",2.2
"","","","","1710.3)","","","","","4.3)",""
"8. Scientific research",71.6,47.1,130.8,")","91.4b",0.8,0.7,0.8,")",0.8
"9. Health",225.9,140.2,335.5,760.8,223.1,2.6,2.1,2.1,1.9,1.8
"10. Family planning",24.9,70.4,278.0,491.8,118.5,0.3,1.1,1.8,1.2,1.0
"11. Water supply and sanitation",105.7,102.7,458.9,1091.6,387.6,1.2,1.6,2.9,2.8,3.2
"12. Housing, urban and regional","","","","","","","","","",""
"      development",127.6,73.3,270.2,1150.0,368.8,1.5,1.1,1.7,2.9,3.0
"13. Welfare of backward classes",99.1,73.6,164.6,"724.0c","247.9c",1.2,1.1,1.0,1.8,2.0
"14. Social welfare",19.4,11.2,64.4,88.2,30.7,0.2,0.2,0.4,0.2,0.3
"15. Labour welfare and craftsman trainingd",55.8,34.8,31.1,"","",0.7,0.5,0.2,"",""
"","","","",817.2,236.5,"","","",2.1,1.9
"16. Other programmesd",173.1,115.8,179.8,"","",2.0,1.7,1.1,"",""
"17. Special schemes","","","","","","","","","",""
"      (i) Welfare programme","na","na",123.6,"na","na","na","na",0.8,"na","na"
"      (ii) Crash scheme for educated","","","","","","","","","",""
"           unemployed","na","na",54.0,"na","na","na","na",0.3,"na","na"
"       (ii) Advance action for Fifth Plan","na","na",120.0,"na","na","na","na",0.8,"na","na"
"       TOTAL",8576.5,6625.4,15778.8,39426.2,12176.5,100.0,100.0,100.0,100.0,100.0
"Source : Planning Commission ","","","","","","","","","",""
"na  Not available","","","","","","","","","",""
"a      Includes buffer stocks : ` 140 crore for 1968-69, ` 25 crore for 1969-70, ` 50 crore for 1971-72, ` 25 crore for 1972-73 and","","","","","","","","","",""
"        ` 24 crore for 1973-74. Thus the figure for the buffer stocks during the Fourth Plan works out to ` 124 crore against the original plan provision","","","","","","","","","",""
"        of ` 255 crore.","","","","","","","","","",""
"b     Includes new and renewable sources of energy.","","","","","","","","","",""
"c       Includes Hill and Tribal Areas.","","","","","","","","","",""
"d       For the Fifth Plan and Annual Plan break up of labour welfare and craftsman training and other programmes is not available.","","","","","","","","","",""
