-----
{
 "description": "The table refers to district wise distribution of Deep Tubewells according to irrigation through supplementary source . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.15.csv", 
 "title": "Download CSV for District wise Distribution of Deep Tubewells according to Irrigation through supplementary source  for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.15.csv"
}
-----
"State","District","Supplementary irrigation (Ha) - Kharif","Supplementary irrigation (Ha) - Rabi","Supplementary irrigation (Ha) - Perennial","Supplementary irrigation (Ha) - Others","Total"
"ANDHRA PRADESH","ADILABAD",0,0,0,0,0
"ANDHRA PRADESH","ANANTHAPUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH",2,0,0,0,2
"ANDHRA PRADESH","EAST GODAVARI",653,235,250,0,1138
"ANDHRA PRADESH","GUNTUR",0,0,0,0,0
"ANDHRA PRADESH","HYDERABAD",NA,NA,NA,NA,NA
"ANDHRA PRADESH","KARIMNAGAR",0,0,0,0,0
"ANDHRA PRADESH","KHAMMAM",0,0,0,0,0
"ANDHRA PRADESH","KRISHNA",53,11,0,0,64
"ANDHRA PRADESH","KURNOOL",13,0,0,0,13
"ANDHRA PRADESH","MAHABOOB NAGAR",0,0,0,0,0
"ANDHRA PRADESH","MEDAK",2,0,0,0,2
"ANDHRA PRADESH","NALGONDA",0,0,0,0,0
"ANDHRA PRADESH","NELLORE",51,0,0,0,51
"ANDHRA PRADESH","NIZAMABAD",NA,NA,NA,NA,NA
"ANDHRA PRADESH","PRAKASAM",2,0,0,0,2
"ANDHRA PRADESH","RANGA REDDY",0,0,0,0,0
"ANDHRA PRADESH","SRIKAKULUM",0,0,0,0,0
"ANDHRA PRADESH","VIJAYA NAGARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM",0,0,0,0,0
"ANDHRA PRADESH","WARANGAL",0,0,0,0,0
"ANDHRA PRADESH","WEST GODAVARI",49,42,17,0,108
"ARUNACHAL PRADESH","CHANGLANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG",NA,NA,NA,NA,NA
"ASSAM","BARPETA",0,0,0,0,0
"ASSAM","BONGAIGAON",0,0,0,0,0
"ASSAM","CACHAR",0,0,0,0,0
"ASSAM","DARRANG",0,0,0,0,0
"ASSAM","DHEMAJI",0,0,0,0,0
"ASSAM","DHUBRI",0,0,0,0,0
"ASSAM","DIBRUGARH",0,0,0,0,0
"ASSAM","GOALPARA",0,0,0,0,0
"ASSAM","GOLAGHAT",0,0,0,0,0
"ASSAM","HAILAKANDI",0,0,0,0,0
"ASSAM","JORHAT",0,0,0,0,0
"ASSAM","KAMRUP",0,0,0,0,0
"ASSAM","KARBI ANGLONG",0,0,0,0,0
"ASSAM","KARIMGANJ",0,0,0,0,0
"ASSAM","KOKRAJHAR",0,0,0,0,0
"ASSAM","LAKHIMPUR",0,0,0,0,0
"ASSAM","MARIGAON",0,0,0,0,0
"ASSAM","NAGAON",0,0,0,0,0
"ASSAM","NALBARI",0,0,0,0,0
"ASSAM","NORTH CACHAR HILLS",0,0,0,0,0
"ASSAM","SIBSAGAR",0,0,0,0,0
"ASSAM","SONITPUR",0,0,0,0,0
"ASSAM","TINSUKIA",0,0,0,0,0
"BIHAR","ARARIA",0,0,0,0,0
"BIHAR","AURANGABAD",15,15,0,0,30
"BIHAR","BANKA",0,0,0,0,0
"BIHAR","BEGUSARAI",87,310,13,17,427
"BIHAR","BHABUA",32,22,0,0,54
"BIHAR","BHAGALPUR",33,5,0,0,38
"BIHAR","BHOJPUR",81,80,15,0,176
"BIHAR","BOKARO",NA,NA,NA,NA,NA
"BIHAR","BUXAR",10,0,0,0,10
"BIHAR","CHAMPARAN EAST",36,54,7,7,104
"BIHAR","CHAMPARAN WEST",0,0,0,0,0
"BIHAR","CHATRA",NA,NA,NA,NA,NA
"BIHAR","DARBHANGA",0,0,0,0,0
"BIHAR","DEOGHAR",NA,NA,NA,NA,NA
"BIHAR","DHANBAD",NA,NA,NA,NA,NA
"BIHAR","DUMKA",0,2,0,0,2
"BIHAR","GARHWA",0,0,0,0,0
"BIHAR","GAYA",0,0,0,0,0
"BIHAR","GIRIDIH",0,0,0,0,0
"BIHAR","GODDA",NA,NA,NA,NA,NA
"BIHAR","GOPALGANJ",24,28,0,0,52
"BIHAR","GUMLA",NA,NA,NA,NA,NA
"BIHAR","HAZARIBAG",NA,NA,NA,NA,NA
"BIHAR","JAMUI",5,19,0,0,24
"BIHAR","JEHANABAD",0,0,0,0,0
"BIHAR","KATIHAR",0,0,0,0,0
"BIHAR","KHAGARIA",0,0,0,0,0
"BIHAR","KISHANGANJ",0,0,0,0,0
"BIHAR","KODARMA",0,0,0,0,0
"BIHAR","LAKHISARAI",120,110,0,0,230
"BIHAR","LOHARDAGA",NA,NA,NA,NA,NA
"BIHAR","MADHEPURA",0,0,0,0,0
"BIHAR","MADHUBANI",1,3,2,10,16
"BIHAR","MUNGER",7,7,0,0,14
"BIHAR","MUZAFFARPUR",0,0,0,0,0
"BIHAR","NALANDA",54,14,7,1,76
"BIHAR","NAWADA",197,73,9,5,284
"BIHAR","PAKUR",0,4,0,0,4
"BIHAR","PALAMU",NA,NA,NA,NA,NA
"BIHAR","PATNA",154,84,31,0,269
"BIHAR","PURNIA",0,0,0,0,0
"BIHAR","RANCHI",NA,NA,NA,NA,NA
"BIHAR","ROHTAS",31,18,0,0,49
"BIHAR","SAHARSA",0,0,0,0,0
"BIHAR","SAHEBGANJ",NA,NA,NA,NA,NA
"BIHAR","SAMASTIPUR",11,35,0,0,46
"BIHAR","SARAN",0,0,0,0,0
"BIHAR","SHEIKHPURA",165,58,0,0,223
"BIHAR","SHEOHAR",0,0,0,0,0
"BIHAR","SINGHBHUM EAST",30,10,0,0,40
"BIHAR","SINGHBHUM WEST",0,0,0,0,0
"BIHAR","SITAMARHI",20,20,20,10,70
"BIHAR","SIWAN",24,34,0,0,58
"BIHAR","SUPAUL",0,0,0,0,0
"BIHAR","VAISHALI",19,29,0,1,49
"GOA","NORTH GOA",0,1,18,0,19
"GOA","SOUTH GOA",0,0,0,0,0
"GUJARAT","",NA,NA,NA,NA,NA
"HARYANA","AMBALA",268,268,0,0,536
"HARYANA","BHIWANI",8,34,0,0,42
"HARYANA","FARIDABAD",NA,NA,NA,NA,NA
"HARYANA","GURGAON",13,21,0,0,34
"HARYANA","HISAR",NA,NA,NA,NA,NA
"HARYANA","JIND",67,68,0,0,135
"HARYANA","KAITHAL",29,27,0,0,56
"HARYANA","KARNAL",392,374,0,0,766
"HARYANA","KURUKSHETRA",20,15,0,0,35
"HARYANA","MEHANDERGARH",0,0,0,0,0
"HARYANA","PANCHKULA",142,142,0,0,284
"HARYANA","PANIPAT",25,26,0,0,51
"HARYANA","RIWARI",NA,NA,NA,NA,NA
"HARYANA","ROHTAK",NA,NA,NA,NA,NA
"HARYANA","SIRSA",430,439,0,0,869
"HARYANA","SONIPAT",0,0,0,0,0
"HARYANA","YAMUNA NAGAR",0,0,0,0,0
"HIMACHAL PRADESH","Bilaspur",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Chamba",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Hamirpur",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Kangra",0,0,0,0,0
"HIMACHAL PRADESH","Kinnaur",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Kullu",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Lahul & Spiti",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Mandi",0,0,0,0,0
"HIMACHAL PRADESH","Shimla",NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Sirmaur",0,0,0,0,0
"HIMACHAL PRADESH","Solan",0,0,0,0,0
"HIMACHAL PRADESH","Una",0,0,0,0,0
"JAMMU & KASHMIR","Anantnagh",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Baramulla",1,1,0,0,2
"JAMMU & KASHMIR","Budgam",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Doda",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Jammu",6,6,0,0,12
"JAMMU & KASHMIR","Kargil",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Kathua",1,1,0,0,2
"JAMMU & KASHMIR","Kupwara",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Leh",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Poonch",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Pulwama",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Rajouri",NA,NA,NA,NA,NA
"JAMMU & KASHMIR","Srinagar",0,0,0,0,0
"JAMMU & KASHMIR","Udhampur",NA,NA,NA,NA,NA
"KARNATAKA","BANGALORE RURAL",320.09,133.9,176.45,29.5,659.94
