-----
{
 "description": "It provides revised estimates (plan as well non-plan) of 2012-2013 showing variation over budget estimates of 2011-2012.", 
 "file_name": "re.xls", 
 "title": "Download XLS for Revised Estimates: 2012-13(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/ub2013-14/eb/re.xls"
}
-----
"","","REVISED ESTIMATES  2012-2013","","","",""
"","","","","","",""
"","Revised Estimates of Expenditure for 2012-2013 show a net decrease of Rupees 60,100 crore over the Budget Estimates.  ","","","","",""
"Non-Plan Expenditure has shown an increase of Rupees 31,378 crore and Plan expenditure has decreased by Rupees 91,838 crore. The Major items where variations have occurred are indicated below:","","","","","",""
"","","","","","",""
"","","","","","","(Rupees  in crores)"
"","","","Budget","Revised","Variation",""
"","","","2012-13","2012-13","Saving(-)/",""
"","","","","","Excess(+)",""
"NON-PLAN","","","","","",""
1.0,"","Petroleum subsidy",43580.0,96880.0,"(+)",53300.0
2.0,"","Food Subsidy",75000.0,85000.0,"(+)",10000.0
3.0,"","Fertiliser subsidy",60974.0,65974.0,"(+)",5000.0
4.0,"","Loans to Union Territory ","","","",""
"","","Governments",72.0,3398.0,"(+)",3326.0
5.0,"","Police",35611.0,37131.0,"(+)",1520.0
6.0,"","Pensions",63183.0,63836.0,"(+)",653.0
7.0,"","Interest Payments and ","","","",""
"","","Debt Servicing ",319759.0,316674.0,"(-)",3085.0
8.0,"","Grants to State Governments",63352.0,57023.0,"(-)",6329.0
9.0,"","Defence Services expenditure",193407.0,178504.0,"(-)",14903.0
10.0,"","Capital Outlay ","","","",""
"","","(excluding Defence)",23971.0,8102.0,"(-)",15869.0
11.0,"","Other Non Plan expenditure",90991.0,89116.0,"(-)",1875.0
"","Total Non-Plan Expenditure","",969900.0,1001638.0,"(+)",31738.0
"PLAN","","","","","",""
1.0,"","Central Plan",391027.0,317185.0,"(-)",73842.0
2.0,"","Central Assistance for ","","","",""
"","","State and UT Plans",129998.0,112002.0,"(-)",17996.0
"","Total Plan Expenditure","",521025.0,429187.0,"(-)",91838.0
"","Total Expenditure ","","","","",""
"","(Plan + Non Plan)","",1490925.0,1430825.0,"(-)",60100.0
"","","","","","",""
"Non Plan","","","","","",""
"","","","","","",""
1.0,"Increase is mainly due to higher compensation to oil companies for recoveries on account of sale of sensitive petroleum products.","","","","",""
2.0,"Increase is due to higher procurement, increase in Minimum Support Price (MSP), higher payments to States on decentralised procurement system on increased allotment of grains to States. Government has also cleared arrears of food subsidy of FCI based on audited results.","","","","",""
3.0,"Increase is due to higher cost on decontrolled fertiliser, imported fertiliser and on account of indigenous fertiliser.","","","","",""
4.0,"Increase is mainly due to payment to Government of NCT of Delhi to settle past dues of DESU.","","","","",""
5.0,"Increase is mainly on account of additional salary and establishment expenditure of Central Armed Police Forces.","","","","",""
6.0,"Increase is due to higher requirement towards payment of pensions by Ministry of Defence and pensionary benefits to employees absorbed in BSNL","","","","",""
7.0,"Decrease is on account of lower requirement under discount on cash management bills, interest on Ways and Means advances and under market stabilisation scheme.","","","","",""
8.0,"Decrease is due to lower requirements for releases to State Governments.","","","","",""
9.0,"Decrease is mainly due to lower requirement for capital expenditure of Defence Services.","","","","",""
10.0,"Decrease is mainly on account of reduced investment in international financial institutions.","","","","",""
"","","","","","",""
"PLAN","","","","","",""
1.0,"Overall decrease is mainly due to decrease in Plan allocations in Agriculture, Atomic Energy, Chemicals and Fertilisers, Telecommunications, Electronics & Information Technology, Drinking Water & Sanitation, Finance, Health and Family Welfare, Home Affairs, Human Resource Development, Minority Affairs, Power, Road Transport and Highways, Rural Development, Space, Textiles, Urban Development and Women & Child Development.","","","","",""
2.0,"Overall decrease is due to lower requirements under Normal Central Assistance, Accelerated Irrigation Benefit Programme, Backward Regions Grant Fund, Jawaharlal Nehru National Urban Renewal Mission, Rashtriya Krishi Vikas Yojana and UT Plans.","","","","",""
