-----
{
 "description": "The table refers to block wise surface flow schemes constructed over the years. It has been sourced from 2nd census of minor irrigation scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.1.csv", 
 "title": "Download CSV for Blockwise Distribution of surface flow schemes consutructed over the years for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.1.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of surface flow schemes according to the farmers holding size. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.3.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes according to the holding size for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.3.csv"
}
-----
State,District,Block,Marginal (0-1 ha),Small (1-2 ha),Medium (2-10 ha),Big ( > 10 ha),Total
ANDHRA PRADESH,ADILABAD,ADILABAD,0,0,1,0,1
ANDHRA PRADESH,ADILABAD,ASIFABAD,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,BEJJUR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BELA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BHAINSA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BHEEMINI,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BOATH,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,CHENNUR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,DAHEGAON,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,DANDEPALLE,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,DILAWARPUR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,ICHODA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,INDERAVELLY,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,JAINAD,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,JAINOOR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,JAIPUR,0,0,2,2,4
ANDHRA PRADESH,ADILABAD,JANNARAM,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KADDAM (PEDDUR),0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KAGAZNAGAR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KASIPET,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KERAMERI,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,KHANPUR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KOTAPALLE,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KOUTHALA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KUBEER,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KUNTALA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,LAHESRA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,LUXETTIPET,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,MAMDA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,MANCHERIAL,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,MANDAMARRI,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,MUDHOLE,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,NARNOOR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,NENNAL,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,NERADIGONDA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,NIRMAL,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,REBBENA,3,2,0,0,5
ANDHRA PRADESH,ADILABAD,SARANGAPUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,SIRPUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,SIRPUR (T),0,2,0,0,2
ANDHRA PRADESH,ADILABAD,TALAMADUGU,97,9,4,1,111
ANDHRA PRADESH,ADILABAD,TAMSI,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,TANDUR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,TANUR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,TIRYANI,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,UTNUR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,VEMANPALLE,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,WANKDI,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,AGALI,0,0,2,0,2
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,0,2,0,0,2
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,CHENNEKOTHAPALLE,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,D.HIREHAL,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,0,0,4,2,6
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,0,0,0,1,1
