-----
{
 "description": "The table refers to Block wise Distribution of Surface Flow Schemes according to Social status. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.4.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes according to Social status", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.4.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Scheduled caste,Scheduled tribe,Other social status of farmers,Total
ANDHRA PRADESH,ADILABAD,ADILABAD,0,0,0,0
ANDHRA PRADESH,ADILABAD,BEJJUR,0,0,0,0
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,0,0,0,0
ANDHRA PRADESH,ADILABAD,BHAINSA,0,0,0,0
ANDHRA PRADESH,ADILABAD,BHEEMINI,0,0,0,0
ANDHRA PRADESH,ADILABAD,BOATH,0,0,0,0
ANDHRA PRADESH,ADILABAD,CHENNUR,0,0,0,0
ANDHRA PRADESH,ADILABAD,DAHEGAON,0,0,0,0
ANDHRA PRADESH,ADILABAD,DANDEPALLE,0,0,32,32
ANDHRA PRADESH,ADILABAD,DILAWARPUR,0,0,3,3
ANDHRA PRADESH,ADILABAD,ICHODA,21,9,58,88
ANDHRA PRADESH,ADILABAD,INDERAVELLY,0,4,0,4
ANDHRA PRADESH,ADILABAD,JAINAD,0,4,470,474
ANDHRA PRADESH,ADILABAD,JAINOOR,0,0,0,0
ANDHRA PRADESH,ADILABAD,JAIPUR,0,0,0,0
ANDHRA PRADESH,ADILABAD,JANNARAM,1,8,1,10
ANDHRA PRADESH,ADILABAD,KADDAMPEDDUR,0,0,0,0
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,0,0,0,0
ANDHRA PRADESH,ADILABAD,KASIPET,0,0,0,0
ANDHRA PRADESH,ADILABAD,KERAMERI,0,1,13,14
ANDHRA PRADESH,ADILABAD,KHANPUR,0,0,0,0
ANDHRA PRADESH,ADILABAD,KOTAPALLE,0,0,0,0
ANDHRA PRADESH,ADILABAD,KOUTHALA,6,20,56,82
