-----
{
 "description": "The table refers to district wise distribution of surface flow schemes by status. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Statetab4.6.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Flow Schemes by its status for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statetab4.6.csv"
}
-----
State,District,Schemes in use,Schemes not in use - Temporary,Schemes not in use - Abandoned (Salinity),Schemes not in use - Dried up,Schemes not in use - Destroyed,Schemess not in use - Others,Total - Schemes not in use,Grand total (Not in use + In use)
ANDHRA PRADESH,VISAKHAPATNAM,5540,257,2,23,29,43,354,5894
ANDHRA PRADESH,WARANGAL,3155,2480,0,0,0,0,2480,5635
ANDHRA PRADESH,WEST GODAVARI,790,599,23,3,0,74,699,1489
ARUNACHAL PRADESH,CHANGLANG,201,31,2,0,0,4,37,238
ARUNACHAL PRADESH,DIBANG VALLEY,37,64,0,0,0,3,67,104
ARUNACHAL PRADESH,EAST KAMENG,81,3,1,0,0,0,4,85
ARUNACHAL PRADESH,EAST SIANG,820,56,5,1,6,5,73,893
ARUNACHAL PRADESH,LOHIT,33,32,0,0,1,0,33,66
ARUNACHAL PRADESH,LOWER SUBANSIRI,693,3,1,3,2,0,9,702
ARUNACHAL PRADESH,PAPUM PARE,122,21,0,0,2,2,25,147
ARUNACHAL PRADESH,TAWANG,64,5,1,0,1,0,7,71
ARUNACHAL PRADESH,TIRAP,79,12,0,2,5,10,29,108
ARUNACHAL PRADESH,UPPER SIANG,270,14,1,0,1,11,27,297
ARUNACHAL PRADESH,UPPER SUBANSIRI,387,97,15,17,39,26,194,581
ARUNACHAL PRADESH,WEST KAMENG,17,31,1,0,3,1,36,53
ARUNACHAL PRADESH,WEST SIANG,190,42,1,3,2,5,53,243
ASSAM,BARPETA,4,2,0,0,0,0,2,6
ASSAM,BONGAIGAON,6,0,0,0,0,0,0,6
ASSAM,CACHAR,7,0,0,0,0,0,0,7
ASSAM,DARRANG,209,8,0,0,0,0,8,217
ASSAM,DHEMAJI,4,4,0,0,0,0,4,8
ASSAM,DHUBRI,47,0,0,0,0,0,0,47
ASSAM,DIBRUGARH,1,0,0,0,0,0,0,1
ASSAM,GOALPARA,144,2,0,0,0,0,2,146
ASSAM,GOLAGHAT,1,2,0,0,0,0,2,3
ASSAM,HAILAKANDI,NA,NA,NA,NA,NA,NA,NA,NA
ASSAM,JORHAT,4,0,0,0,0,0,0,4
ASSAM,KAMRUP,103,1,0,0,0,0,1,104
ASSAM,KARBI ANGLONG,1220,56,0,0,0,0,56,1276
ASSAM,KARIMGANJ,0,0,0,0,0,1,1,1
ASSAM,KOKRAJHAR,21,3,0,0,0,0,3,24
ASSAM,LAKHIMPUR,2,0,0,0,0,0,0,2
ASSAM,MARIGAON,19,15,0,0,0,0,15,34
ASSAM,NAGAON,23,42,0,0,1,0,43,66
ASSAM,NALBARI,88,1,0,0,0,0,1,89
ASSAM,NORTH CACHAR HILLS,261,3,1,0,0,0,4,265
ASSAM,SIBSAGAR,3,1,0,0,0,0,1,4
ASSAM,SONITPUR,29,3,0,0,0,0,3,32
ASSAM,TINSUKIA,5,0,0,0,0,0,0,5
BIHAR,ARARIA,40,0,0,0,0,0,0,40
BIHAR,AURANGABAD,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,BANKA,1951,4,0,18,0,0,22,1973
BIHAR,BEGUSARAI,0,0,0,0,0,2,2,2
BIHAR,BHABUA,385,3,0,1,4,4,12,397
BIHAR,BHAGALPUR,831,9,0,5,6,1,21,852
BIHAR,BHOJPUR,206,2,2,5,9,1,19,225
BIHAR,BOKARO,2361,14,0,6,1,0,21,2382
BIHAR,BUXAR,70,36,0,2,4,0,42,112
BIHAR,CHAMPARAN EAST,39,0,0,0,0,0,0,39
BIHAR,CHAMPARAN WEST,58,19,0,4,6,0,29,87
BIHAR,CHATRA,2141,83,0,36,6,3,128,2269
BIHAR,DARBHANGA,85,0,0,0,0,0,0,85
BIHAR,DEOGHAR,2142,218,0,49,10,15,292,2434
BIHAR,DHANBAD,762,73,0,24,0,3,100,862
BIHAR,DUMKA,7405,861,0,622,45,51,1579,8984
BIHAR,GARHWA,2523,122,0,40,18,4,184,2707
BIHAR,GAYA,7738,254,0,106,59,18,437,8175
BIHAR,GIRIDIH,2455,160,0,47,9,0,216,2671
BIHAR,GODDA,1372,185,0,88,27,11,311,1683
BIHAR,GOPALGANJ,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,GUMLA,232,35,0,1,1,3,40,272
BIHAR,HAZARIBAG,425,23,0,2,15,0,40,465
BIHAR,JAMUI,1757,101,0,97,2,3,203,1960
BIHAR,JEHANABAD,431,87,0,4,1,0,92,523
BIHAR,KATIHAR,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KHAGARIA,0,0,0,2,0,0,2,2
BIHAR,KISHANGANJ,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,KODARMA,285,16,0,9,0,3,28,313
BIHAR,LAKHISARAI,152,2,0,61,38,14,115,267
BIHAR,LOHARDAGA,184,4,0,2,0,0,6,190
BIHAR,MADHEPURA,2,0,0,0,0,1,1,3
BIHAR,MADHUBANI,89,7,0,0,3,2,12,101
BIHAR,MUNGER,464,2,1,5,0,1,9,473
BIHAR,MUZAFFARPUR,2,2,0,0,0,0,2,4
BIHAR,NALANDA,469,28,0,30,4,1,63,532
BIHAR,NAWADA,2554,77,0,339,30,4,450,3004
BIHAR,PAKUR,3190,34,0,5,1,2,42,3232
BIHAR,PALAMU,8633,417,0,128,78,13,636,9269
BIHAR,PATNA,158,46,0,6,0,0,52,210
BIHAR,PURNIA,50,0,0,0,0,0,0,50
BIHAR,RANCHI,542,37,0,42,1,2,82,624
BIHAR,ROHTAS,657,8,0,1,1,3,13,670
BIHAR,SAHARSA,0,3,0,0,0,0,3,3
BIHAR,SAHEBGANJ,2276,163,0,153,11,14,341,2617
BIHAR,SAMASTIPUR,8,0,0,0,0,1,1,9
BIHAR,SARAN,54,2,0,2,0,0,4,58
BIHAR,SHEIKHPURA,434,18,0,3,0,0,21,455
BIHAR,SHEOHAR,8,1,0,0,3,0,4,12
BIHAR,SINGHBHUM EAST,1105,265,0,150,10,11,436,1541
BIHAR,SINGHBHUM WEST,3236,753,0,132,129,116,1130,4366
BIHAR,SITAMARHI,14,10,0,3,0,0,13,27
BIHAR,SIWAN,8,0,0,0,0,0,0,8
BIHAR,SUPAUL,2,0,0,0,0,0,0,2
BIHAR,VAISHALI,7,0,0,0,0,0,0,7
GOA,NORTH GOA,2410,1,1,30,0,0,32,2442
GOA,SOUTH GOA,700,32,1,0,0,1,34,734
GUJARAT,,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,AMBALA,399,0,0,0,0,0,0,399
HARYANA,BHIWANI,60,0,0,0,0,0,0,60
HARYANA,FARIDABAD,1,0,0,0,0,0,0,1
HARYANA,GURGAON,16,0,0,0,0,0,0,16
HARYANA,HISAR,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,JIND,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,KAITHAL,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,KARNAL,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,KURUKSHETRA,21,0,0,0,0,3,3,24
HARYANA,MEHANDERGARH,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,PANCHKULA,10,0,0,0,0,0,0,10
HARYANA,PANIPAT,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,RIWARI,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,ROHTAK,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,SIRSA,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,SONIPAT,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,YAMUNA NAGAR,NA,NA,NA,NA,NA,NA,NA,NA
HIMACHAL PRADESH,Bilaspur,800,0,0,0,0,0,0,800
HIMACHAL PRADESH,Chamba,601,7,14,0,0,0,21,622
HIMACHAL PRADESH,Hamirpur,181,0,0,0,0,1,1,182
HIMACHAL PRADESH,Kangra,2516,24,12,15,2,34,87,2603
HIMACHAL PRADESH,Kinnaur,434,7,0,0,1,0,8,442
HIMACHAL PRADESH,Kullu,423,0,0,0,0,0,0,423
HIMACHAL PRADESH,Lahul & Spiti,442,3,0,0,0,0,3,445
HIMACHAL PRADESH,Mandi,3635,72,10,17,23,9,131,3766
HIMACHAL PRADESH,Shimla,1223,44,5,6,0,11,66,1289
HIMACHAL PRADESH,Sirmaur,1882,23,7,31,12,4,77,1959
HIMACHAL PRADESH,Solan,1762,21,4,2,3,0,30,1792
HIMACHAL PRADESH,Una,22,0,0,0,0,0,0,22
JAMMU & KASHMIR,Anantnagh,1029,0,0,0,0,0,0,1029
JAMMU & KASHMIR,Baramulla,623,2,0,0,0,0,2,625
JAMMU & KASHMIR,Budgam,504,0,0,0,0,0,0,504
JAMMU & KASHMIR,Doda,1216,12,0,0,0,0,12,1228
JAMMU & KASHMIR,Jammu,25,0,0,0,0,0,0,25
JAMMU & KASHMIR,Kargil,494,0,0,0,0,0,0,494
JAMMU & KASHMIR,Kathua,466,4,0,0,0,0,4,470
JAMMU & KASHMIR,Kupwara,377,1,0,0,0,0,1,378
JAMMU & KASHMIR,Leh,671,0,0,0,0,0,0,671
JAMMU & KASHMIR,Poonch,314,0,0,0,0,0,0,314
JAMMU & KASHMIR,Pulwama,645,0,0,0,0,0,0,645
JAMMU & KASHMIR,Rajouri,730,2,0,0,0,0,2,732
JAMMU & KASHMIR,Srinagar,934,5,0,0,0,0,5,939
JAMMU & KASHMIR,Udhampur,1085,5,0,0,0,0,5,1090
KARNATAKA,BANGALORE RURAL,923,167,5,44,0,7,223,1146
KARNATAKA,BANGALORE URBAN,474,97,0,77,0,0,174,648
KARNATAKA,BELGAUM,3287,14,40,4,0,0,58,3345
KARNATAKA,BELLARY,2119,522,4,100,1,29,656,2775
KARNATAKA,BIDAR,737,49,0,1,1,0,51,788
KARNATAKA,BIJAPUR,3347,318,6,2,2,118,446,3793
KARNATAKA,CHIKKAMAGALORE,600,26,2,21,0,9,58,658
KARNATAKA,CHITRADURGA,1007,2766,194,656,315,401,4332,5339
KARNATAKA,DAKSHINA KANNADA,2035,37,23,12,10,1,83,2118
KARNATAKA,DHARWAR,4140,1115,29,7,159,63,1373,5513
KARNATAKA,GULBARGA,2054,366,67,4,2,9,448,2502
KARNATAKA,HASSAN,1727,58,15,9,67,6,155,1882
KARNATAKA,KODAGU,27,0,0,0,0,0,0,27
KARNATAKA,KOLAR,1630,49,17,18,2,1,87,1717
KARNATAKA,MANDYA,68,6,0,1,0,0,7,75
KARNATAKA,MYSORE,404,24,1,3,2,6,36,440
KARNATAKA,RAICHUR,1034,40,13,3,4,7,67,1101
KARNATAKA,SHIMOGA,1454,57,20,7,23,5,112,1566
KARNATAKA,TUMKUR,246,174,2,416,3,8,603,849
KARNATAKA,UTTARA KANNADA,1956,577,31,12,195,33,848,2804
KERALA,ALAPUZHA,75,0,0,0,0,1,1,76
KERALA,ERANAKULAM,456,0,0,0,1,0,1,457
KERALA,IDUKKI,290,0,0,0,0,0,0,290
KERALA,KANNUR,576,17,0,0,2,1,20,596
KERALA,KASARAGODE,378,15,1,0,4,0,20,398
KERALA,KOLLAM,359,116,0,0,0,1,117,476
KERALA,KOTTAYAM,282,1,1,0,0,1,3,285
KERALA,KOZHIKODE,426,31,0,0,1,3,35,461
KERALA,MALAPPURAM,738,46,0,1,20,4,71,809
KERALA,PALAKKAD,2267,2,0,1,0,0,3,2270
KERALA,PATHANAMTHITTA,228,2,0,0,2,0,4,232
KERALA,THIRUVANANTHAPURAM,2972,5,0,0,0,0,5,2977
KERALA,THRISSUR,747,0,0,0,0,4,4,751
KERALA,WAYANAD,300,2,0,1,0,0,3,303
MADHYA PRADESH,BALAGHAT,6512,0,27,16,44,141,228,6740
MADHYA PRADESH,BASTAR,681,1,5,0,5,0,11,692
MADHYA PRADESH,BETUL,855,2,0,0,1,4,7,862
MADHYA PRADESH,BHIND,91,0,0,0,0,0,0,91
MADHYA PRADESH,BHOPAL,47,0,0,0,0,0,0,47
MADHYA PRADESH,BILASPUR,4765,643,229,43,0,0,915,5680
MADHYA PRADESH,CHHATARPUR,578,2,1,1,0,2,6,584
MADHYA PRADESH,CHHINDWARA,605,0,0,0,0,0,0,605
MADHYA PRADESH,DAMOH,1381,3,8,1,0,0,12,1393
MADHYA PRADESH,DATIA,30,0,0,0,0,0,0,30
MADHYA PRADESH,DEWAS,347,0,0,0,0,0,0,347
MADHYA PRADESH,DHAR,771,3,3,2,1,8,17,788
MADHYA PRADESH,DURG,821,0,6,4,2,85,97,918
MADHYA PRADESH,GUNA,1975,0,0,0,0,0,0,1975
MADHYA PRADESH,GWALIOR,60,0,0,0,0,0,0,60
MADHYA PRADESH,HOSHANGABAD,8,0,0,0,0,0,0,8
MADHYA PRADESH,INDORE,549,0,0,0,0,0,0,549
MADHYA PRADESH,JABALPUR,283,0,0,0,0,0,0,283
MADHYA PRADESH,JHABUA,2881,0,1,0,65,9,75,2956
MADHYA PRADESH,KHANDWA,233,0,0,0,0,0,0,233
MADHYA PRADESH,KHARGONE,3516,1,1,0,0,12,14,3530
MADHYA PRADESH,MANDLA,241,0,0,0,0,0,0,241
MADHYA PRADESH,MANDSAUR,800,0,3,0,0,19,22,822
MADHYA PRADESH,MORENA,1172,0,0,0,0,0,0,1172
MADHYA PRADESH,NARSIMHAPUR,230,0,7,0,3,0,10,240
MADHYA PRADESH,PANNA,93,1,0,1,0,1,3,96
MADHYA PRADESH,RAIGARH,3990,155,25,74,0,0,254,4244
MADHYA PRADESH,RAIPUR,2550,298,50,8,2,87,445,2995
MADHYA PRADESH,RAISEN,93,0,0,0,0,0,0,93
MADHYA PRADESH,RAJGARH,75,0,0,0,0,0,0,75
MADHYA PRADESH,RAJNANDGAON,273,0,2,9,0,10,21,294
MADHYA PRADESH,RATLAM,970,0,2,1,0,82,85,1055
MADHYA PRADESH,REWA,503,12,1,0,0,0,13,516
MADHYA PRADESH,SAGAR,1239,0,0,0,0,0,0,1239
MADHYA PRADESH,SATNA,413,4,4,2,0,0,10,423
MADHYA PRADESH,SEHORE,75,1,0,0,0,1,2,77
MADHYA PRADESH,SEONI,654,0,0,0,153,0,153,807
MADHYA PRADESH,SHAHDOL,642,1,0,3,0,1,5,647
MADHYA PRADESH,SHAJAPUR,2602,23,5,57,0,12,97,2699
MADHYA PRADESH,SHIVPURI,910,0,0,0,0,0,0,910
MADHYA PRADESH,SIDHI,145,5,0,4,1,0,10,155
MADHYA PRADESH,SURGUJA,7506,3,31,0,0,0,34,7540
MADHYA PRADESH,TIKAMGARH,901,0,0,0,0,0,0,901
MADHYA PRADESH,UJJAIN,500,0,0,0,0,0,0,500
MADHYA PRADESH,VIDISHA,12,0,0,0,0,0,0,12
MAHARASHTRA,,NA,NA,NA,NA,NA,NA,NA,NA
MANIPUR,BISHNUPUR,12,0,0,0,0,0,0,12
MANIPUR,CHANDEL,9,0,0,0,0,0,0,9
MANIPUR,CHURACHANDPUR,72,0,0,0,0,0,0,72
MANIPUR,IMPHAL,26,0,0,0,0,0,0,26
MANIPUR,SENAPATI,32,0,0,0,0,0,0,32
MANIPUR,TAMENGLONG,37,0,0,0,0,0,0,37
MANIPUR,THOUBAL,23,0,0,0,0,0,0,23
MANIPUR,UKHRUL,29,0,0,0,0,0,0,29
MEGHALAYA,EAST GARO HILLS,1012,1,0,0,2,0,3,1015
MEGHALAYA,EAST KHASI HILLS,2559,273,7,67,97,24,468,3027
MEGHALAYA,JAINTIA HILLS,2365,44,11,107,70,55,287,2652
MEGHALAYA,RI BHOI DISTRICT,3288,466,61,142,269,28,966,4254
MEGHALAYA,SOUTH GARO HILLS,55,16,2,1,1,12,32,87
MEGHALAYA,WEST GARO HILLS,459,74,3,13,31,4,125,584
MEGHALAYA,WEST KHASI HILLS,2625,20,0,0,0,0,20,2645
MIZORAM,AIZAWL,3659,264,22,0,2,0,288,3947
MIZORAM,CHHIMTUIPUI,188,6,0,0,0,0,6,194
MIZORAM,LUNGLEI,542,61,4,2,25,0,92,634
NAGALAND,KOHIMA,2636,121,0,0,0,1,122,2758
NAGALAND,MOKOKCHUNG,1545,215,3,0,48,3,269,1814
NAGALAND,MON,720,34,0,0,31,0,65,785
NAGALAND,PHEK,4037,7,0,0,5,0,12,4049
NAGALAND,TUENSANG,2051,382,0,0,5,0,387,2438
NAGALAND,WOKHA,1176,84,0,0,1,0,85,1261
NAGALAND,ZUNHEBOTO,954,0,0,0,0,0,0,954
ORISSA,ANGUL,195,5,6,2,1,2,16,211
ORISSA,BALASORE,87,8,0,2,4,1,15,102
ORISSA,BARAGARH,2359,136,0,1,1,10,148,2507
ORISSA,BHADRAK,67,2,0,0,1,0,3,70
ORISSA,BOLANGIR,1679,81,11,3,2,1,98,1777
ORISSA,BOUDH,347,31,5,1,0,0,37,384
ORISSA,CUTTACK,1317,12,0,0,0,1,13,1330
ORISSA,DEOGARH,269,18,0,4,0,0,22,291
ORISSA,DHENKANAL,786,87,3,1,2,15,108,894
ORISSA,GAJAPATI,466,17,12,5,9,4,47,513
ORISSA,GANJAM,3843,84,14,19,26,5,148,3991
ORISSA,JAGATSINGHPUR,5,0,0,0,0,0,0,5
ORISSA,JAJPUR,184,6,1,1,3,0,11,195
ORISSA,JHARSUGUDA,261,2,1,0,0,0,3,264
ORISSA,KALAHANDI,656,196,0,0,0,0,196,852
ORISSA,KENDRAPARA,57,5,0,0,0,0,5,62
ORISSA,KEONJHAR,619,36,0,0,0,0,36,655
ORISSA,KHURDA,560,70,0,0,0,0,70,630
ORISSA,KORAPUT,1472,515,0,0,0,0,515,1987
ORISSA,MALKANGIRI,56,64,0,0,0,0,64,120
ORISSA,MAYURBHANJ,995,65,4,7,12,3,91,1086
ORISSA,NAYAGARH,237,101,0,0,0,0,101,338
ORISSA,NOWRANGPUR,161,30,0,0,0,0,30,191
ORISSA,NUAPADA,761,141,0,0,0,0,141,902
ORISSA,PHULBANI,250,47,4,1,3,0,55,305
ORISSA,PURI,966,9,0,0,0,0,9,975
ORISSA,RAYAGADA,2241,245,0,0,0,0,245,2486
ORISSA,SAMBALPUR,454,15,3,4,3,1,26,480
ORISSA,SONEPUR,269,14,0,1,2,3,20,289
ORISSA,SUNDARGARH,188,23,0,0,0,0,23,211
PUNJAB,AMRITSAR,12,1,0,0,0,0,1,13
PUNJAB,BATHINDA,3,0,0,0,0,0,0,3
PUNJAB,FARIDKOT,NA,NA,NA,NA,NA,NA,NA,NA
PUNJAB,FATEHGARH SAHIB,3,0,0,0,0,0,0,3
PUNJAB,FEROZEPUR,NA,NA,NA,NA,NA,NA,NA,NA
PUNJAB,GURDASPUR,43,0,0,0,0,0,0,43
PUNJAB,HOSHIARPUR,140,0,0,3,0,0,3,143
PUNJAB,JALANDHAR,NA,NA,NA,NA,NA,NA,NA,NA
PUNJAB,KAPURTHALA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJAB,LUDHIANA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJAB,MANSA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJAB,PATIALA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJAB,ROPAR,110,0,0,0,0,0,0,110
PUNJAB,SANGRUR,79,0,0,0,0,0,0,79
RAJASTHAN,AJMER,369,246,5,119,2,8,380,749
RAJASTHAN,ALWAR,NA,NA,NA,NA,NA,NA,NA,NA
RAJASTHAN,BANSWARA,211,52,1,0,0,0,53,264
RAJASTHAN,BARAN,78,1,0,1,0,1,3,81
RAJASTHAN,BARMER,NA,NA,NA,NA,NA,NA,NA,NA
RAJASTHAN,BHARATPUR,3,0,0,0,1,0,1,4
RAJASTHAN,BHILWARA,395,161,4,4,1,0,170,565
RAJASTHAN,BIKANER,0,1,0,0,0,0,1,1
RAJASTHAN,BUNDI,102,3,0,0,0,0,3,105
RAJASTHAN,CHITTORGARH,70,4,0,0,0,0,4,74
RAJASTHAN,CHURU,1,0,0,0,0,0,0,1
RAJASTHAN,DAUSA,21,4,0,0,0,0,4,25
RAJASTHAN,DHOLPUR,31,1,4,0,0,1,6,37
RAJASTHAN,DUNGARPUR,109,6,0,0,0,0,6,115
RAJASTHAN,GANGANAGAR,NA,NA,NA,NA,NA,NA,NA,NA
RAJASTHAN,HANUMANGARH,NA,NA,NA,NA,NA,NA,NA,NA
RAJASTHAN,JAIPUR,31,7,0,0,0,0,7,38
RAJASTHAN,JAISALMER,NA,NA,NA,NA,NA,NA,NA,NA
RAJASTHAN,JALORE,3,0,0,0,0,0,0,3
RAJASTHAN,JHALAWAR,54,4,0,0,2,0,6,60
RAJASTHAN,JHUNJHNU,3,1,0,0,0,0,1,4
RAJASTHAN,JODHPUR,7,0,0,0,0,0,0,7
RAJASTHAN,KOTA,64,0,0,1,0,0,1,65
RAJASTHAN,NAGAUR,9,0,0,0,0,0,0,9
RAJASTHAN,PALI,67,6,0,0,0,0,6,73
RAJASTHAN,RAJSAMAND,72,11,0,0,0,0,11,83
RAJASTHAN,SAWAI-MADHOPUR,22,7,0,4,0,43,54,76
RAJASTHAN,SIKAR,18,0,0,0,0,0,0,18
RAJASTHAN,SIROHI,40,2,0,0,0,0,2,42
RAJASTHAN,TONK,216,202,1,3,0,0,206,422
RAJASTHAN,UDAIPUR,174,6,0,1,0,0,7,181
SIKKIM,EAST SIKKIM,333,12,0,0,2,1,15,348
SIKKIM,NORTH SIKKIM,48,3,0,0,0,0,3,51
SIKKIM,SOUTH SIKKIM,211,25,0,0,2,1,28,239
SIKKIM,WEST SIKKIM,174,39,2,0,0,1,42,216
TAMIL NADU,COIMBATORE,214,84,0,0,0,0,84,298
TAMIL NADU,CUDDALORE,5287,83,37,13,1,522,656,5943
TAMIL NADU,DHARMAPURI,22487,10,126,19,0,89,244,22731
TAMIL NADU,DINDIGUL,7567,517,0,0,0,0,517,8084
TAMIL NADU,ERODE,1329,1654,40,1,0,1,1696,3025
TAMIL NADU,KANCHIPURAM,492,198,2,4,1,103,308,800
TAMIL NADU,KANNIYAKUMARI,3018,6,16,3,0,0,25,3043
TAMIL NADU,KARUR,64,18,0,0,0,0,18,82
TAMIL NADU,MADRAS,NA,NA,NA,NA,NA,NA,NA,NA
TAMIL NADU,MADURAI,3,0,0,0,0,0,0,3
TAMIL NADU,NAGAPATTINAM,10,13,0,0,1,0,14,24
TAMIL NADU,NAMAKKAL,3286,0,1,0,0,3,4,3290
TAMIL NADU,PERAMBALUR,448,208,3,2,0,29,242,690
TAMIL NADU,PUDUKOTTAI,4302,9,8,18,0,90,125,4427
TAMIL NADU,RAMNATHAPURAM,1587,3,12,0,2,53,70,1657
TAMIL NADU,SALEM,60,0,0,0,0,0,0,60
TAMIL NADU,SIVAGANGA,6290,6,3,15,2,7,33,6323
TAMIL NADU,THANJAVUR,578,17,24,1,3,12,57,635
TAMIL NADU,THE NILGIRIS,NA,NA,NA,NA,NA,NA,NA,NA
TAMIL NADU,THENI,1776,0,2,16,71,2259,2348,4124
TAMIL NADU,THOOTHUGUDI,573,10,42,1,0,3,56,629
TAMIL NADU,TIRUNELVELI,2391,25,26,7,42,3,103,2494
TAMIL NADU,TIRUVALLUR,774,23,2,1,6,36,68,842
TAMIL NADU,TIRUVANNAMALAI,8731,18,30,19,210,3,280,9011
TAMIL NADU,TIRUVARUR,64,3,1,0,0,0,4,68
TAMIL NADU,TRICHIRAPPALLI,381,9,0,0,1,396,406,787
TAMIL NADU,VELLORE,264,231,2,31,0,5,269,533
TAMIL NADU,VILLUPURAM,4036,71,7,18,6,16,118,4154
TAMIL NADU,VIRUDHUNAGAR,903,3,58,1,1,0,63,966
TRIPURA,DHALAI,75,0,0,0,0,0,0,75
TRIPURA,NORTH,144,3,0,0,0,0,3,147
TRIPURA,SOUTH,220,2,0,0,1,0,3,223
TRIPURA,WEST,148,1,0,0,6,0,7,155
UTTAR PRADESH,AGRA,3,0,0,0,0,0,0,3
UTTAR PRADESH,ALIGARH,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,ALLAHABAD,80,0,1,0,0,0,1,81
UTTAR PRADESH,ALMORA,3007,440,285,232,187,111,1255,4262
UTTAR PRADESH,AMBEDKAR NAGAR,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,AZAMGARH,16,0,0,0,0,0,0,16
UTTAR PRADESH,BADAUN,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,BAHRAICH,5,0,0,0,0,0,0,5
UTTAR PRADESH,BALLIA,21,0,0,0,0,0,0,21
UTTAR PRADESH,BANDA,58,0,0,0,0,0,0,58
UTTAR PRADESH,BARABANKI,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,BAREILLY,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,BASTI,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,BIJNOR,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,BULANDSHAHR,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,CHAMOLI(GOPESHWAR),626,466,313,109,158,158,1204,1830
UTTAR PRADESH,DEHRADUN,502,112,11,3,10,9,145,647
UTTAR PRADESH,DEORIA,1,0,0,0,0,0,0,1
UTTAR PRADESH,ETAH,NA,NA,NA,NA,NA,NA,NA,NA
UTTAR PRADESH,ETAWAH,1,0,0,0,0,0,0,1
