-----
{
 "description": "This data provides details on the total number of days each member signed the member's attendance register of session 3 of Lok Sabha 15 from 19th November 2009 to 21st December 2009.", 
 "file_name": "Attendance_of_the_Members_of_Lok_Sabha_15_Session_3.xls", 
 "title": "Download XLS for Attendance of the Members of Lok Sabha 15 for Winter Session 3", 
 "url": "http://data.gov.in/sites/default/files/Attendance_of_the_Members_of_Lok_Sabha_15_Session_3.xls"
}
-----
"S.No.","Division/Seat No.","Name of Member","Lok Sabha","Session","State","Constituency","Total Sittings","No. of days member signed the register"
1.0,3.0,"Smt.  Sonia  Gandhi                                            ",15.0,3.0,"Uttar Pradesh                                               ","Rae Barelii",21.0,8.0
2.0,11.0,"Shri  Ajit  Singh                                             ",15.0,3.0,"Uttar Pradesh                                               ","Baghpat",21.0,"M"
3.0,14.0,"Shri  Paban Singh  Ghatowar                                          ",15.0,3.0,"Assam                                                       ","Dibrugarh",21.0,"M"
4.0,24.0,"Shri  V. Kishore Chandra S.  Deo                                               ",15.0,3.0,"Andhra Pradesh                                              ","Araku",21.0,"M"
5.0,25.0,"Shri  Beni Prasad  Verma                                             ",15.0,3.0,"Uttar Pradesh                                               ","Gonda",21.0,"M"
6.0,29.0,"Shri  Harish  Rawat                                             ",15.0,3.0,"Uttarakhand                                                 ","Hardwar",21.0,"M"
7.0,30.0,"Smt.  Chandresh  Kumari                                            ",15.0,3.0,"Rajasthan                                                   ","Jodhpur",21.0,"M"
8.0,38.0,"Shri  Jitender  Singh                                             ",15.0,3.0,"Haryana                                                     ","Sonipat",21.0,"M"
9.0,39.0,"Shri  Manish  Tewari                                            ",15.0,3.0,"Punjab                                                      ","Ludhiana",21.0,"M"
10.0,52.0,"Dr.  Tusharbhai   A.  Chaudhari                                         ",15.0,3.0,"Gujarat                                                     ","Bardoli",21.0,"M"
11.0,53.0,"Shri  Pratik  Patil                                             ",15.0,3.0,"Maharashtra                                                 ","Sangli",21.0,"M"
12.0,55.0,"Dr.  Shashi  Tharoor                                           ",15.0,3.0,"Kerala                                                      ","Thiruvananthapuram",21.0,"M"
13.0,56.0,"Shri  Pradeep  Jain   Aditya                                     ",15.0,3.0,"Uttar Pradesh                                               ","Jhansi",21.0,"M"
14.0,57.0,"Shri  K. C.  Venugopal                                         ",15.0,3.0,"Kerala                                                      ","Alappuzha",21.0,"M"
15.0,58.0,"Dr.  Charan Das  Mahant                                            ",15.0,3.0,"Chhattisgarh                                                ","Korba",21.0,"M"
16.0,59.0,"Shri  Milind  Deora                                             ",15.0,3.0,"Maharashtra                                                 ","Mumbai-South",21.0,"M"
17.0,60.0,"Shri    Kodikunnil  Suresh                                ",15.0,3.0,"Kerala                                                      ","Mavelikkara",21.0,"M"
18.0,61.0,"Shri  Rahul  Gandhi                                            ",15.0,3.0,"Uttar Pradesh                                               ","Amethi",21.0,11.0
19.0,62.0,"Shri  K. J.S.P.  Reddy                                             ",15.0,3.0,"Andhra Pradesh                                              ","Kurnool",21.0,"M"
