-----
{
 "description": "It provides department wise details of Schemes for Development of Scheduled Tribes.", 
 "file_name": "stat21a.xls", 
 "title": "Download XLS for Schemes for Development of Scheduled Tribes(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/ub2013-14/eb/stat21a.xls"
}
-----
"","","SCHEDULED CASTES SUB PLAN/TRIBAL SUB PLAN","","",""
"","","STATEMENT 21A","","",""
"","","SCHEMES UNDER TRIBAL SUB pLAN","","",""
"","","","","",""
"","","","","","(In crores of Rupees)"
"","MINISTRY/DEPARTMENT","2011-2012","2012-2013","2012-2013","2013-2014"
"","","Actuals","Budget","Revised","Budget"
"","","","","",""
"","Tribal Sub Plan Schemes","","","",""
"","Demand No. 1","","","",""
"","Department of Agriculture and Cooperation","","","",""
1.0,"Technology Mission on Cotton",0.93,1.6,1.2,1.0
2.0,"Jute Technology Mission",0.86,1.5,1.23,1.0
3.0,"ISOPOM",45.36,25.0,25.3,25.0
4.0,"Development and Strengthening of Seed Infrastructure Facilities for ","","","",""
"","Production and Distribution of Quality Seeds",18.46,20.0,14.75,20.0
5.0,"National Food Security Mission",105.57,170.0,198.15,150.0
6.0,"Extension Support to Central Institutions",0.76,1.25,1.0,1.5
7.0,"Mass Media Support to Agricultural Extension",12.0,30.0,30.0,30.0
8.0,"Establishment of Agri-Clinic and Agri Business Centres",1.25,1.0,1.0,1.5
9.0,"Support to State Extension Services",24.92,50.0,44.94,40.0
10.0,"National Horticulture Board including Investment Capital ","","","",""
"","Subsidy Scheme",12.0,10.0,5.0,5.0
11.0,"Coconut Development Board (CDB) including Technology Mission ","","","",""
"","on Coconut",3.5,2.0,2.0,3.5
12.0,"Horticulture Mission for North-East and Himalayan States",70.17,100.0,105.14,200.0
13.0,"National Mission on Bamboo Technology and Trade Development ",10.58,10.0,14.0,27.0
14.0,"National Mission on Micro-Irrigation",142.36,150.0,101.59,165.0
15.0,"National Horticulture Mission",75.0,160.0,100.0,150.0
16.0,"Strengthening/Promoting Agricultural Information System",0.89,2.0,0.0,0.0
17.0,"National E-Governance Plan- Agriculture ",0.0,10.0,0.0,0.0
18.0,"National Agriculture Insurance ",2.94,5.0,15.0,50.0
19.0,"Weather Based Crop Insurance",37.12,40.0,40.0,60.0
20.0,"Macro Management of Agriculture ",75.0,90.0,50.0,0.0
21.0,"Promotion and Strengthening of Agricultural Machanisation through ","","","",""
"","Training and Testing demonstration",0.0,1.0,1.0,1.0
22.0,"Post Harvest Technology & Management",0.0,1.0,1.0,1.0
23.0,"Grants for Replanting and Rejuvenation of Coconut Garden",0.0,1.0,5.0,0.0
24.0,"National Mission on Oil Seed & Oil Palm (NMOOP) ",0.0,0.08,0.0,0.0
25.0,"National Mission on Agriculture Extention (NMAE)",0.0,0.08,0.0,0.0
26.0,"National Mission for Sustainable Agriculture",0.0,0.08,0.0,0.0
27.0,"Construction of Rural Godown",1.0,0.0,0.0,0.0
28.0,"Development of Market, Infrastructure Grading and Market ","","","",""
"","Standardization",2.0,0.0,0.0,0.0
"","Sub Total",642.67,882.59,757.3,932.5
"","Demand No. 2","","","",""
"","Department of Agricultural Research & Education","","","",""
1.0,"Crop Science Institutes, Research & Education Schemes",12.05,10.0,8.0,10.0
2.0,"Horticulture Institues, Research & Education Scheme ",0.0,4.0,3.0,4.0
3.0,"Agricultural Extension Institutes, Research & Education",0.0,28.0,15.0,28.0
4.0,"Agricultural  Education Institutes, Research & Education Schemes ",0.0,25.0,25.0,25.0
5.0,"National Agricultural Innovation Projects/Externally Aided Project",29.7,10.0,15.0,17.0
6.0,"Other Natural Resource Management Institure Research & ","","","",""
"","Education Schemes.",21.75,27.0,12.0,27.0
7.0,"Animal Science Instituties, Research & Education Schemes",10.25,10.0,7.0,10.0
8.0,"Fisheries Institutes, Research & Education Schemes.",0.0,2.0,1.4,2.0
"","Sub Total",73.75,116.0,86.4,123.0
