-----
{
 "description": "This table shows Gross Area Under Major Crops in India (in Million hectares). It gives crop-wise details regarding area under food grains and non-food-grains for the years 1970-71, 1980-81, 1990-91, 2000-01, 2007-08, 2008-09, 2009-10, 2010-11 and 2011-12.", 
 "file_name": "tab113.xls", 
 "title": "Download XLS for Gross Area Under Major Crops(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab113.xls"
}
-----
"1.13 GROSS AREA UNDER MAJOR CROPS","","","","","","","","",""
"","","","","","","","","(Million hectares)",""
"Group/Commodity","1970-71","1980-81","1990-91","2000-01","2007-08","2008-09","2009-10","2010-11","2011-12a"
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
"Foodgrains",124.3,126.7,127.8,121.0,124.1,122.8,121.3,126.7,125.0
"Kharif",82.3,83.2,80.8,75.2,73.6,71.4,69.5,72.4,72.1
"Rabi",42.0,43.5,47.0,45.8,50.5,51.4,51.8,54.3,52.9
"Cereals",101.8,104.2,103.2,100.7,100.4,100.7,98.0,100.3,100.2
"Kharif",72.9,72.8,69.3,64.6,62.1,61.6,58.9,60.1,60.7
"Rabi",28.9,31.4,33.9,36.1,38.4,39.1,39.1,40.2,39.5
"Pulses",22.6,22.5,24.7,20.3,23.6,22.1,23.3,26.4,24.8
"Kharif",9.5,10.4,11.5,10.6,11.5,9.8,10.6,12.3,11.3
"Rabi",13.1,12.1,13.2,9.7,12.1,12.3,12.7,14.1,13.4
"Rice",37.6,40.1,42.7,44.7,43.9,45.5,41.9,42.9,44.0
"Kharif",36.0,38.4,39.7,40.7,39.5,40.8,37.6,38.0,40.1
"Rabi",1.6,1.7,3.0,4.0,4.5,4.7,4.3,4.8,3.9
"Wheat",18.2,22.3,24.2,25.7,28.0,27.8,28.5,29.1,29.9
"Jowar",17.4,15.8,14.4,9.9,7.8,7.5,7.7,7.4,6.3
"Kharif",10.9,10.2,8.6,4.9,3.5,2.9,3.2,3.1,2.6
"Rabi",6.5,5.6,5.8,5.0,4.3,4.6,4.5,4.3,3.7
"Maize",5.8,6.0,5.9,6.6,8.1,8.2,8.3,8.6,8.7
"Bajra",12.9,11.7,10.5,9.8,9.6,8.8,8.9,9.6,8.7
"Gram",7.8,6.6,7.5,5.2,7.5,7.9,8.2,9.2,8.3
"Tur",2.7,2.8,3.6,3.6,3.7,3.4,3.5,4.4,4.0
"Oilseeds b",16.6,17.6,24.1,22.8,26.7,27.5,26.0,27.2,26.4
"Kharif",10.8,10.2,14.0,15.8,17.9,18.5,18.0,18.2,18.5
"Rabi",5.8,7.4,10.1,7.0,8.8,9.0,8.0,9.0,8.0
"Groundnut",7.3,6.8,8.3,6.6,6.3,6.2,5.5,5.9,5.3
"Kharif","na",5.9,6.8,5.7,5.3,5.3,4.6,5.0,4.3
"Rabi","na",0.9,1.5,0.9,1.0,0.9,0.9,0.9,1.0
"Rapeseed and Mustard",3.3,4.1,5.8,4.5,5.8,6.3,5.6,6.9,5.9
"Sugarcane",2.6,2.7,3.7,4.3,5.1,4.4,4.2,4.9,5.1
"Cotton",7.6,7.8,7.4,8.6,9.4,9.4,10.1,11.2,12.2
"Jute and Mesta",1.1,1.3,1.0,1.0,1.0,0.9,0.9,0.9,0.9
"Jute",0.8,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8
"Mesta",0.3,0.4,0.2,0.2,0.1,0.1,0.1,0.1,0.1
"Plantation crops","","","","","","","","",""
"Tea ",0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.6
"Coffee (Plucked area)",0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4
"Rubber (Tapped area)",0.2,0.3,0.5,0.6,0.6,0.7,0.7,0.7,0.7
"Potato",0.5,0.7,0.9,1.2,1.6,1.8,1.8,1.9,1.9
"Source :  Directorate of Economics & Statistics, Department of Agriculture & Cooperation.","","","","","","","","",""
"a Fourth Advance Estimates","","","","","","","","",""
"b include groundnut, rapeseed & mustard, sesamum,linseed,castorseed, nigerseed, safflower, sunflower and soyabean.","","","","","","","","",""
"na: not available","","","","","","","","",""
