-----
{
 "description": "The table refers to district wise surface flow schemes according to water distribution system. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Statetab4.8.csv", 
 "title": "Download CSV for Districtwise Surface Flow Schemes according to water distribution system for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statetab4.8.csv"
}
-----
State,District,Sprinkler,Drip Irrigation,Open channel,Under ground channel,Others,Total
ANDHRA PRADESH,ADILABAD,71,2,1234,0,32,1339
ANDHRA PRADESH,ANANTHAPUR,16,5,2597,3,71,2692
ANDHRA PRADESH,CHITTOOR,35,11,7379,0,112,7537
ANDHRA PRADESH,CUDDAPAH,10,2,1851,0,0,1863
ANDHRA PRADESH,EAST GODAVARI,11,4,1715,0,57,1787
ANDHRA PRADESH,GUNTUR,0,0,201,0,1,202
ANDHRA PRADESH,HYDERABAD,0,0,29,0,9,38
ANDHRA PRADESH,KARIMNAGAR,14,1,5126,6,101,5248
ANDHRA PRADESH,KHAMMAM,88,2,2599,6,18,2713
ANDHRA PRADESH,KRISHNA,1,0,1009,0,0,1010
ANDHRA PRADESH,KURNOOL,4,11,1004,1,12,1032
ANDHRA PRADESH,MAHABOOB NAGAR,75,9,6839,13,238,7174
ANDHRA PRADESH,MEDAK,33,5,3918,5,195,4156
ANDHRA PRADESH,NALGONDA,18,6,4380,7,11,4422
ANDHRA PRADESH,NELLORE,42,5,1827,1,4,1879
ANDHRA PRADESH,NIZAMABAD,50,16,2129,4,11,2210
ANDHRA PRADESH,PRAKASAM,56,0,1010,1,36,1103
ANDHRA PRADESH,RANGA REDDY,43,1,1630,14,33,1721
ANDHRA PRADESH,SRIKAKULUM,16,7,9056,0,41,9120
ANDHRA PRADESH,VIJAYA NAGARAM,47,5,9542,0,95,9689
ANDHRA PRADESH,VISAKHAPATNAM,52,7,4149,0,1686,5894
ANDHRA PRADESH,WARANGAL,59,21,4848,30,677,5635
ANDHRA PRADESH,WEST GODAVARI,8,2,1445,0,34,1489
ARUNACHAL PRADESH,CHANGLANG,0,2,233,3,0,238
ARUNACHAL PRADESH,DIBANG VALLEY,0,0,103,0,1,104
ARUNACHAL PRADESH,EAST KAMENG,1,1,82,1,0,85
ARUNACHAL PRADESH,EAST SIANG,3,6,850,3,31,893
ARUNACHAL PRADESH,LOHIT,8,0,54,4,0,66
ARUNACHAL PRADESH,LOWER SUBANSIRI,0,0,699,0,3,702
ARUNACHAL PRADESH,PAPUM PARE,0,3,139,2,3,147
ARUNACHAL PRADESH,TAWANG,0,0,69,0,2,71
ARUNACHAL PRADESH,TIRAP,0,0,94,13,1,108
ARUNACHAL PRADESH,UPPER SIANG,0,0,296,0,1,297
ARUNACHAL PRADESH,UPPER SUBANSIRI,1,3,548,2,27,581
ARUNACHAL PRADESH,WEST KAMENG,0,0,52,0,1,53
ARUNACHAL PRADESH,WEST SIANG,0,2,238,3,0,243
ASSAM,BARPETA,0,0,6,0,0,6
ASSAM,BONGAIGAON,0,0,6,0,0,6
ASSAM,CACHAR,0,0,7,0,0,7
ASSAM,DARRANG,1,0,214,1,1,217
ASSAM,DHEMAJI,0,0,8,0,0,8
ASSAM,DHUBRI,0,0,47,0,0,47
ASSAM,DIBRUGARH,0,0,1,0,0,1
ASSAM,GOALPARA,1,0,144,0,1,146
ASSAM,GOLAGHAT,0,0,3,0,0,3
ASSAM,HAILAKANDI,NA,NA,NA,NA,NA,NA
ASSAM,JORHAT,0,0,2,2,0,4
ASSAM,KAMRUP,0,0,104,0,0,104
ASSAM,KARBI ANGLONG,0,0,1273,0,3,1276
ASSAM,KARIMGANJ,0,0,1,0,0,1
ASSAM,KOKRAJHAR,1,0,23,0,0,24
ASSAM,LAKHIMPUR,0,0,2,0,0,2
ASSAM,MARIGAON,0,0,34,0,0,34
ASSAM,NAGAON,0,0,65,0,1,66
ASSAM,NALBARI,0,1,88,0,0,89
ASSAM,NORTH CACHAR HILLS,0,0,263,0,2,265
ASSAM,SIBSAGAR,0,0,4,0,0,4
