-----
{
 "description": "This table gives State-wise number of towns and villages electrified in India.", 
 "file_name": "NUMBER_OF_TOWNS_AND_VILLAGES_ELECTRIFIED_IN_INDIA_1.xls", 
 "title": "Download XLS for Number Of Towns And Villages Electrified In India", 
 "url": "http://data.gov.in/sites/default/files/NUMBER_OF_TOWNS_AND_VILLAGES_ELECTRIFIED_IN_INDIA_1.xls"
}
-----
"State/Union Territory","Towns Total(1)","Towns Electrified(1)","Towns Percentage","Villages Total(1)","Villages Electrified(2)","Villages Percentage"
"Andhra Pradesh",210.0,210.0,100.0,26613.0,26613.0,100.0
"Arunachal Pradesh",17.0,17.0,100.0,3863.0,2195.0,56.8
"Assam ",125.0,125.0,100.0,25124.0,20297.0,80.8
"Bihar",130.0,130.0,100.0,39015.0,23914.0,61.3
"Chattishgarh",97.0,97.0,100.0,19744.0,19129.0,96.9
"Goa",44.0,44.0,100.0,347.0,347.0,100.0
"Gujarat",242.0,242.0,100.0,18066.0,18015.0,99.7
"Haryana",106.0,106.0,100.0,6764.0,6764.0,100.0
"Himachal Pradesh",57.0,57.0,100.0,17495.0,17183.0,98.2
"Jammu & Kashmir ",75.0,75.0,100.0,6417.0,6304.0,98.2
"Jharkhand",152.0,152.0,100.0,29354.0,9119.0,31.1
"Karnataka",270.0,270.0,100.0,27481.0,27458.0,99.9
"Kerala",159.0,159.0,100.0,1364.0,1364.0,100.0
"Madhya Pradesh",394.0,394.0,100.0,52117.0,50226.0,96.4
"Maharashtra",378.0,378.0,100.0,41095.0,36296.0,88.3
"Manipur",33.0,33.0,100.0,2315.0,1986.0,85.8
"Meghalaya",16.0,16.0,100.0,5782.0,3428.0,59.3
"Mizoram",22.0,22.0,100.0,707.0,570.0,80.6
"Nagaland",9.0,9.0,100.0,1278.0,823.0,64.4
"Orissa",138.0,138.0,100.0,47529.0,29735.0,62.6
"Punjab",157.0,157.0,100.0,12278.0,12278.0,100.0
"Rajasthan ",222.0,222.0,100.0,39753.0,27506.0,69.2
"Sikkim",9.0,9.0,100.0,450.0,425.0,94.4
"Tamil Nadu",832.0,832.0,100.0,15400.0,15400.0,100.0
"Tripura",23.0,23.0,100.0,858.0,491.0,57.2
"Uttara Khand",86.0,86.0,100.0,15761.0,15276.0,96.9
"Uttar Pradesh ",704.0,704.0,100.0,97942.0,86450.0,88.3
"West Bengal",375.0,375.0,100.0,37945.0,36934.0,97.3
"A. & N.Islands",3.0,3.0,100.0,501.0,336.0,67.1
"Chandigarh",1.0,1.0,100.0,23.0,23.0,100.0
"D. & N. Haveli",2.0,2.0,100.0,70.0,70.0,100.0
"Daman & Diu",2.0,2.0,100.0,23.0,23.0,100.0
"Delhi",62.0,62.0,100.0,158.0,158.0,100.0
"Lakshadweep",3.0,3.0,100.0,8.0,8.0,100.0
"Pondicherry",6.0,6.0,100.0,92.0,92.0,100.0
"All India",5161.0,5161.0,100.0,593732.0,497236.0,83.7
