-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) details on disposal of juveniles arrested (under IPC And SLL) crimes.", 
 "file_name": "DISPOSAL_OF_JUVENILES_ARRESTED_UNDER_IPC_AND_SLL_CRIMES.xls", 
 "title": "Download XLS for All India And State-wise Disposal Of Juveniles Arrested Under IPC And SLL Crimes", 
 "url": "http://data.gov.in/sites/default/files/DISPOSAL_OF_JUVENILES_ARRESTED_UNDER_IPC_AND_SLL_CRIMES.xls"
}
-----
"Year","Arrested and sent to courts","Sent to Home after Advice or Admonition","Releasd on probation and placed under care of Parents/Guardians","Releasd on probation and placed under care of Fit Instt.","Sent to Special Homes","Dealt with fine","Acquitted or otherwise disposed of","Pending disposal"
2001.0,33628.0,4127.0,4833.0,1003.0,4037.0,897.0,4435.0,14296.0
2002.0,35779.0,3236.0,11338.0,1240.0,3381.0,908.0,1693.0,13983.0
2003.0,33320.0,3413.0,9074.0,1526.0,3936.0,1592.0,1730.0,12049.0
2004.0,30943.0,3848.0,5662.0,1138.0,4942.0,1256.0,1957.0,12140.0
2005.0,32681.0,3807.0,5578.0,1933.0,4423.0,1361.0,1801.0,13778.0
2006.0,32145.0,4036.0,5723.0,1482.0,4510.0,1023.0,1579.0,13792.0
2007.0,34527.0,4476.0,6324.0,1336.0,5077.0,1543.0,1474.0,14297.0
2008.0,34507.0,3964.0,6022.0,1143.0,5764.0,1362.0,1755.0,14497.0
2009.0,33642.0,4986.0,4822.0,1241.0,5420.0,1113.0,1507.0,14553.0
2010.0,30303.0,4145.0,5729.0,1047.0,5798.0,1089.0,1685.0,10810.0
2011.0,33887.0,4045.0,6333.0,1627.0,7292.0,1201.0,2311.0,11078.0
