-----
{
 "description": "The table shows the Nutritional status of children aged 7 months-60 months by Expenditure classes. It provides state-wise details regarding the nutritional status of children who are under the ICDS scheme and those who are not covered under the scheme, categorized on the basis of their monthly ...", 
 "file_name": "ICDS_Table9.3.xls", 
 "title": "Download XLS for Nutritional status of children aged 7 months-60 months by Expenditure classes", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table9.3.xls"
}
-----
"States/UTs ","ICDS-Upto Rs. 2000-Moderately","ICDS-Upto Rs. 2000-Severely","ICDS-2001-3000-Moderately","ICDS-2001-3000-Severely","ICDS-Above 3000-Moderately","ICDS-Above 3000-Severely","Non-ICDS-Upto Rs. 2000-Moderately","Non-ICDS-Upto Rs. 2000-Severely","Non-ICDS-2001-3000-Moderately","Non-ICDS-2001-3000-Severely","Non-ICDS-Above 3000-Moderately","Non-ICDS-Above 3000-Severely"
"Andhra Pradesh",47.7,6.7,44.7,5.0,31.0,1.5,46.3,7.4,45.0,5.7,33.8,0.7
"Assam",58.4,11.7,48.1,9.4,35.2,0.0,60.2,7.0,50.4,8.0,31.0,0.0
"Bihar",44.9,14.2,41.5,7.0,38.0,0.6,55.3,17.7,43.2,11.2,45.9,0.0
"Chhattisgarh",45.3,15.0,49.1,3.9,62.2,2.8,61.5,24.7,61.5,8.6,24.4,0.0
"Gujarat",54.3,8.4,48.6,6.6,56.5,0.0,38.3,10.0,46.0,8.2,45.5,0.0
"Haryana",55.9,11.0,52.7,0.0,24.3,0.0,43.0,4.3,73.4,0.0,17.3,0.0
"Himachal Pradesh",50.2,2.6,46.9,0.7,37.3,0.0,63.9,0.0,47.8,0.0,29.1,0.0
"Jammu and Kashmir",43.8,12.7,33.6,2.6,34.5,0.0,55.6,18.9,48.4,4.4,26.7,0.0
"Jharkhand",47.1,12.5,36.7,7.5,54.0,3.8,40.7,9.3,42.0,2.4,34.8,0.0
"Karnataka",53.2,6.7,42.1,2.5,36.8,0.0,44.3,19.8,57.7,0.0,2.0,0.0
"Kerala",44.2,9.6,35.6,0.0,33.3,0.0,85.6,0.0,0.0,0.0,2.0,0.0
"Madhya Pradesh",57.1,13.4,48.9,7.6,42.9,3.2,63.5,15.6,60.5,11.8,55.3,1.5
"Maharashtra",51.7,5.6,46.3,1.2,26.5,0.0,46.0,13.2,31.8,2.5,28.8,1.7
"Orissa",50.2,13.5,45.9,5.9,32.8,2.3,46.9,20.1,34.1,15.7,37.1,0.0
"Punjab",38.3,12.1,30.1,0.6,30.8,0.0,36.5,8.9,22.9,6.5,17.6,0.0
"Rajasthan",51.3,11.8,41.6,8.9,39.1,3.7,53.0,16.9,46.1,14.1,36.6,1.4
"Tamil Nadu",44.3,5.6,41.7,2.1,34.8,0.0,41.7,6.5,42.9,5.4,42.2,0.0
"Uttar Pradesh",58.2,12.2,52.7,8.4,47.4,5.9,58.7,15.4,47.6,7.5,51.7,2.4
"Uttrakhand",47.4,16.4,45.7,0.0,34.8,0.0,36.4,14.0,33.6,0.0,0.0,0.0
"West Bengal",41.9,6.2,37.7,2.1,29.8,1.9,48.1,12.9,44.9,2.5,37.2,1.7
"Delhi",100.0,0.0,69.3,0.0,48.9,2.0,56.7,0.0,58.7,0.0,47.1,0.0
"Chandigarh",15.0,19.6,29.1,0.0,0.0,0.0,"NA","NA",5.8,0.0,93.1,0.0
"Arunachal Pradesh",35.3,16.2,57.7,15.3,30.1,0.0,16.9,0.0,100.0,0.0,0.0,0.0
"Manipur",56.2,0.0,28.1,0.0,24.9,0.0,22.4,0.0,10.7,0.0,5.9,0.0
"Meghalaya",24.1,7.7,47.5,4.5,34.4,3.5,29.0,23.8,16.3,0.0,47.5,11.1
"Mizoram",46.2,10.1,0.0,12.7,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nagaland",0.0,0.0,17.7,0.0,8.7,2.8,100.0,0.0,51.8,11.6,13.8,4.4
"Tripura",65.4,9.0,15.9,11.7,55.1,0.4,100.0,0.0,4.2,0.0,50.0,0.0
"Sikkim",24.8,0.0,31.0,0.0,34.3,0.0,0.0,0.0,0.0,0.0,84.5,0.0
"Dadar& Nagar Haveli",0.0,0.0,62.4,0.0,88.1,0.0,0.0,100.0,37.7,0.0,9.1,0.0
"Daman & Diu",60.6,0.0,38.0,5.4,30.5,11.1,"NA","NA",0.0,0.0,13.4,0.0
"Goa",0.0,0.0,0.0,0.0,19.4,0.0,"NA","NA",0.0,0.0,56.5,0.0
"Puducherry",48.3,0.0,0.0,0.0,0.0,0.0,9.7,0.0,"NA","NA",0.0,0.0
"Andaman & Nicobar Islands",0.0,0.0,25.0,0.0,28.4,0.0,46.1,0.0,54.7,0.0,56.6,0.0
"All India",51.2,10.2,45.7,5.8,39.4,2.7,52.7,12.7,45.1,6.9,38.5,0.8
