-----
{
 "description": "The table shows the number of visits by Medical Officer in AWC and issues discussed, which are reported by AWW. It is seen that the numbers of visits made by the medical officer was quite low, with the average for six months being only one.", 
 "file_name": "ICDS_Table6.25.xls", 
 "title": "Download XLS for Number of visits by Medical Officer in AWC and issues discussed: Reported by AWW", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table6.25.xls"
}
-----
"States/UTs ","Visits by medical officer (no.)-During last 30 days","Visits by medical officer (no.)-During last 90 days","Visits by medical officer (no.)-During last 6 months","What did he/she do? (%)-Guidance for preparing growth charts","What did he/she do? (%)-Record keeping","What did he/she do? (%)-Target/priority setting","What did he/she do? (%)-Link with administration"
"Andhra Pradesh",0.0,0.0,1.0,41.9,23.6,12.4,22.1
"Assam",0.0,0.0,1.0,11.0,8.1,42.1,38.8
"Bihar",0.0,0.0,0.0,19.2,9.2,0.0,71.7
"Chhattisgarh",0.0,0.0,1.0,30.2,30.3,39.5,0.0
"Gujarat",0.0,1.0,2.0,29.6,22.8,3.0,44.7
"Haryana",0.0,0.0,1.0,46.5,0.0,3.5,50.1
"Himachal Pradesh",0.0,0.0,1.0,0.0,100.0,0.0,0.0
"Jammu and Kashmir",0.0,1.0,1.0,1.3,46.0,42.4,10.3
"Jharkhand",0.0,0.0,0.0,13.4,33.5,8.9,44.2
"Karnataka",0.0,1.0,2.0,55.0,6.1,19.7,19.2
"Kerala",0.0,1.0,1.0,13.3,18.4,68.4,0.0
"Madhya Pradesh",0.0,1.0,1.0,11.2,48.2,9.8,30.8
"Maharashtra",0.0,1.0,2.0,25.9,5.7,15.3,53.1
"Orissa",0.0,0.0,1.0,3.3,17.3,23.9,55.6
"Punjab",0.0,1.0,1.0,7.8,0.0,0.0,92.2
"Rajasthan",0.0,1.0,2.0,7.4,14.8,11.6,66.2
"Tamil Nadu",0.0,1.0,2.0,43.8,10.9,21.7,23.7
"Uttar Pradesh",0.0,0.0,0.0,17.0,27.5,17.2,38.2
"Uttrakhand",0.0,0.0,0.0,0.0,0.0,39.1,60.9
"West Bengal",0.0,0.0,0.0,19.6,18.3,18.3,43.7
"Delhi",0.0,0.0,1.0,100.0,0.0,0.0,0.0
"Chandigarh",0.0,1.0,2.0,0.0,0.0,0.0,100.0
"Arunachal Pradesh",0.0,0.0,0.0,0.0,0.0,16.6,83.4
"Manipur",0.0,0.0,0.0,"NA","NA","NA","NA"
"Meghalaya",0.0,1.0,1.0,42.5,0.0,57.5,0.0
"Mizoram",0.0,0.0,0.0,"NA","NA","NA","NA"
"Nagaland",0.0,0.0,0.0,68.8,0.0,0.0,31.3
"Tripura",0.0,0.0,0.0,30.3,0.0,69.7,0.0
"Sikkim",0.0,0.0,0.0,0.0,100.0,0.0,0.0
"Dadar & Nagar Haveli",0.0,1.0,2.0,0.0,0.0,40.0,60.0
"Daman & Diu",0.0,0.0,1.0,0.0,20.0,20.0,60.0
"Goa",0.0,0.0,0.0,100.0,0.0,0.0,0.0
"Puducherry",1.0,1.0,2.0,60.0,20.0,20.0,0.0
"Andaman & Nicobar Island",0.0,0.0,0.0,"NA","NA","NA","NA"
"All India",0.0,1.0,1.0,26.4,17.9,18.7,37.0
