-----
{
 "description": "The table shows proportion of supplementary nutrition funds spent for pregnant women and lactating mothers. It provides state-wise details regarding Actual Expenditure on pregnant women and lactating mothers.", 
 "file_name": "ICDS_Table10.5.xls", 
 "title": "Download XLS for Proportion of supplementary nutrition funds spent for pregnant women and lactating mothers", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table10.5.xls"
}
-----
"States/UTs ","Actual Expenditure on PW & LM SN (in lakh) in 2008-09","Expenditure on PW & LM's SN as % to total expenditure on SN","Estimated value of SN reached/delivered to PW & LM as % to actual expenditure on PW & LM SN in 2008-09"
"Andhra Pradesh",7824.0,22.3,35.1
"Assam",1938.0,20.3,0.0
"Bihar",10005.0,18.9,27.2
"Chhattisgarh",4247.0,23.1,49.2
"Gujarat",2445.0,18.7,42.8
"Haryana",2809.0,24.4,67.0
"Himachal Pradesh",948.0,20.9,48.2
"Jammu & Kashmir",938.0,21.7,57.9
"Jharkhand",4599.0,24.3,73.1
"Karnataka",5446.0,22.1,39.9
"Kerala",2102.0,17.7,71.3
"Madhya Pradesh",5329.0,19.6,25.1
"Maharashtra",6447.0,16.6,74.6
"Orissa",3660.0,17.9,72.0
"Punjab",1139.0,25.0,56.2
"Rajasthan",5579.0,23.5,13.4
"Tamil Nadu",2852.0,20.7,46.5
"Uttar Pradesh",19910.0,18.3,25.0
"Uttaranchal",218.0,20.5,36.9
"West Bengal",4404.0,14.6,77.5
"Delhi",894.0,18.4,50.1
"Chandigarh",41.0,19.6,80.0
"Arunachal Pradesh",112.0,12.7,17.7
"Manipur",395.0,16.6,1.9
"Meghalaya",535.0,17.0,37.2
"Mizoram",359.0,24.0,68.0
"Nagaland",430.0,17.2,25.8
"Tripura",413.0,21.7,18.7
"Sikkim",116.0,18.2,45.1
"Dadar & Nagar Haveli",24.0,19.7,96.0
"Daman & Diu",2.0,19.6,88.0
"Goa",72.0,22.9,96.0
"Puducherry",122.0,27.4,96.0
"Lakshadweep",27.0,24.0,37.6
"Andaman & Nicobar Islands",94.0,21.1,44.5
"All India",95690.0,19.4,37.6
