-----
{
 "description": "The table refers to District wise Distribution of Surface Flow Schemes(Temporary diversion) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowstate4.17.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Flow Schemes(Temporary diversion) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcflowstate4.17.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"BIHAR","PATNA",43,0,43,228,0,228,116,0,116
"BIHAR","ROHTAS(SASARAM)",12,4,16,231,28,259,112,13,125
"BIHAR","SARAN",0,0,0,0,0,0,0,0,0
"BIHAR","SHEKHPURA",0,0,0,0,0,0,0,0,0
"BIHAR","SITAMARHI",0,0,0,0,0,0,0,0,0
"BIHAR","SIWAN",1,0,1,131,0,131,99,0,99
"BIHAR","SUPAUL",0,0,0,0,0,0,0,0,0
"BIHAR","VAISHALI",0,0,0,0,0,0,0,0,0
"BIHAR","WEST CHAMPARAN",4,0,4,121,0,121,39,0,39
"CHHATTISGARH","BASTER",47,892,939,34,644,677,18,457,475
"CHHATTISGARH","BILASPUR",3,19,22,30,74,104,29,72,101
"CHHATTISGARH","DANTEWADA",4,54,58,75,153,227,43,111,154
"CHHATTISGARH","DHAMTARI",2,1,3,20,18,38,12,18,30
"CHHATTISGARH","DURG",11,2,13,686,17,703,121,14,135
"CHHATTISGARH","JANJGIR-CHAMPA",288,91,379,1185,436,1621,1112,431,1544
"CHHATTISGARH","JASHPUR",100,114,214,571,83,654,392,76,469
"CHHATTISGARH","KANKER",3,3,6,184,16,200,120,8,127
"CHHATTISGARH","KORBA",13,963,976,42,592,635,41,581,623
"CHHATTISGARH","KORIA",6,47,53,54,171,224,33,84,117
"CHHATTISGARH","KVARDHA",264,184,448,59,167,226,55,159,214
"CHHATTISGARH","MAHASAMUND",33,3,36,1460,22,1482,717,13,730
"CHHATTISGARH","RAIGARH",43,556,599,350,723,1073,225,564,789
"CHHATTISGARH","RAIPUR",27,142,169,1689,214,1903,1549,187,1737
"CHHATTISGARH","RAJNANDGAON",17,59,76,985,123,1108,951,119,1070
"CHHATTISGARH","SURGUJA",151,67,218,1710,441,2151,1044,415,1458
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",0,0,0,0,0,0,0,0,0
"DELHI","ALIPUR",0,0,0,0,0,0,0,0,0
"GOA","NORTH GOA",6,334,340,17,398,416,17,386,403
"GOA","SOUTH GOA",3,283,286,13,662,675,13,647,661
"GUJARAT","AHMEDABAD",0,0,0,0,0,0,0,0,0
"GUJARAT","AMRELI",0,0,0,0,0,0,0,0,0
"GUJARAT","BANASKANTHA",0,0,0,0,0,0,0,0,0
"GUJARAT","BHARUCH",0,0,0,0,0,0,0,0,0
"GUJARAT","BHAVNAGAR",0,0,0,0,0,0,0,0,0
"GUJARAT","DAHOD",0,0,0,0,0,0,0,0,0
"GUJARAT","DANG",0,0,0,0,0,0,0,0,0
"GUJARAT","GANDHINAGAR",0,0,0,0,0,0,0,0,0
"GUJARAT","JAMNAGAR",0,0,0,0,0,0,0,0,0
"GUJARAT","JUNAGADH",0,0,0,0,0,0,0,0,0
"GUJARAT","KACHCHH",2,0,2,8,0,8,8,0,8
"GUJARAT","KHEDA",0,0,0,0,0,0,0,0,0
"GUJARAT","MEHSANA",0,0,0,0,0,0,0,0,0
"GUJARAT","NARMADA",0,0,0,0,0,0,0,0,0
"GUJARAT","NAVSARI",0,0,0,0,0,0,0,0,0
"GUJARAT","PANCHMAHAL",1,0,1,24,0,24,0,0,0
"GUJARAT","PATAN",0,0,0,0,0,0,0,0,0
"GUJARAT","PORBANDAR",1,0,1,20,0,20,0,0,0
"GUJARAT","RAJKOT",8,25,33,16,92,108,0,68,68
"GUJARAT","SABARKANTHA",0,0,0,0,0,0,0,0,0
"GUJARAT","SURAT",0,0,0,0,0,0,0,0,0
"GUJARAT","SURENDRANAGAR",3,8,11,5,17,22,0,0,0
"GUJARAT","VADODARA",1,1,2,443,100,543,443,3,446
"GUJARAT","VALSAD",0,0,0,0,0,0,0,0,0
"HARYANA","AMBALA",2,4,6,56,307,363,55,300,355
"HARYANA","BHIWANI",0,1,1,0,6,6,0,6,6
"HARYANA","GURGAON",0,0,0,0,0,0,0,0,0
"HARYANA","KARNAL",0,0,0,0,0,0,0,0,0
"HARYANA","PANCHKULA",9,10,19,85,44,129,33,44,76
"HARYANA","REWARI",0,0,0,0,0,0,0,0,0
"HIMACHAL PRADESH","Bilaspur",184,319,503,901,1195,2095,857,1116,1973
"HIMACHAL PRADESH","Chamba",73,160,233,726,856,1582,638,677,1314
"HIMACHAL PRADESH","Hamirpur",79,72,151,1259,292,1551,1258,254,1512
"HIMACHAL PRADESH","Kangra",391,413,804,13333,9249,22582,12998,9118,22116
"HIMACHAL PRADESH","Kinnaur",127,38,165,4532,631,5163,3191,436,3627
"HIMACHAL PRADESH","Kullu",20,17,37,709,259,968,708,257,965
"HIMACHAL PRADESH","Lahul & Spiti",4,206,210,28,878,906,28,876,904
"HIMACHAL PRADESH","Mandi",1949,1131,3080,10190,7716,17906,8828,7377,16205
"HIMACHAL PRADESH","Shimla",463,449,912,2970,1688,4658,2245,1372,3617
"HIMACHAL PRADESH","Sirmaur",514,1065,1579,4305,9127,13432,3962,6426,10388
"HIMACHAL PRADESH","Solan",398,278,676,2720,1361,4082,2202,1175,3377
"HIMACHAL PRADESH","Una",18,62,80,45,527,572,29,386,414
"JAMMU & KASHMIR","ANANTNAG",32,37,69,3064,4208,7272,3004,3911,6915
"JAMMU & KASHMIR","BADGAM",2,0,2,79,0,79,74,0,74
"JAMMU & KASHMIR","BARAMULLA",83,15,98,3719,855,4574,3312,843,4155
"JAMMU & KASHMIR","DODA",15,107,122,195,1524,1719,195,1524,1719
"JAMMU & KASHMIR","JAMMU",2,3,5,30,57,87,30,52,82
"JAMMU & KASHMIR","KARGIL",0,0,0,0,0,0,0,0,0
"JAMMU & KASHMIR","KATHUA",46,102,148,2074,4036,6110,1868,3958,5826
"JAMMU & KASHMIR","KUPWARA",3,10,13,286,509,795,260,509,769
"JAMMU & KASHMIR","LEH",0,7,7,0,167,167,0,158,158
"JAMMU & KASHMIR","POONCH",29,33,62,2055,1101,3156,1649,912,2561
"JAMMU & KASHMIR","PULWAMA",0,0,0,0,0,0,0,0,0
"JAMMU & KASHMIR","RAJOURI",7,212,219,97,3777,3874,79,3346,3425
"JAMMU & KASHMIR","SRINAGAR",0,0,0,0,0,0,0,0,0
"JAMMU & KASHMIR","UDHAMPUR",65,236,301,1094,2268,3362,858,1772,2630
"JHARKHAND","BOKARO",29,47,76,192,125,317,187,123,310
"JHARKHAND","CHATRA",74,71,145,249,265,514,164,262,426
"JHARKHAND","DEOGHAR",56,138,194,294,522,816,206,274,480
"JHARKHAND","DHANBAD",7,24,31,29,68,97,14,26,40
"JHARKHAND","DUMKA",71,172,243,172,252,424,153,194,348
"JHARKHAND","GARHWA",17,24,41,165,151,315,163,80,243
"JHARKHAND","GIRIDIH",31,34,65,162,51,212,114,39,153
"JHARKHAND","GODDA",54,19,73,503,119,622,482,117,598
"JHARKHAND","GUMLA",3,95,98,21,65,86,20,42,62
"JHARKHAND","HAZARIBAGH",34,7,41,177,12,189,148,6,154
"JHARKHAND","JAMTARA",13,118,131,27,136,163,23,95,118
"JHARKHAND","KODERMA",16,7,23,140,34,174,137,31,168
"JHARKHAND","LATEHAR",151,38,189,775,169,944,597,127,724
"JHARKHAND","LOHARDAGA",0,2,2,0,25,25,0,14,14
"JHARKHAND","PAKUR",30,17,47,79,20,99,24,8,32
"JHARKHAND","PALAMU",681,34,715,3959,83,4042,2793,73,2866
"JHARKHAND","RANCHI",11,50,61,195,156,351,138,114,252
"JHARKHAND","SAHEBGANJ",16,23,39,41,55,96,31,38,70
"JHARKHAND","SARAIKELA",13,7,20,81,28,109,43,21,64
"JHARKHAND","SIMDEGA",4,6,10,14,10,24,11,5,15
"JHARKHAND","WEST SINGHBHUM",42,61,103,270,70,340,170,54,224
"KARNATAKA","Bagalkote",1,0,1,93,0,93,69,0,69
"KARNATAKA","Bangalore",55,0,55,225,0,225,201,0,201
"KARNATAKA","Bangalore Rural",19,9,28,142,21,163,107,21,127
"KARNATAKA","Belgaum",5,1,6,11,33,44,0,33,33
"KARNATAKA","Bellary",13,9,22,486,13,500,486,12,498
"KARNATAKA","Bidar",210,0,210,242,0,242,238,0,238
"KARNATAKA","Bijapur",0,0,0,0,0,0,0,0,0
"KARNATAKA","Chamaraja Nagara",4,0,4,340,0,340,159,0,159
"KARNATAKA","Chikmagalur",155,1,156,1174,9,1182,1129,9,1138
"KARNATAKA","Chitradurga",7,0,7,294,0,294,289,0,289
"KARNATAKA","Dakshina Kannada",507,99,606,534,144,678,520,144,664
"KARNATAKA","Davanagere",126,2,128,482,2,484,480,2,482
"KARNATAKA","Dharwar",7,39,46,352,138,490,177,128,305
"KARNATAKA","Gadag",2,1,3,397,235,632,197,122,319
"KARNATAKA","Gulbarga",72,2,74,202,245,447,138,244,382
"KARNATAKA","Hassan",353,6,359,3710,19,3729,2503,19,2522
"KARNATAKA","Haveri",80,0,80,412,0,412,403,0,403
"KARNATAKA","Kodagu",162,0,162,134,0,134,127,0,127
"KARNATAKA","Kolar",151,0,151,1824,0,1824,750,0,750
"KARNATAKA","Koppal",6,0,6,231,0,231,213,0,213
"KARNATAKA","Mandya",37,0,37,641,0,641,632,0,632
"KARNATAKA","Mysore",73,1,74,683,1,684,621,1,622
"KARNATAKA","Raichur",8,1,9,11,2,14,0,2,2
"KARNATAKA","Shimoga",149,60,209,2541,82,2623,2387,48,2435
"KARNATAKA","Tumkur",40,0,40,552,0,552,432,0,432
"KARNATAKA","Udupi",470,26,496,4584,14,4598,3929,14,3943
"KARNATAKA","Uttara Kannada",162,112,274,1032,1352,2384,987,868,1854
"KERALA","ALAPPUZHA",2,0,2,126,0,126,108,0,108
"KERALA","ERANAKULAM",82,10,92,1712,229,1941,1546,207,1753
"KERALA","IDDUKKI",94,12,106,1669,219,1887,1507,190,1697
"KERALA","KANNUR",0,5,5,0,123,123,0,112,112
"KERALA","KASARAGODE",3,0,3,64,0,64,63,0,63
"KERALA","KOLLAM",52,0,52,1200,0,1200,1138,0,1138
"KERALA","KOTTAYAM",63,115,178,736,544,1280,672,423,1095
"KERALA","KOZHIKODE",14,44,58,201,142,342,201,134,335
"KERALA","MALAPPURAM",36,44,80,684,139,823,623,125,748
"KERALA","PALAKKAD",29,44,73,872,332,1204,844,327,1171
"KERALA","PATHANAMTHITTA",7,14,21,224,799,1023,202,655,858
"KERALA","THIRUVANANTHAPURAM",256,81,337,6669,1670,8339,6074,1438,7513
"KERALA","THRISSUR",21,112,133,778,2841,3619,679,2574,3252
"KERALA","WAYANAD",6,5,11,238,32,270,236,30,266
"MADHYA PRADESH","BALAGHAT",91,83,174,895,450,1345,853,354,1207
"MADHYA PRADESH","BARWANI",0,137,137,0,265,265,0,194,194
"MADHYA PRADESH","BETUL",112,700,812,261,1502,1764,182,1058,1240
"MADHYA PRADESH","BHIND",2,0,2,8,0,8,8,0,8
"MADHYA PRADESH","BHOPAL",0,302,302,0,1575,1575,0,523,523
"MADHYA PRADESH","CHHATARPUR",15,1150,1165,296,8483,8779,289,8483,8772
"MADHYA PRADESH","CHHINDWARA",0,274,274,0,342,342,0,309,309
"MADHYA PRADESH","DAMOH",0,764,764,0,1624,1624,0,1595,1595
"MADHYA PRADESH","DATIA",0,0,0,0,0,0,0,0,0
"MADHYA PRADESH","DEWAS",0,442,442,0,1968,1968,0,802,802
"MADHYA PRADESH","DHAR",24,129,153,51,233,283,42,93,135
"MADHYA PRADESH","GUNA",2,1186,1188,9,2435,2445,9,2423,2433
"MADHYA PRADESH","GWALIOR",55,0,55,284,0,284,110,0,110
"MADHYA PRADESH","HARDA",0,105,105,0,219,219,0,219,219
"MADHYA PRADESH","HOSHANGABAD",0,139,139,0,337,337,0,299,299
"MADHYA PRADESH","INDORE",0,1,1,0,0,0,0,0,0
"MADHYA PRADESH","JABALPUR",0,18,18,0,37,37,0,33,33
"MADHYA PRADESH","JHABUA",3,758,761,35,874,909,4,722,726
"MADHYA PRADESH","KATNI",84,272,356,159,360,518,159,305,463
"MADHYA PRADESH","KHANDWA",0,105,105,0,197,197,0,142,142
"MADHYA PRADESH","KHARGONE",1,106,107,90,249,339,21,202,223
"MADHYA PRADESH","MANDLA",1,14,15,85,8,93,46,5,51
"MADHYA PRADESH","MANDSAUR",0,0,0,0,0,0,0,0,0
"MADHYA PRADESH","MORENA",0,0,0,0,0,0,0,0,0
"MADHYA PRADESH","NARSINGHPUR",0,242,242,0,2714,2714,0,2647,2647
"MADHYA PRADESH","NEEMUCH",6,12,18,45,88,133,16,14,31
"MADHYA PRADESH","PANNA",178,447,625,339,3080,3419,303,770,1073
"MADHYA PRADESH","RAISEN",1,0,1,4,0,4,4,0,4
"MADHYA PRADESH","RAJGARH",104,323,427,315,766,1080,161,360,521
"MADHYA PRADESH","RATLAM",192,255,447,472,486,958,218,161,379
"MADHYA PRADESH","REWA",1,239,240,50,1684,1734,24,574,598
"MADHYA PRADESH","SAGAR",1,877,878,4,1264,1268,4,1237,1240
"MADHYA PRADESH","SATNA",9,51,60,198,475,673,149,112,262
"MADHYA PRADESH","SEHORE",0,52,52,0,1050,1050,0,127,127
"MADHYA PRADESH","SEONI",37,121,158,891,291,1182,482,269,751
"MADHYA PRADESH","SHAHDOL",14,394,408,136,429,566,22,274,296
"MADHYA PRADESH","SHAJAPUR",14,63,77,31,239,269,11,132,144
"MADHYA PRADESH","SHEOPUR",4,234,238,48,222,270,48,210,258
"MADHYA PRADESH","SHIVPURI",155,734,889,789,1725,2514,787,1485,2272
"MADHYA PRADESH","SIDHI",7,58,65,363,2551,2913,359,1043,1401
"MADHYA PRADESH","TIKAMGARH",0,241,241,0,786,786,0,630,630
"MADHYA PRADESH","UJJAIN",0,106,106,0,400,400,0,332,332
"MADHYA PRADESH","UMARIA",7,30,37,90,55,145,81,35,116
"MADHYA PRADESH","VIDISHA",24,530,554,79,1439,1518,75,1144,1219
"MAHARASHTRA","AHMEDNAGAR",0,115,115,0,188,188,0,188,188
"MAHARASHTRA","AKOLA",5,0,5,13,0,13,3,0,3
"MAHARASHTRA","AMRAVATI",0,12,12,0,47,47,0,31,31
"MAHARASHTRA","AURANGABAD",0,0,0,0,0,0,0,0,0
"MAHARASHTRA","BEED",0,6,6,0,20,20,0,20,20
"MAHARASHTRA","BHANDARA",4,0,4,223,0,223,87,0,87
"MAHARASHTRA","BULDANA",0,30,30,0,88,88,0,88,88
"MAHARASHTRA","CHANDRAPUR",2,9,11,43,707,750,43,707,750
"MAHARASHTRA","DHULE",0,5,5,0,9,9,0,9,9
"MAHARASHTRA","GADCHIROLI",2,32,34,82,103,185,82,103,185
"MAHARASHTRA","GONDIYA",0,0,0,0,0,0,0,0,0
"MAHARASHTRA","HINGOLI",1,0,1,64,0,64,24,0,24
"MAHARASHTRA","JALGAON",0,0,0,0,0,0,0,0,0
"MAHARASHTRA","JALNA",0,0,0,0,0,0,0,0,0
"MAHARASHTRA","KOLHAPUR",0,77,77,0,155,155,0,155,155
"MAHARASHTRA","LATUR",0,55,55,0,187,187,0,173,173
"MAHARASHTRA","NAGPUR",0,5,5,0,110,110,0,108,108
"MAHARASHTRA","NANDED",2,0,2,71,0,71,24,0,24
"MAHARASHTRA","NANDURBAR",0,0,0,0,0,0,0,0,0
"MAHARASHTRA","NASHIK",0,2,2,0,6,6,0,6,6
"MAHARASHTRA","OSMANABAD",0,21,21,0,110,110,0,47,47
"MAHARASHTRA","PARBHANI",1,0,1,13,0,13,2,0,2
"MAHARASHTRA","PUNE",1,1232,1233,2,2759,2760,2,2664,2666
"MAHARASHTRA","RAIGHAR",4,0,4,15,0,15,15,0,15
"MAHARASHTRA","RATNAGIRI",15,366,381,38,583,621,16,184,200
"MAHARASHTRA","SANGLI",0,0,0,0,0,0,0,0,0
"MAHARASHTRA","SATARA",38,918,956,400,570,970,400,570,970
"MAHARASHTRA","SINDHUDURGA",13,1,14,188,1,189,117,1,119
"MAHARASHTRA","SOLAPUR",0,5,5,0,345,345,0,236,236
"MAHARASHTRA","THANE",0,0,0,0,0,0,0,0,0
"MAHARASHTRA","WARDHA",0,10,10,0,855,855,0,773,773
"MAHARASHTRA","WASHIM",0,10,10,0,15,15,0,15,15
"MAHARASHTRA","YAVATMAL",0,0,0,0,0,0,0,0,0
"MANIPUR","BISHNUPUR",0,0,0,0,0,0,0,0,0
"MANIPUR","CHANDEL",10,0,10,390,0,390,254,0,254
"MANIPUR","CHURACHANDPUR",21,0,21,755,0,755,450,0,450
"MANIPUR","IMPHAL EAST",1,11,12,20,660,680,20,610,630
"MANIPUR","IMPHAL WEST",0,17,17,0,4386,4386,0,3420,3420
"MANIPUR","SENAPATI",1,0,1,80,0,80,68,0,68
"MANIPUR","TAMENGLONG",11,0,11,186,0,186,112,0,112
"MANIPUR","THOUBAL",0,0,0,0,0,0,0,0,0
"MANIPUR","UKHRUL",0,0,0,0,0,0,0,0,0
"MEGHALAYA","EAST GARO HILLS",0,1,1,0,35,35,0,35,35
"MEGHALAYA","EAST KHASI HILLS",1,3993,3994,27,8583,8610,27,6318,6346
"MEGHALAYA","JAINTIA HILLS",4,1167,1171,37,3953,3989,35,3349,3384
"MEGHALAYA","RI BHOI",4,4650,4654,21,17851,17872,21,17653,17675
"MEGHALAYA","SOUTH GARO HILLS",3,0,3,48,0,48,20,0,20
"MEGHALAYA","WEST GARO HILLS",28,171,199,795,5082,5878,644,4329,4973
"MEGHALAYA","WEST KHASI HILLS",1,1138,1139,1,16601,16602,1,13635,13636
"MIZORAM","AIZAWL",0,785,785,0,1049,1049,0,685,685
"MIZORAM","CHAMPHAI",0,1673,1673,0,1888,1888,0,1385,1385
"MIZORAM","KOLASIB",0,148,148,0,443,443,0,384,384
"MIZORAM","LAWNGTLAI",0,835,835,0,1190,1190,0,534,534
"MIZORAM","LUNGLEI",0,620,620,0,695,695,0,522,522
"MIZORAM","MAMIT",0,178,178,0,337,337,0,216,216
"MIZORAM","SAIHA",0,236,236,0,294,294,0,252,252
"MIZORAM","SERCHHIP",0,530,530,0,564,564,0,358,358
"NAGALAND","DIMAPUR",0,951,951,0,31510,31510,0,7697,7697
"NAGALAND","KOHIMA",7,2590,2597,82,15926,16009,37,9431,9467
"NAGALAND","MOKOKCHUNG",0,1046,1046,0,8194,8194,0,3996,3996
"NAGALAND","MON",0,587,587,0,1782,1782,0,1072,1072
"NAGALAND","PHEK",0,3666,3666,0,14468,14468,0,8889,8889
"NAGALAND","TUENSANG",1,5003,5004,2,9713,9714,1,6344,6345
"NAGALAND","WOKHA",0,1519,1519,0,3259,3259,0,2027,2027
"NAGALAND","ZUNHEBOTO",0,626,626,0,2132,2132,0,1234,1234
"ORISSA","ANGUL",27,5,32,864,79,943,456,68,524
"ORISSA","BALASORE",15,0,15,1007,0,1007,553,0,553
"ORISSA","BARGARH",10,3,13,250,371,621,221,188,408
"ORISSA","BHADRAK",3,75,78,40,543,583,27,535,562
"ORISSA","BOLANGIR",16,4,20,891,5,896,552,2,554
"ORISSA","BOUDH",2,2,4,153,0,153,133,0,133
"ORISSA","CUTTACK",18,30,48,145,31,177,122,27,149
"ORISSA","DEOGARH",41,15,56,245,48,293,107,22,130
"ORISSA","DHENKANAL",40,11,51,2187,33,2220,1620,22,1642
"ORISSA","GAJAPATI",46,39,85,294,191,485,218,167,386
"ORISSA","GANJAM",68,27,95,2130,331,2461,1735,304,2039
"ORISSA","JAGATSINGHPUR",0,1,1,0,1,1,0,1,1
"ORISSA","JAJAPUR",2,2,4,33,13,46,11,13,24
"ORISSA","JHARSUGUDA",6,15,21,58,153,211,54,73,128
"ORISSA","KALAHANDI",36,5,41,779,25,804,423,19,441
"ORISSA","KANDHAMAL",89,1,90,394,5,399,305,3,308
"ORISSA","KENDRAPARA",0,2,2,0,44,44,0,19,19
"ORISSA","KEONJHAR",56,36,92,1245,104,1348,906,84,990
"ORISSA","KHURDA",26,5,31,88,81,168,88,31,118
"ORISSA","KORAPUT",123,277,400,2511,965,3477,1054,722,1776
"ORISSA","MALKANAGIRI",10,6,16,41,30,71,25,28,53
"ORISSA","MAYURBHANJA",49,99,148,2068,590,2658,1841,240,2081
"ORISSA","NAWARANGAPUR",8,3,11,84,2,86,57,1,59
"ORISSA","NAYAGARH",5,3,8,35,14,49,17,11,29
"ORISSA","NUAPADA",16,0,16,452,0,452,119,0,119
"ORISSA","PURI",0,8,8,0,195,195,0,195,195
"ORISSA","RAYAGADA",37,177,214,594,1155,1749,317,842,1159
"ORISSA","SAMBALPUR",28,9,37,390,59,449,240,29,269
"ORISSA","SONEPUR",0,0,0,0,0,0,0,0,0
"ORISSA","SUNDARGARH",13,10,23,563,136,699,334,28,362
"PONDICHERRY","KARAIKAL",0,0,0,0,0,0,0,0,0
"PONDICHERRY","PONDICHERRY",0,0,0,0,0,0,0,0,0
"PONDICHERRY","YANAM",0,2,2,0,0,0,0,0,0
"PUNJAB","GURDASPUR",0,3,3,0,72,72,0,72,72
