-----
{
 "description": "The table gives Ninth Plan Outlay by Heads of Development for Centre, States and Union Territories. It gives details of Heads of Development-Wise Outlay (amount and percentage share in total distribution) for the years 1997-2002 (Ninth Five-Year Plan), 1997-98, 1998-99, 1999-2000, 2000-01 and ...", 
 "file_name": "tab28.xls", 
 "title": "Download XLS for Ninth Plan Outlay by Heads of Development: Centre, States and Union Territories, 1997-98  to 2001-02(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab28.xls"
}
-----
"2.8 NINTH PLAN OUTLAY BY HEADS OF DEVELOPMENT : CENTRE, STATES AND UNION TERRITORIES","","","","","","","","","","","","",""
"1997-98 to 2001-02","","","","","","","","","","","","",""
"","Amount (`crore)","","","","","","","Percentage distribution","","","","",""
"","Ninth","Annual","Annual","Annual","Annual","Annual","","Ninth","Annual","Annual","Annual","Annual","Annual"
"Head of development","Plan","Plan","Plan","Plan","Plan","Plan","","Plan","Plan","Plan","Plan","Plan","Plan"
"","1997-2002","1997-98","1998-99","1999-2000","2000-01","2001-02","","1997-2002","1997-98","1998-99","1999-2000","2000-01","2001-02"
"","(Actual)","(Actual)","(Actual)","(Actual)","(Actual)","(Actual)","","(Actual)","(Actual)","(Actual)","(Actual)","(Actual)","(Actual)"
1.0,2.0,3.0,4.0,5.0,6.0,7.0,"",8.0,9.0,10.0,11.0,12.0,13.0
"I. Agricultural & allied activities",42462.0,5929.3,7698.2,7365.4,7576.9,8248.3,"",4.9,4.6,5.1,4.6,4.1,4.4
"II. Rural development",74686.0,10074.3,10985.5,11280.5,9852.4,14234.8,"",8.7,7.8,7.2,7.0,5.3,7.6
"III. Special area programmes",3649.0,874.0,1183.8,1513.9,1045.5,919.1,"",0.4,0.7,0.8,0.9,0.6,0.5
"IV. Irrigation and flood control",55420.0,9905.0,10813.7,14209.7,13529.1,14552.0,"",6.5,7.6,7.1,8.8,7.3,7.8
"V. Energy",222375.0,31792.7,35572.4,35809.6,40893.4,37145.4,"",25.9,24.5,23.5,22.3,22.0,19.9
"    a. Power","a",19396.3,21159.0,21327.4,28015.4,25180.0,"","a",14.9,14.0,13.3,15.1,13.5
"    b. Petroleum","a",9682.7,11213.6,9953.2,9867.2,8702.1,"","a",7.5,7.4,6.2,5.3,4.7
"    c. Coal & lignite","a",2212.7,2540.2,3719.1,2093.5,2106.8,"","a",1.7,1.7,2.3,1.1,1.1
"    d. Non-conventional sources","","","","","","","","","","","","",""
"       of energy","a",501.0,659.5,809.9,917.3,1156.5,"","a",0.4,0.4,0.5,0.5,0.6
"VI. Industry and minerals",65148.0,10306.1,7978.9,7247.8,6866.0,7942.0,"",7.6,7.9,5.3,4.5,3.7,4.3
"     a. Village and small scale","a",1813.9,1776.7,1746.6,909.5,1842.0,"","a",1.4,1.2,1.1,0.5,1.0
"         industries","","","","","","","","","","","","",""
"     b. Other industries","a",8492.2,6202.3,5501.2,5956.6,6100.0,"","a",6.5,4.1,3.4,3.2,3.3
"VII. Transport",119373.0,18101.1,20347.0,23462.6,25733.8,29918.3,"",13.9,13.9,13.4,14.6,13.9,16.1
"     a. Railways","a",8239.0,8857.0,9057.0,9395.0,10177.0,"","a",6.3,5.8,5.6,5.1,5.5
"     b. Others","a",9862.1,11490.0,14405.6,16338.8,19741.3,"","a",7.6,7.6,9.0,8.8,10.6
"VIII. Communications",47280.0,10131.5,11375.6,14038.6,31880.9,18083.0,"",5.5,7.8,7.5,8.7,17.2,9.7
"IX. Science, technology &",18458.0,2004.0,2442.5,2941.7,3248.5,3669.7,"",2.1,1.5,1.6,1.8,1.7,2.0
"     environment","","","","","","","","","","","","",""
"X. General economic services",14580.0,1811.0,3071.3,2451.6,2537.6,2948.0,"",1.7,1.4,2.0,1.5,1.4,1.6
"XI. Social services",183273.0,26867.1,38737.9,38439.4,40919.5,46474.0,"",21.3,20.7,25.6,23.9,22.0,24.9
"     a. Education","a",7656.6,9684.1,9999.6,11690.5,10807.7,"","a",5.9,6.4,6.2,6.3,5.8
"     b. Medical & public health","a",2641.5,5411.9,3568.7,4055.3,4408.5,"","a",2.0,3.6,2.2,2.2,2.4
"     c. Family welfare","a",1822.2,2342.7,2969.1,3200.0,3613.9,"","a",1.4,1.5,1.8,1.7,1.9
"     d. Housing","a",2117.5,3143.4,3516.4,3588.4,6674.5,"","a",1.6,2.1,2.2,1.9,3.6
"     e. Urban development","a",2944.4,2820.6,2823.2,3143.1,5260.1,"","a",2.3,1.9,1.8,1.7,2.8
"     f. Other social services","a",9685.0,15335.1,15562.5,15242.2,15709.3,"","a",7.5,10.1,9.7,8.2,8.4
"XII. General services",12496.0,1961.2,1373.6,1847.4,1653.2,2180.6,"",1.5,1.5,0.9,1.2,0.9,1.2
"XIII. Total ( I to XII )",859200.0,129757.3,151580.4,160608.2,185736.8,186315.2,"",100.0,100.0,100.0,100.0,100.0,100.0
"    a. Central Plan",489361.0,70861.4,85901.4,87297.4,109119.3,104403.8,"",57.0,54.6,56.7,54.4,58.7,56.0
"    b. State Plans",369839.0,56223.9,62786.6,70027.0,72428.6,76838.7,"",43.0,43.3,41.4,43.6,39.0,41.2
"    c. Union Territory Plans","na",2671.9,2892.3,3283.9,4188.9,5072.7,"","a",2.1,2.0,2.0,2.3,2.7
"Source : Planning Commission.","","","","","","","","","","","","",""
"na : Not available","a        Ninth Plan allocations were made broad sector-wise.","","","","","","","","","","","",""
"Note : 1. Figures may not add upto total because of rounding.","","","","","","","","","","","","",""
"          2. For 1999-2000, anticipated expenditure has been taken into account for Centre, for some of the sub-heads included in other social services and general service as actual expenditure ","","","","","","","","","","","","",""
"              figures are not available.","","","","","","","","","","","","",""
"          3. For 2000-01 anticipated expenditure has been taken into account for Centre for some of heads like social services, industry & minerals, general economic services and general Services.","","","","","","","","","","","","",""
"          4. For actual expenditure Annual Plan 2001-02, the Revised Estimate have been taken into account for Central Sector for some of the sub-heads included in agriculture and ","","","","","","","","","","","","",""
"              social services and others, as actual expenditure figures are not yet available.","","","","","","","","","","","","",""
"          5. The Ninth Plan figures are at 1996-97 prices and the Annual Plan figures are at current prices.","","","","","","","","","","","","",""
"          6. State Plan figures for the Ninth Plan (1997-2002) include allocation for Union Territory Plans also.","","","","","","","","","","","","",""
