-----
{
 "description": "The table refers to District wise Distribution of Surface Flow Schemes by Status. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowstate4.6_1.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Flow Schemes by Status", 
 "url": "http://data.gov.in/sites/default/files/srfcflowstate4.6_1.csv"
}
-----
"State","District","In use","Not in use - Temporarily","Not in use - Salinity","Not in use - Dried up","Not in use - Destroyed","Not in use - Others","Total - Not in use","Grand total ( Use  + Not in use)"
"ANDHRA PRADESH","ADILABAD",3060,38,2,18,3,1,62,3122
"ANDHRA PRADESH","ANANTHAPUR",783,1042,37,594,29,201,1903,2686
"ANDHRA PRADESH","CHITTOOR",4914,2670,41,99,20,83,2913,7827
"ANDHRA PRADESH","CUDDAPAH",861,963,38,155,5,66,1227,2088
"ANDHRA PRADESH","EAST GODAVARI",1663,181,11,59,5,14,270,1933
"ANDHRA PRADESH","GUNTUR",181,11,3,25,0,14,53,234
"ANDHRA PRADESH","KARIMNAGAR",2100,2312,111,492,107,196,3218,5318
"ANDHRA PRADESH","KHAMMAM",2615,111,11,34,12,17,185,2800
"ANDHRA PRADESH","KRISHNA",976,40,2,4,0,9,55,1031
"ANDHRA PRADESH","KURNOOL",476,38,0,28,11,81,158,634
"ANDHRA PRADESH","MAHABOOBNAGAR",2937,3751,0,1729,81,0,5561,8498
"ANDHRA PRADESH","MEDAK",2064,2586,76,396,17,26,3101,5165
"ANDHRA PRADESH","NALGONDA",827,2584,12,847,170,201,3814,4641
"ANDHRA PRADESH","NELLORE",1579,52,6,9,2,52,121,1700
"ANDHRA PRADESH","NIZAMABAD",1531,237,36,184,3,26,486,2017
"ANDHRA PRADESH","PRAKASAM",884,113,4,86,6,33,242,1126
"ANDHRA PRADESH","RANGAREDDY",333,640,64,458,8,78,1248,1581
"ANDHRA PRADESH","SRIKAKULAM",7608,73,6,38,5,14,136,7744
"ANDHRA PRADESH","VISAKHAPATNAM",5826,217,49,28,18,96,408,6234
"ANDHRA PRADESH","VIZIANAGARAM",9194,275,1,3,6,39,324,9518
"ANDHRA PRADESH","WARANGAL",3221,1723,30,5,22,8,1788,5009
"ANDHRA PRADESH","WEST GODAVARI",1346,69,38,65,11,8,191,1537
"ARUNACHAL PRADESH","CHANGLANG",250,20,4,18,0,4,46,296
"ARUNACHAL PRADESH","DIBANG VALLEY",65,60,0,0,0,2,62,127
"STATENAME","DISTNAME",146,8,1,8,15,6,38,184
"ANDHRA PRADESH","ADILABAD",840,40,2,10,7,6,65,905
"ANDHRA PRADESH","ANANTHAPUR",33,27,2,0,5,1,35,68
"ANDHRA PRADESH","CHITTOOR",546,9,6,23,1,0,39,585
"ANDHRA PRADESH","CUDDAPAH",173,13,15,3,0,1,32,205
"ANDHRA PRADESH","EAST GODAVARI",75,7,0,0,26,0,33,108
"ANDHRA PRADESH","GUNTUR",100,13,2,2,4,8,29,129
"ANDHRA PRADESH","KARIMNAGAR",541,5,0,0,0,0,5,546
"ANDHRA PRADESH","KHAMMAM",265,98,38,30,36,18,220,485
"ANDHRA PRADESH","KRISHNA",39,25,0,0,3,3,31,70
"ANDHRA PRADESH","KURNOOL",175,56,2,1,6,5,70,245
"ANDHRA PRADESH","MAHABOOBNAGAR",58,13,0,0,0,0,13,71
"ANDHRA PRADESH","MEDAK",46,1,4,64,0,0,69,115
"ANDHRA PRADESH","NALGONDA",18,7,0,0,2,0,9,27
"ANDHRA PRADESH","NELLORE",264,318,30,4,23,0,375,639
"ANDHRA PRADESH","NIZAMABAD",68,0,0,0,0,0,0,68
"ANDHRA PRADESH","PRAKASAM",52,5,1,0,1,4,11,63
"ANDHRA PRADESH","RANGAREDDY",2,1,190,5,11,0,207,209
"ANDHRA PRADESH","SRIKAKULAM",1,0,0,0,0,1,1,2
"ANDHRA PRADESH","VISAKHAPATNAM",40,0,0,0,0,0,0,40
"ANDHRA PRADESH","VIZIANAGARAM",42,2,0,0,0,0,2,44
"ANDHRA PRADESH","WARANGAL",266,2,1,1,0,2,6,272
"ANDHRA PRADESH","WEST GODAVARI",0,1,0,0,0,0,1,1
"ARUNACHAL PRADESH","CHANGLANG",185,55,0,0,1,3,59,244
"ARUNACHAL PRADESH","DIBANG VALLEY",8,2,0,14,0,0,16,24
"ARUNACHAL PRADESH","EAST KAMENG",2,0,0,0,0,0,0,2
"ARUNACHAL PRADESH","EAST SIANG",22,1,0,0,1,0,2,24
"ARUNACHAL PRADESH","LOHIT",27,1,0,0,0,0,1,28
"ARUNACHAL PRADESH","LOWER SUBANSIRI",271,3,0,1,0,0,4,275
"ARUNACHAL PRADESH","PAPUMPARE",4,2,1,0,0,0,3,7
"ARUNACHAL PRADESH","TAWANG",25,26,0,0,0,0,26,51
"ARUNACHAL PRADESH","TIRAP",114,0,0,0,0,0,0,114
"ARUNACHAL PRADESH","UPPER SIANG",1251,233,117,69,11,12,442,1693
"ARUNACHAL PRADESH","UPPER SUBANSIRI",2146,74,24,14,4,1,117,2263
"ARUNACHAL PRADESH","WEST KAMENG",119,10,0,0,3,0,13,132
"ARUNACHAL PRADESH","WEST SIANG",472,26,2,15,1,6,50,522
"ASSAM","BARPETA",93,27,3,0,1,0,31,124
"ASSAM","BONGAIGAON",69,0,0,0,0,0,0,69
"ASSAM","CACHAR",33,5,0,0,0,0,5,38
"ASSAM","DARRANG",6502,623,62,50,17,10,762,7264
"ASSAM","DHUBRI",7,23,0,0,0,0,23,30
"ASSAM","GOALPARA",2449,61,1,6,4,1,73,2522
"ASSAM","GOLAGHAT",497,30,53,14,8,1,106,603
"ASSAM","HAILAKANDI",1330,36,11,24,0,0,71,1401
"ASSAM","JORHAT",1,0,0,0,0,0,0,1
"ASSAM","KAMRUP",251,1,13,0,1,0,15,266
"ASSAM","KARBIANGLONG",1,0,0,0,0,0,0,1
"ASSAM","KARIMGANJ",426,20,1,7,1,6,35,461
"ASSAM","KOKRAJHAR",162,4,0,0,0,0,4,166
"ASSAM","LAKHIMPUR",23,0,0,1,0,0,1,24
"ASSAM","MORIGAON",238,64,12,5,1,0,82,320
"ASSAM","NAGOAN",1488,605,600,95,69,2,1371,2859
"ASSAM","NALBARI",212,33,21,32,0,0,86,298
"ASSAM","NC HILLS",398,12,0,0,7,0,19,417
"ASSAM","SIBSAGAR",17,43,2,0,0,0,45,62
"ASSAM","SONITPUR",125,16,8,0,2,0,26,151
"BIHAR","ARARIA",16,0,1,0,0,0,1,17
"BIHAR","AURANGABAD",60,15,0,0,14,0,29,89
"BIHAR","BANKA",75,12,0,0,0,0,12,87
"BIHAR","BEGUSARAI",1,1,0,0,0,0,1,2
"BIHAR","BHAGALPUR",203,1,0,0,1,0,2,205
"BIHAR","BHOJPUR",1860,20,0,4,0,529,553,2413
"BIHAR","BUXAR",1411,79,2,1,0,5,87,1498
"BIHAR","EAST CHAMPARAN",216,4,3,2,0,278,287,503
"BIHAR","GAYA",78,13,0,0,0,598,611,689
"BIHAR","GOPAALGANJ",451,80,2,13,1,827,923,1374
"BIHAR","JAMUI",13862,16,23,0,0,7,46,13908
"BIHAR","JEHANABAD",1846,1,0,2,0,6,9,1855
"BIHAR","KAIMUR (BHABUA)",94,0,0,0,0,102,102,196
"BIHAR","KATIHAR",8861,77,0,17,1,35,130,8991
"BIHAR","LAKHISARAI",1453,1,2,1,1,0,5,1458
"BIHAR","MADHEPURA",1715,9,7,0,0,1784,1800,3515
"BIHAR","MADHUBANI",542,344,2,26,0,789,1161,1703
"BIHAR","MUNGER",7339,64,1,5,0,11,81,7420
"BIHAR","MUZAFFARPUR",1660,175,36,37,0,1145,1393,3053
"BIHAR","NALANDA",751,5,2,1,0,353,361,1112
"BIHAR","NAWADA",1747,4,1,3,0,6,14,1761
"BIHAR","PATNA",46,0,0,0,0,0,0,46
"BIHAR","ROHTAS(SASARAM)",55,0,0,0,0,0,0,55
"BIHAR","SARAN",2757,18,3,1,0,37,59,2816
"BIHAR","SHEKHPURA",967,77,0,0,0,1,78,1045
"BIHAR","SITAMARHI",1242,346,194,307,11,394,1252,2494
