-----
{
 "description": "This table provides the number of dealers (Both Retailers and wholesalers) in each district of India.", 
 "file_name": "No_of_Dealers_District-Wise_1.xls", 
 "title": "Download XLS for Details Of Number of Dealers In Each District Of India", 
 "url": "http://data.gov.in/sites/default/files/No_of_Dealers_District-Wise_1.xls"
}
-----
"State","District","No of Wholesalers","No of Retailers"
"Andaman Nicobar","South Andaman",2.0,0.0
"Andhra Pradesh","Adilabad",92.0,464.0
"Andhra Pradesh","Anantapur",26.0,471.0
"Andhra Pradesh","Chittor",29.0,394.0
"Andhra Pradesh","East Godavari",210.0,1070.0
"Andhra Pradesh","Guntur",140.0,860.0
"Andhra Pradesh","Hyderabad",5.0,4.0
"Andhra Pradesh","KarimNagar",82.0,597.0
"Andhra Pradesh","Khammam",29.0,690.0
"Andhra Pradesh","Krishna",66.0,798.0
"Andhra Pradesh","Kurnool",89.0,731.0
"Andhra Pradesh","MahbubaNagar",82.0,453.0
"Andhra Pradesh","Medak",54.0,436.0
"Andhra Pradesh","Nalgonda",80.0,588.0
"Andhra Pradesh","Nizamabad",55.0,473.0
"Andhra Pradesh","Prakasam",88.0,732.0
"Andhra Pradesh","RangaReddy",29.0,259.0
"Andhra Pradesh","Srikakulam",21.0,357.0
"Andhra Pradesh","SripottiSrimallu Nellor",38.0,398.0
"Andhra Pradesh","Vishakapatnam",23.0,263.0
"Andhra Pradesh","ViziaNagaram",29.0,262.0
"Andhra Pradesh","Warangal",168.0,675.0
"Andhra Pradesh","West Godavari",134.0,884.0
"Andhra Pradesh","Y.S.R",20.0,309.0
"Arunachal Pradesh","Anjaw",0.0,0.0
"Arunachal Pradesh","Changlang",1.0,1.0
"Arunachal Pradesh","Dibanga Valley",0.0,0.0
"Arunachal Pradesh","East Kameng",0.0,0.0
"Arunachal Pradesh","East Siang",0.0,0.0
"Arunachal Pradesh","Kurung Kumey",0.0,0.0
"Arunachal Pradesh","Lohit",0.0,0.0
"Arunachal Pradesh","Lower Dibang Valley",1.0,1.0
"Arunachal Pradesh","Lower Sibansiri",0.0,0.0
"Arunachal Pradesh","Papum Pare",1.0,1.0
"Arunachal Pradesh","Tawang",1.0,1.0
