-----
{
 "description": "CAG Local Bodies Audit reports are prepared by the concerned state Accountant Generals (AGs). On being approved by the CAG, the Local Bodies Audit reports are categorized into two types as 'Tabled in the Legislature' and 'Issued to State Government'.\r\rDuring the period 2003-04 to 2010-11, five ...", 
 "file_name": "Local_Bodies_Reports_From_2003-04_To_2010-11.xls", 
 "title": "Download XLS for CAG Local Bodies Audit Reports From 2003-04 To 2010-11", 
 "url": "http://data.gov.in/sites/default/files/Local_Bodies_Reports_From_2003-04_To_2010-11.xls"
}
-----
"S.No.","State Name","Details of Local Bodies","Type of Report","Year","Local Bodies Report Web Links"
1.0,"Assam","Panchayati Raj and Urban Local Bodies","Tabled in the Legislature","2010-11","Annual Technical Inspection Report on Panchayati Raj and Urban Local Bodies (Government of Assam) 2010-11"
2.0,"Sikkim","Panchayat Raj Institutions","Tabled in the Legislature","2010-11","Annual Technical Inspection Report on Panchayat Raj Institutions (Government of Sikkim ) the Year 2010-11"
3.0,"Maharashtra","Local Bodies","Tabled in the Legislature","2010-11","Audit Report no -5 of 2010-11 (Local Bodies), Maharashtra For the Year ended March 2011"
4.0,"Kerala","Local Self Government Institutions","Tabled in the Legislature","2010-11","Audit Report (Local Self Government Institutions), Kerala For the Year 2010-11"
5.0,"Karnataka","Panchayat Raj Institutions and Urban Local Bodies","Tabled in the Legislature","2010-11","Audit Report (Panchayat Raj Institutions and Urban Local Bodies), Karnataka For the Year 2010-11"
6.0,"Tripura","Panchayati Raj Institutions and Urban Local Bodies","Issued to State Government","2010-11","Annual Technical Inspection Report on (Panchayati Raj Institutions and Urban Local Bodies), Tripura For the Year 2010-11"
7.0,"Manipur","Panchayati Raj institutions and Urban Local Bodies","Issued to State Government","2010-11","Technical Inspection Report on Panchayati Raj institutions and Urban Local Bodies, Manipur for the Year 2010-11"
8.0,"West Bengal","Local Accounts (Urban Local Bodies)","Issued to State Government","2010-11","Report of the Examiner of Local Accounts (Urban Local Bodies), West Bengal For Year ended March 2010-11"
9.0,"Uttar Pradesh","Panchayati Raj Institutions and Urban Local Bodies","Issued to State Government","2010-11","Annual Technical Inspection Report (Panchayati Raj Institutions and Urban Local Bodies), Uttar Pradesh For the Year 2010-11"
10.0,"Rajasthan","Civil - Local Bodies","Tabled in the Legislature","2009-10","Audit Report (Civil - Local Bodies), Rajasthan for the Year 2009-10"
11.0,"Tamil Nadu","Local Bodies","Tabled in the Legislature","2009-10","Audit Report (Local Bodies), Tamilnadu For the Year 2009-10"
12.0,"Assam","Panchayati Raj and Urban Local Bodies","Tabled in the Legislature","2009-10","Annual Technical Inspection Report (Assam) on Panchayati Raj and Urban Local Bodies 2009-10"
13.0,"Maharashtra","Local Bodies","Tabled in the Legislature","2009-10","Audit Report (Local Bodies), Maharashtra For the Year 2009-10"
14.0,"Sikkim","Panchayat Raj Institutions","Tabled in the Legislature","2009-10","Annual Technical Inspection Report on Panchayat Raj Institutions Sikkim the Year 2009-10"
15.0,"Karnataka","Panchayat Raj Institutions and Urban Local Bodies","Tabled in the Legislature","2009-10","Audit Report (Panchayat Raj Institutions and Urban Local Bodies), Karnataka For the Year 2009-10"
16.0,"Andhra Pradesh","Local Bodies","Tabled in the Legislature","2009-10","Audit Report (Local Bodies), Andhra Pradesh for the Year 2009-10"
17.0,"Kerala","Local Self Government Institutions","Tabled in the Legislature","2009-10","Audit Report (Local Self Government Institutions), Kerala For the Year 2009-10"
18.0,"Bihar","Panchayat Raj Institutions and Urban Local Bodies","Issued to State Government","2009-10","Report of the Examiner of Local Accounts (Panchayat Raj Institutions and Urban Local Bodies), Bihar For the Year 2009-10"
19.0,"West Bengal","Urban Local Bodies","Issued to State Government","2009-10","Report of the Examiner of Local Accounts (Urban Local Bodies), West Bengal For the Year 2009-10"
20.0,"Madhya Pradesh","Urban Local Bodies & Panchayati Raj Institutions","Issued to State Government","2009-10","ATIR Report (Urban Local Bodies & Panchayati Raj Institutions), Madhya Pradesh For the Year 2009-10"
21.0,"Uttar Pradesh","Panchayati Raj Institutions","Issued to State Government","2009-10","Annual Technical Inspection Report (Panchayati Raj Institutions), Uttar Pradesh For the Year 2009-10"
22.0,"Uttar Pradesh","Urban Local Bodies","Issued to State Government","2009-10","Annual Technical Inspection Report (Urban Local Bodies), Uttar Pradesh For the Year 2009-10"
23.0,"Manipur","Panchayati Raj institutions and Urban Local Bodies","Issued to State Government","2009-10","Technical Inspection Report on (Panchayati Raj institutions and Urban Local Bodies), Manipur for the Year 2009-10"
24.0,"Himachal Pradesh","Urban Local Bodies","Issued to State Government","2009-10","ATIR Report (Urban Local Bodies), Himachal Pradesh For the Year 2009-10"
25.0,"Himachal Pradesh","Panchayati Raj Institutions","Issued to State Government","2009-10","ATIR Report (Panchayati Raj Institutions), Himachal Pradesh For the Year 2009-10"
26.0,"Orissa","Local Bodies","Issued to State Government","2009-10","Annual Technical Inspection Report on Local Bodies, Orissa for the year 2009-10"
