-----
{
 "description": "Monthly, seasonal and annual rainfall (in mm) area weighted average for the whole country starting from 1901 onwards. This data set is based on more than 2000 rainguage data spread over the country.", 
 "file_name": "All_India_Area_Weighted_Monthly_Seasonal_And_Annual_Rainfall.xls", 
 "title": "Download XLS for All India Area Weighted Monthly, Seasonal And Annual Rainfall (in mm)", 
 "url": "http://data.gov.in/sites/default/files/All_India_Area_Weighted_Monthly_Seasonal_And_Annual_Rainfall.xls"
}
-----
"YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANNUAL","Jan-Feb","March-May","June-September","Oct-Dec"
1901.0,34.7,38.6,17.8,38.9,50.6,113.2,241.4,271.6,124.7,52.4,38.7,8.2,1030.8,73.2,107.3,751.0,99.3
1902.0,7.4,4.2,19.0,44.1,48.8,111.7,284.9,201.0,200.2,62.5,29.4,25.2,1038.4,11.6,111.9,797.8,117.2
1903.0,16.7,8.0,31.1,17.1,59.5,120.3,293.2,274.0,198.1,119.5,40.3,18.0,1195.9,24.7,107.7,885.6,177.8
1904.0,14.9,9.7,31.4,33.7,73.8,165.5,260.3,207.7,130.8,69.8,11.2,16.4,1025.1,24.5,138.8,764.3,97.4
1905.0,24.7,20.3,41.8,33.8,55.8,93.7,253.0,201.7,178.1,54.9,9.6,10.1,977.5,45.0,131.4,726.4,74.7
1906.0,21.4,49.9,31.4,15.8,37.2,177.0,286.5,251.4,183.9,50.6,17.7,26.3,1149.2,71.3,84.4,898.9,94.6
1907.0,16.0,45.5,37.4,62.0,32.7,153.1,225.4,308.3,95.4,23.0,23.1,12.9,1034.8,61.5,132.1,782.2,58.9
1908.0,19.9,17.1,8.3,31.0,45.4,125.6,320.5,306.0,150.8,38.4,6.8,7.4,1077.4,37.0,84.7,903.0,52.7
1909.0,22.7,15.2,6.6,61.6,51.2,207.2,302.3,228.7,157.7,37.5,10.0,27.9,1128.5,37.9,119.4,895.7,75.4
1910.0,13.5,10.3,13.7,29.0,40.8,211.9,247.2,283.4,185.9,108.2,34.6,5.4,1183.9,23.8,83.5,928.5,148.2
1911.0,40.4,5.5,43.0,23.1,48.2,191.3,163.1,209.9,178.5,71.5,42.4,12.1,1028.9,45.8,114.3,742.8,126.0
1912.0,20.3,21.6,19.9,37.9,43.8,107.1,326.3,259.2,119.2,58.2,51.7,5.3,1070.4,41.9,101.6,811.8,115.2
1913.0,6.3,38.1,23.7,25.7,72.9,214.8,269.8,192.6,109.6,68.6,16.8,23.2,1061.8,44.4,122.2,786.7,108.5
1914.0,5.0,26.9,25.4,42.8,67.9,157.0,342.0,239.7,191.3,45.5,20.7,21.6,1185.9,31.9,136.1,930.0,87.9
1915.0,19.8,37.5,44.1,33.6,63.9,155.1,227.9,226.9,171.7,90.5,45.2,8.2,1124.4,57.3,141.6,781.5,143.9
1916.0,4.6,20.1,11.0,35.2,59.4,232.0,265.0,309.7,199.6,139.2,46.3,2.9,1324.8,24.7,105.6,1006.2,188.4
1917.0,7.6,37.9,20.5,40.1,74.0,230.7,282.7,292.8,278.1,161.3,29.1,9.3,1463.9,45.5,134.5,1084.3,199.6
1918.0,11.8,4.0,36.6,35.8,103.6,212.3,183.8,240.9,111.8,19.5,44.7,15.5,1020.2,15.8,176.0,748.8,79.6
1919.0,48.8,20.2,19.1,32.7,59.5,194.7,304.6,285.3,163.1,91.5,50.1,18.2,1287.9,69.0,111.4,947.7,159.8
1920.0,23.9,21.3,55.1,38.2,52.5,163.7,295.7,191.6,123.0,45.9,25.2,3.0,1039.1,45.2,145.7,774.1,74.0
1921.0,37.6,7.4,17.8,43.9,51.2,193.9,293.7,274.4,203.3,70.5,16.1,15.3,1225.0,45.0,112.9,965.2,101.9
1922.0,28.9,9.8,14.3,33.0,48.8,204.9,314.9,218.9,199.8,62.0,55.6,13.3,1204.2,38.7,96.1,938.4,131.0
1923.0,21.6,38.9,21.2,31.0,58.1,102.0,337.8,272.8,173.8,58.0,17.6,15.8,1148.6,60.5,110.3,886.4,91.4
1924.0,21.1,21.9,14.0,30.7,61.4,136.8,328.7,255.4,238.4,65.8,57.1,14.6,1245.9,42.9,106.1,959.3,137.6
1925.0,13.0,11.2,15.3,44.1,100.8,204.7,300.9,234.5,140.2,67.2,41.5,16.1,1189.5,24.3,160.2,880.2,124.8
1926.0,28.3,10.3,55.7,39.4,57.8,98.7,316.9,330.5,210.1,57.3,10.9,10.3,1226.2,38.7,152.9,956.2,78.5
1927.0,13.1,34.7,22.4,36.3,50.4,177.7,346.6,253.2,173.6,69.3,57.2,10.1,1244.6,47.9,109.1,951.1,136.6
1928.0,20.9,40.3,21.1,34.6,54.4,178.9,303.5,229.0,144.0,127.7,21.6,24.4,1200.2,61.1,110.0,855.4,173.7
1929.0,29.6,18.6,14.4,54.6,65.9,194.1,296.7,241.0,125.5,92.9,19.6,40.1,1193.2,48.2,134.9,857.4,152.7
1930.0,23.5,23.2,28.9,51.0,55.9,181.5,288.6,212.0,174.1,96.7,53.0,10.3,1198.5,46.7,135.8,856.1,160.0
1931.0,12.4,32.9,19.0,37.3,59.4,134.5,319.6,303.9,191.1,120.5,41.4,21.0,1292.8,45.2,115.7,949.1,182.8
