-----
{
 "description": "The table refers to district wise distribution of dugwells according to construction over the years. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.1.csv", 
 "title": "Download CSV for District wise Construction of Dugwells over the years for 2nd census of minor irrigation schemes", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.1.csv"
}
-----
"State","District","Upto 1986-87","During 1987-88","During 1988-89","During 1989-90","During 1990-91","During 1991-92","During 1992-93","During 1993-94","Total"
"ANDHRA PRADESH","ADILABAD",13607,2331,2645,2035,1704,1268,809,1020,25419
"ANDHRA PRADESH","ANANTHAPUR",47685,2944,2227,1265,646,394,302,117,55580
"ANDHRA PRADESH","CHITTOOR",103472,7082,3507,3083,1724,1467,853,504,121692
"ANDHRA PRADESH","CUDDAPAH",36567,1529,937,818,449,357,126,133,40916
"ANDHRA PRADESH","EAST GODAVARI",1432,158,175,87,123,56,33,21,2085
"ANDHRA PRADESH","GUNTUR",5368,949,486,373,1492,500,395,2583,12146
"ANDHRA PRADESH","HYDERABAD",86,0,0,2,0,0,0,2,90
"ANDHRA PRADESH","KARIMNAGAR",144191,17242,11833,8001,5504,4597,4244,2953,198565
"ANDHRA PRADESH","KHAMMAM",18416,3467,3246,2404,2677,1878,1203,1074,34365
"ANDHRA PRADESH","KRISHNA",11506,881,775,732,799,414,229,220,15556
"ANDHRA PRADESH","KURNOOL",20204,3423,2839,2993,2046,1456,830,938,34729
"ANDHRA PRADESH","MAHABOOB NAGAR",72601,7070,5272,5134,4480,3392,2455,1214,101618
"ANDHRA PRADESH","MEDAK",41194,7280,4573,3921,3202,2235,1544,1448,65397
"ANDHRA PRADESH","NALGONDA",71389,9021,9449,6696,6297,4771,3276,1768,112667
"ANDHRA PRADESH","NELLORE",23578,1867,1688,1661,1251,1010,760,513,32328
"ANDHRA PRADESH","NIZAMABAD",23350,2112,1881,1235,1802,890,827,497,32594
"ANDHRA PRADESH","PRAKASAM",20974,1431,1219,1262,1420,709,767,592,28374
"ANDHRA PRADESH","RANGA REDDY",26873,2130,1298,1142,1034,861,615,582,34535
"ANDHRA PRADESH","SRIKAKULUM",26184,2596,1804,1658,1162,726,554,395,35079
"ANDHRA PRADESH","VIJAYA NAGARAM",27911,1816,1195,1236,891,764,595,744,35152
"ANDHRA PRADESH","VISAKHAPATNAM",22575,980,638,349,383,184,277,257,25643
"ANDHRA PRADESH","WARANGAL",103329,15393,9875,9198,7266,5494,3053,2952,156560
"ANDHRA PRADESH","WEST GODAVARI",10708,1841,1154,775,354,230,161,99,15322
"ARUNACHAL PRADESH","CHANGLANG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","BARPETA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","BONGAIGAON",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","CACHAR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","DARRANG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","DHEMAJI",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","DHUBRI",4,2,0,4,2,0,0,8,20
"ASSAM","DIBRUGARH",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","GOALPARA",0,0,0,1,0,0,0,0,1
"ASSAM","GOLAGHAT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","HAILAKANDI",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","JORHAT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","KAMRUP",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","KARBI ANGLONG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","KARIMGANJ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","KOKRAJHAR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","LAKHIMPUR",1,0,1,0,2,0,0,0,4
"ASSAM","MARIGAON",1,0,0,1,0,0,0,0,2
"ASSAM","NAGAON",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","NALBARI",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","NORTH CACHAR HILLS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSAM","SIBSAGAR",2,0,0,0,0,0,0,0,2
"ASSAM","SONITPUR",3,0,1,0,1,1,3,0,9
"ASSAM","TINSUKIA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIHAR","ARARIA",3,0,0,0,1,0,1,0,5
"BIHAR","AURANGABAD",5174,451,523,517,780,713,501,397,9056
"BIHAR","BANKA",2920,610,650,712,747,445,337,284,6705
"BIHAR","BEGUSARAI",36,0,1,0,0,0,1,0,38
"BIHAR","BHABUA",3503,618,630,581,630,416,335,218,6931
