-----
{
 "description": "This table provides data related to outlay for health in the states and union territories during Ninth Plan 1997-2002.", 
 "file_name": "Outlay_for_Health_in_the_States_and_Union_Territories_during_Ninth_Plan.xls", 
 "title": "Download XLS for Outlay for Health in the States and Union Territories during Ninth Plan", 
 "url": "http://data.gov.in/sites/default/files/Outlay_for_Health_in_the_States_and_Union_Territories_during_Ninth_Plan.xls"
}
-----
"States (all figures in Rs. Lakh)","9th Plan outlay health","1997-98 OUTLAY HEALTH","1997-98 Act. Expd HEALTH","1998-99 OUTLAY HEALTH","1998-99 Act. Expd HEALTH","1999-2000 OUTLAY HEALTH","2000-2001 OUTLAY HEALTH","2001-2002 OUTLAY HEALTH"
"ANDHRA PRADESH",63052.0,13937.0,12366.0,20046.0,19865.0,28033.0,27749.95,33223.02
"ARUNACHAL PRADESH        ",33502.0,3149.0,1782.0,3520.0,1814.0,2947.0,2068.93,2476.01
"ASSAM        ",38410.0,6561.0,6223.0,7191.0,6887.0,7741.0,7439.0,12580.0
"BIHAR        ",83200.0,7245.0,4950.0,12177.0,6902.0,12768.0,9891.01,10078.21
"GOA        ",8122.0,1082.0,1032.0,772.0,1069.0,1646.0,1423.0,1649.0
"GUJARAT        ",83225.0,22093.0,17180.0,23550.0,17179.0,25100.0,26000.0,21000.0
"HARYANA        ",35134.0,3882.0,4493.0,5946.0,4126.0,5327.0,5648.0,6595.0
"HIMACHAL PRADESH        ",31765.0,5544.0,6535.0,8965.7,8164.0,10555.0,9685.09,12014.86
"J & K        ",110029.0,7450.0,6989.0,11385.51,8244.0,11974.0,10595.17,11628.32
"KARNATAKA        ",110000.0,18359.0,21914.0,19544.3,22909.0,22774.0,22558.11,26879.6
"KERALA ",30940.0,6096.0,5828.0,6200.0,7343.0,6400.0,6335.0,5553.0
"MADHYA PRADESH ",56787.0,9331.0,7031.0,17351.47,14524.0,13524.0,11217.62,13462.62
"MAHARASHTRA ",91823.0,17391.0,13811.0,22993.0,16224.0,27798.0,30485.85,39128.91
"MANIPUR ",3600.0,630.0,540.0,809.35,809.0,1080.0,1250.0,1486.0
"MEGHALAYA ",14000.0,2430.0,1790.0,2430.0,2360.0,3079.0,3300.0,3200.0
"MIZORAM ",11201.0,1651.0,1651.0,1816.0,1785.0,2286.0,2562.0,2542.0
"NAGALAND",10631.0,2506.0,2480.0,2128.0,2022.0,2128.0,1577.0,1283.0
"ORISSA",41606.0,4104.0,5198.0,7526.21,7042.0,13208.0,8405.05,14915.16
"PUNJAB",51159.0,9938.0,3187.0,16352.0,8374.0,18319.0,19187.0,17465.57
"RAJASTHAN",77060.0,13919.0,12339.0,15289.0,10991.0,17262.0,9914.94,12366.3
"SIKKIM",8000.0,857.0,757.0,814.0,1914.0,1559.0,1200.0,1373.5
"TAMILNADU",78052.0,8909.0,11005.0,11650.93,12843.0,12426.0,12724.42,18084.16
"TRIPURA",8559.0,1371.0,1091.0,1407.92,1448.0,1355.0,1442.46,1879.18
"UTTAR PRADESH",118500.0,17312.0,15609.0,40551.0,10862.0,42816.0,30200.0,37278.0
"WEST BENGAL",97864.0,20633.0,3322.0,19286.0,7811.0,23502.0,32176.0,42931.24
"TOTAL STATES UTs",1296221.0,206380.0,169103.0,279702.39,203511.0,315607.0,295035.6,351072.66
"A & N ISLANDS",7741.0,1559.0,1831.59,1895.0,2055.29,2000.0,1900.0,1900.0
"CHANDIGARH",17065.0,3617.0,3748.9,3548.3,3297.61,3483.0,3717.0,3947.25
"D & N HAVELI",514.0,219.0,148.87,252.7,189.82,280.0,217.8,234.8
"DAMAN & DIU",887.0,133.0,165.96,173.0,186.91,136.0,150.1,165.0
"DELHI",110140.0,15240.5,12684.15,19700.0,13994.62,27345.0,26642.0,34121.0
"LAKSHADWEEP",817.46,233.85,267.78,333.0,323.61,229.03,281.45,211.46
"PONDICHERRY",10000.0,1630.0,1546.97,2370.0,1921.3,2720.0,2720.0,3160.54
"TOTAL UTs",147164.46,22632.35,20394.22,28272.0,21969.16,36193.03,35628.35,43740.05
"GRAND  TOTAL(STATES & UTs)",1443385.46,229012.35,189497.22,307974.39,225480.16,351800.03,330663.95,394812.71
"CHHATISGARH","NA","NA","NA","NA","NA","NA","NA",6024.66
"JHARKHAND","NA","NA","NA","NA","NA","NA","NA","NA"
"UTTARANCHAL","NA","NA","NA","NA","NA","NA","NA",5972.0
"GRAND  TOTAL (STATES & UTs) Incl 2 states","NA","NA","NA","NA","NA","NA","NA",406809.37
