-----
{
 "description": "The table refers to district wise distribution of shallow tubewells according to irrigation through supplementary source . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Districtshtbwl2.15.csv", 
 "title": "Download CSV for District wise Distribution of Shallow Tubewells according to Irrigation through supplementary source  for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Districtshtbwl2.15.csv"
}
-----
State,District,Supplementary Irrigation-Kharif,Supplementary Irrigation-Rabi,Supplementary Irrigation-Perennial,Supplementary Irrigation-Others,Supplementary Irrigation-Total
ANDHRA PRADESH,ADILABAD,1,1,0,0,2
ANDHRA PRADESH,ANANTHAPUR,1034,371,305,0,1710
ANDHRA PRADESH,CHITTOOR,33,14,0,0,47
ANDHRA PRADESH,CUDDAPAH,614,5,0,0,619
ANDHRA PRADESH,EAST GODAVARI,10245,5972,3767,28,20012
ANDHRA PRADESH,GUNTUR,2823,21,44,0,2888
ANDHRA PRADESH,KARIMNAGAR,15,0,0,0,15
ANDHRA PRADESH,KHAMMAM,20,0,0,0,20
ANDHRA PRADESH,KRISHNA,7628,492,393,1202,9715
ANDHRA PRADESH,KURNOOL,73,56,0,0,129
ANDHRA PRADESH,MAHABOOB NAGAR,15,113,0,0,128
ANDHRA PRADESH,MEDAK,14,3,2,0,19
ANDHRA PRADESH,NALGONDA,226,159,2,3,390
ANDHRA PRADESH,NELLORE,10610,6981,416,35,18042
ANDHRA PRADESH,NIZAMABAD,3241,192,71,31,3535
ANDHRA PRADESH,PRAKASAM,200,235,5,0,440
ANDHRA PRADESH,RANGA REDDY,10,23,0,0,33
ANDHRA PRADESH,SRIKAKULUM,2785,714,126,6,3631
ANDHRA PRADESH,VIJAYA NAGARAM,84,102,23,0,209
ANDHRA PRADESH,VISAKHAPATNAM,169,32,77,0,278
ANDHRA PRADESH,WARANGAL,0,0,0,0,0
ANDHRA PRADESH,WEST GODAVARI,2538,2858,1271,155,6822
ASSAM,BARPETA,0,0,0,0,0
ASSAM,BONGAIGAON,0,0,0,0,0
ASSAM,CACHAR,0,0,0,0,0
ASSAM,DARRANG,0,0,0,0,0
ASSAM,DHEMAJI,0,0,0,0,0
ASSAM,DHUBRI,0,0,0,0,0
ASSAM,DIBRUGARH,0,0,0,0,0
ASSAM,GOALPARA,0,0,0,0,0
ASSAM,GOLAGHAT,0,0,0,0,0
ASSAM,HAILAKANDI,0,0,0,0,0
ASSAM,JORHAT,0,0,0,0,0
ASSAM,KAMRUP,0,0,0,0,0
ASSAM,KARBI ANGLONG,0,0,0,0,0
ASSAM,KARIMGANJ,0,0,0,0,0
ASSAM,KOKRAJHAR,0,0,0,0,0
ASSAM,LAKHIMPUR,0,0,0,0,0
ASSAM,MARIGAON,0,0,0,0,0
ASSAM,NAGAON,0,0,0,0,0
ASSAM,NALBARI,0,0,0,0,0
ASSAM,SIBSAGAR,0,0,0,0,0
ASSAM,SONITPUR,0,0,0,0,0
ASSAM,TINSUKIA,0,0,0,0,0
BIHAR,ARARIA,100,24,4,8,136
BIHAR,AURANGABAD,1892,1419,19,18,3348
BIHAR,BANKA,986,561,28,18,1593
BIHAR,BEGUSARAI,10,143,10,4,167
BIHAR,BHABUA,2552,2038,77,72,4739
BIHAR,BHAGALPUR,19,6,2,0,27
BIHAR,BHOJPUR,4158,3627,286,170,8241
BIHAR,BUXAR,9225,7451,43,32,16751
BIHAR,CHAMPARAN EAST,855,831,30,60,1776
BIHAR,CHAMPARAN WEST,3238,2840,586,243,6907
BIHAR,CHATRA,16,0,0,0,16
BIHAR,DARBHANGA,19,22,0,0,41
BIHAR,DEOGHAR,0,0,0,0,0
BIHAR,DHANBAD,0,0,0,0,0
BIHAR,GAYA,2336,1164,54,11,3565
BIHAR,GIRIDIH,0,0,0,0,0
BIHAR,GODDA,15,12,5,0,32
BIHAR,GOPALGANJ,415,582,35,28,1060
BIHAR,HAZARIBAG,0,9,0,0,9
BIHAR,JAMUI,997,1038,209,180,2424
BIHAR,JEHANABAD,1088,894,28,368,2378
BIHAR,KATIHAR,499,365,232,41,1137
BIHAR,KHAGARIA,24,532,3,3,562
BIHAR,KISHANGANJ,0,2,0,2,4
BIHAR,KODARMA,0,0,0,0,0
BIHAR,LAKHISARAI,928,476,8,68,1480
BIHAR,MADHEPURA,605,638,0,0,1243
BIHAR,MADHUBANI,981,994,544,136,2655
BIHAR,MUNGER,3427,3332,1,0,6760
BIHAR,MUZAFFARPUR,30,45,0,5,80
BIHAR,NALANDA,288,75,6,3,372
BIHAR,NAWADA,973,177,65,23,1238
BIHAR,PAKUR,0,0,0,0,0
BIHAR,PATNA,1693,1489,252,168,3602
BIHAR,PURNIA,1297,1242,292,66,2897
BIHAR,RANCHI,0,0,0,0,0
BIHAR,ROHTAS,7521,6768,110,81,14480
BIHAR,SAHARSA,21,953,30,2,1006
BIHAR,SAHEBGANJ,0,0,0,0,0
BIHAR,SAMASTIPUR,628,693,475,179,1975
BIHAR,SARAN,325,1459,102,6,1892
BIHAR,SHEIKHPURA,150,18,3,0,171
BIHAR,SHEOHAR,2,6,0,1,9
BIHAR,SINGHBHUM EAST,1,0,0,0,1
BIHAR,SINGHBHUM WEST,0,0,0,0,0
BIHAR,SITAMARHI,19,21,1,4,45
BIHAR,SIWAN,597,1156,3,163,1919
BIHAR,SUPAUL,117,86,0,39,242
BIHAR,VAISHALI,3,1,0,0,4
GOA,NORTH GOA,0,0,0,0,0
GOA,SOUTH GOA,0,0,0,0,0
HARYANA,AMBALA,41,41,0,0,82
HARYANA,BHIWANI,2610,5332,0,0,7942
HARYANA,FARIDABAD,6242,8155,0,0,14397
HARYANA,GURGAON,124,855,0,0,979
HARYANA,HISAR,30096,30493,0,0,60589
HARYANA,JIND,17215,17097,0,0,34312
HARYANA,KAITHAL,5018,4910,0,0,9928
HARYANA,KARNAL,11580,11308,0,0,22888
HARYANA,KURUKSHETRA,2610,2429,0,0,5039
HARYANA,MEHANDERGARH,1682,1532,0,0,3214
HARYANA,PANCHKULA,0,0,0,0,0
HARYANA,PANIPAT,5714,5519,0,0,11233
HARYANA,RIWARI,1416,1567,0,0,2983
HARYANA,ROHTAK,14539,15728,0,0,30267
HARYANA,SIRSA,22163,22029,0,0,44192
HARYANA,SONIPAT,7581,7425,0,0,15006
HARYANA,YAMUNA NAGAR,975,828,0,0,1803
HIMACHAL PRADESH,Bilaspur,0,0,0,0,0
HIMACHAL PRADESH,Hamirpur,0,0,0,0,0
HIMACHAL PRADESH,Kangra,0,0,0,0,0
HIMACHAL PRADESH,Mandi,7,7,0,0,14
HIMACHAL PRADESH,Sirmaur,0,0,0,0,0
HIMACHAL PRADESH,Solan,0,0,0,0,0
HIMACHAL PRADESH,Una,0,0,0,0,0
JAMMU & KASHMIR,Budgam,0,0,0,0,0
JAMMU & KASHMIR,Jammu,7,6,0,0,13
JAMMU & KASHMIR,Kathua,4,4,0,0,8
JAMMU & KASHMIR,Kupwara,0,0,0,0,0
JAMMU & KASHMIR,Srinagar,0,0,0,0,0
KARNATAKA,BANGALORE RURAL,114.78,103.5,280.94,92,591
KARNATAKA,BANGALORE URBAN,492.4,337.86,361.81,0,1192
KARNATAKA,BELGAUM,388.32,191.94,128.89,3.5,713
KARNATAKA,BELLARY,560.83,241.6,12.8,0,815
KARNATAKA,BIDAR,1,2,1,0,4
KARNATAKA,BIJAPUR,46.8,39.2,13.6,6.24,106
KARNATAKA,CHIKKAMAGALORE,46,82,82,82,292
KARNATAKA,CHITRADURGA,750.34,121.9,231.63,79.77,1184
KARNATAKA,DAKSHINA KANNADA,0,0,7.5,0,8
KARNATAKA,DHARWAR,417.68,208.4,108,46,780
KARNATAKA,GULBARGA,37.51,11.41,1,8,58
KARNATAKA,HASSAN,274.5,136.39,330.82,21.65,763
