-----
{
 "description": "The table refers to district wise distribution of Deep Tubewells according to social status . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.4.csv", 
 "title": "Download CSV for District wise Distribution of Deep Tubewells according to Social status for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.4.csv"
}
-----
"State","District","Scheduled caste","Scheduled tribe","Other social status of farmers","Total"
"ANDHRA PRADESH","ADILABAD",23,1,2,26
"ANDHRA PRADESH","ANANTHAPUR",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR",32,3,291,326
"ANDHRA PRADESH","CUDDAPAH",123,13,1244,1380
"ANDHRA PRADESH","EAST GODAVARI",6,0,18,24
"ANDHRA PRADESH","GUNTUR",0,0,1,1
"ANDHRA PRADESH","HYDERABAD",NA,NA,NA,NA
"ANDHRA PRADESH","KARIMNAGAR",0,0,0,0
"ANDHRA PRADESH","KHAMMAM",0,0,0,0
"ANDHRA PRADESH","KRISHNA",39,1,28,68
"ANDHRA PRADESH","KURNOOL",1,0,7,8
"ANDHRA PRADESH","MAHABOOB NAGAR",0,0,2,2
"ANDHRA PRADESH","MEDAK",0,0,0,0
"ANDHRA PRADESH","NALGONDA",0,0,0,0
"ANDHRA PRADESH","NELLORE",2,0,18,20
"ANDHRA PRADESH","NIZAMABAD",NA,NA,NA,NA
"ANDHRA PRADESH","PRAKASAM",4,0,3,7
"ANDHRA PRADESH","RANGA REDDY",0,1,9,10
"ANDHRA PRADESH","SRIKAKULUM",0,0,6,6
"ANDHRA PRADESH","VIJAYA NAGARAM",NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM",1,1,2,4
"ANDHRA PRADESH","WARANGAL",2,0,2,4
"ANDHRA PRADESH","WEST GODAVARI",33,3,275,311
"ARUNACHAL PRADESH","CHANGLANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG",NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT",NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI",NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE",NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG",NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG",NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG",NA,NA,NA,NA
"ASSAM","BARPETA",0,0,0,0
"ASSAM","BONGAIGAON",0,0,0,0
"ASSAM","CACHAR",0,0,0,0
"ASSAM","DARRANG",0,0,0,0
"ASSAM","DHEMAJI",0,0,0,0
"ASSAM","DHUBRI",0,0,0,0
"ASSAM","DIBRUGARH",0,0,0,0
"ASSAM","GOALPARA",0,0,0,0
"ASSAM","GOLAGHAT",0,0,0,0
"ASSAM","HAILAKANDI",0,0,0,0
"ASSAM","JORHAT",0,0,0,0
"ASSAM","KAMRUP",0,0,0,0
"ASSAM","KARBI ANGLONG",0,0,0,0
"ASSAM","KARIMGANJ",0,0,0,0
"ASSAM","KOKRAJHAR",0,0,0,0
"ASSAM","LAKHIMPUR",0,0,0,0
"ASSAM","MARIGAON",0,0,0,0
"ASSAM","NAGAON",0,0,0,0
"ASSAM","NALBARI",0,0,0,0
"ASSAM","NORTH CACHAR HILLS",0,0,0,0
"ASSAM","SIBSAGAR",0,0,0,0
"ASSAM","SONITPUR",0,0,0,0
"ASSAM","TINSUKIA",0,0,0,0
"BIHAR","ARARIA",0,0,0,0
"BIHAR","AURANGABAD",1,0,0,1
"BIHAR","BANKA",0,0,0,0
"BIHAR","BEGUSARAI",0,0,0,0
"BIHAR","BHABUA",0,0,1,1
"BIHAR","BHAGALPUR",0,0,0,0
"BIHAR","BHOJPUR",0,0,0,0
"BIHAR","BOKARO",NA,NA,NA,NA
"BIHAR","BUXAR",0,0,0,0
"BIHAR","CHAMPARAN EAST",1,0,0,1
"BIHAR","CHAMPARAN WEST",0,0,1,1
"BIHAR","CHATRA",NA,NA,NA,NA
"BIHAR","DARBHANGA",0,0,0,0
"BIHAR","DEOGHAR",NA,NA,NA,NA
"BIHAR","DHANBAD",NA,NA,NA,NA
"BIHAR","DUMKA",0,0,0,0
"BIHAR","GARHWA",0,0,0,0
"BIHAR","GAYA",0,0,3,3
"BIHAR","GIRIDIH",0,0,0,0
"BIHAR","GODDA",NA,NA,NA,NA
"BIHAR","GOPALGANJ",0,0,0,0
"BIHAR","GUMLA",NA,NA,NA,NA
"BIHAR","HAZARIBAG",NA,NA,NA,NA
"BIHAR","JAMUI",0,0,0,0
"BIHAR","JEHANABAD",0,0,0,0
"BIHAR","KATIHAR",0,0,0,0
"BIHAR","KHAGARIA",0,0,0,0
"BIHAR","KISHANGANJ",0,0,0,0
"BIHAR","KODARMA",0,0,14,14
"BIHAR","LAKHISARAI",0,0,0,0
"BIHAR","LOHARDAGA",NA,NA,NA,NA
"BIHAR","MADHEPURA",0,0,0,0
"BIHAR","MADHUBANI",23,0,0,23
"BIHAR","MUNGER",0,0,1,1
"BIHAR","MUZAFFARPUR",4,0,1,5
"BIHAR","NALANDA",0,0,43,43
"BIHAR","NAWADA",0,0,0,0
"BIHAR","PAKUR",0,0,0,0
"BIHAR","PALAMU",NA,NA,NA,NA
"BIHAR","PATNA",3,0,23,26
"BIHAR","PURNIA",0,0,0,0
"BIHAR","RANCHI",NA,NA,NA,NA
"BIHAR","ROHTAS",0,0,0,0
"BIHAR","SAHARSA",0,0,0,0
"BIHAR","SAHEBGANJ",NA,NA,NA,NA
"BIHAR","SAMASTIPUR",2,0,11,13
"BIHAR","SARAN",0,0,0,0
"BIHAR","SHEIKHPURA",0,0,0,0
"BIHAR","SHEOHAR",0,0,0,0
"BIHAR","SINGHBHUM EAST",0,0,0,0
"BIHAR","SINGHBHUM WEST",0,0,0,0
"BIHAR","SITAMARHI",0,0,1,1
"BIHAR","SIWAN",0,0,0,0
"BIHAR","SUPAUL",0,0,0,0
"BIHAR","VAISHALI",0,0,0,0
"GOA","NORTH GOA",0,0,1,1
"GOA","SOUTH GOA",0,0,0,0
"GUJARAT","",NA,NA,NA,NA
"HARYANA","AMBALA",4,4,1159,1167
"HARYANA","BHIWANI",0,0,25,25
"HARYANA","FARIDABAD",NA,NA,NA,NA
"HARYANA","GURGAON",0,0,88,88
"HARYANA","HISAR",NA,NA,NA,NA
"HARYANA","JIND",2,3,218,223
"HARYANA","KAITHAL",9,35,582,626
"HARYANA","KARNAL",24,7,1193,1224
"HARYANA","KURUKSHETRA",3,1,227,231
"HARYANA","MEHANDERGARH",1,0,87,88
"HARYANA","PANCHKULA",0,0,60,60
"HARYANA","PANIPAT",0,0,116,116
"HARYANA","RIWARI",NA,NA,NA,NA
"HARYANA","ROHTAK",NA,NA,NA,NA
"HARYANA","SIRSA",2,0,73,75
"HARYANA","SONIPAT",0,0,10,10
"HARYANA","YAMUNA NAGAR",21,0,115,136
"HIMACHAL PRADESH","Bilaspur",NA,NA,NA,NA
"HIMACHAL PRADESH","Chamba",NA,NA,NA,NA
"HIMACHAL PRADESH","Hamirpur",NA,NA,NA,NA
"HIMACHAL PRADESH","Kangra",0,0,1,1
"HIMACHAL PRADESH","Kinnaur",NA,NA,NA,NA
"HIMACHAL PRADESH","Kullu",NA,NA,NA,NA
"HIMACHAL PRADESH","Lahul & Spiti",NA,NA,NA,NA
"HIMACHAL PRADESH","Mandi",0,0,2,2
"HIMACHAL PRADESH","Shimla",NA,NA,NA,NA
"HIMACHAL PRADESH","Sirmaur",0,0,6,6
"HIMACHAL PRADESH","Solan",0,0,4,4
"HIMACHAL PRADESH","Una",0,0,2,2
"JAMMU & KASHMIR","Anantnagh",NA,NA,NA,NA
"JAMMU & KASHMIR","Baramulla",0,0,0,0
"JAMMU & KASHMIR","Budgam",NA,NA,NA,NA
"JAMMU & KASHMIR","Doda",NA,NA,NA,NA
"JAMMU & KASHMIR","Jammu",4,0,16,20
"JAMMU & KASHMIR","Kargil",NA,NA,NA,NA
"JAMMU & KASHMIR","Kathua",1,0,8,9
"JAMMU & KASHMIR","Kupwara",NA,NA,NA,NA
"JAMMU & KASHMIR","Leh",NA,NA,NA,NA
"JAMMU & KASHMIR","Poonch",NA,NA,NA,NA
"JAMMU & KASHMIR","Pulwama",NA,NA,NA,NA
"JAMMU & KASHMIR","Rajouri",NA,NA,NA,NA
"JAMMU & KASHMIR","Srinagar",0,0,0,0
"JAMMU & KASHMIR","Udhampur",NA,NA,NA,NA
"KARNATAKA","BANGALORE RURAL",452,202,7494,8148
"KARNATAKA","BANGALORE URBAN",458,84,6951,7493
"KARNATAKA","BELGAUM",291,260,11111,11662
"KARNATAKA","BELLARY",691,869,7483,9043
"KARNATAKA","BIDAR",216,44,2485,2745
"KARNATAKA","BIJAPUR",384,145,4926,5455
"KARNATAKA","CHIKKAMAGALORE",99,14,1918,2031
"KARNATAKA","CHITRADURGA",588,935,7477,9000
"KARNATAKA","DAKSHINA KANNADA",12,19,1654,1685
"KARNATAKA","DHARWAR",547,611,9855,11013
"KARNATAKA","GULBARGA",24,1,88,113
"KARNATAKA","HASSAN",66,25,1093,1184
"KARNATAKA","KODAGU",0,0,23,23
"KARNATAKA","KOLAR",1504,1185,18432,21121
"KARNATAKA","MANDYA",383,21,2745,3149
"KARNATAKA","MYSORE",353,47,3830,4230
"KARNATAKA","RAICHUR",418,327,3774,4519
"KARNATAKA","SHIMOGA",416,204,5772,6392
"KARNATAKA","TUMKUR",1238,1130,27812,30180
"KARNATAKA","UTTARA KANNADA",22,7,379,408
"KERALA","ALAPUZHA",0,0,0,0
