-----
{
 "description": "The table refers to district wise distribution of Deep Tubewells according to average length of water conveyance channel . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.12.csv", 
 "title": "Download CSV for District wise Distribution of Deep Tubewells according to average length of water conveyance channel for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.12.csv"
}
-----
"State","District","Total Number of Tubewells","Average length of channel - Pucca","Average length of channel - Kuccha","Average length of channel - Underground","Total - Average length of channels"
"ANDHRA PRADESH","ADILABAD",96,0,54,48,102
"ANDHRA PRADESH","ANANTHAPUR",NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR",5466,3,77,40,120
"ANDHRA PRADESH","CUDDAPAH",7960,7,78,14,99
"ANDHRA PRADESH","EAST GODAVARI",2317,16,83,2,101
"ANDHRA PRADESH","GUNTUR",667,25,70,31,126
"ANDHRA PRADESH","HYDERABAD",NA,NA,NA,NA,NA
"ANDHRA PRADESH","KARIMNAGAR",117,0,64,42,106
"ANDHRA PRADESH","KHAMMAM",537,0,227,1,228
"ANDHRA PRADESH","KRISHNA",848,52,253,0,305
"ANDHRA PRADESH","KURNOOL",1594,13,88,52,153
"ANDHRA PRADESH","MAHABOOB NAGAR",109,2,45,77,124
"ANDHRA PRADESH","MEDAK",63,2,37,76,115
"ANDHRA PRADESH","NALGONDA",8,0,15,8,23
"ANDHRA PRADESH","NELLORE",213,0,47,95,142
"ANDHRA PRADESH","NIZAMABAD",NA,NA,NA,NA,NA
"ANDHRA PRADESH","PRAKASAM",178,0,87,22,109
"ANDHRA PRADESH","RANGA REDDY",86,10,41,99,150
"ANDHRA PRADESH","SRIKAKULUM",42,3,101,30,134
"ANDHRA PRADESH","VIJAYA NAGARAM",NA,NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM",18,0,100,0,100
"ANDHRA PRADESH","WARANGAL",213,0,66,73,139
"ANDHRA PRADESH","WEST GODAVARI",10684,9,229,4,242
"ARUNACHAL PRADESH","CHANGLANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG",NA,NA,NA,NA,NA
"ASSAM","BARPETA",11,280,22,653,955
"ASSAM","BONGAIGAON",28,40,50,566,656
"ASSAM","CACHAR",5,563,14,0,577
"ASSAM","DARRANG",34,167,7,817,991
"ASSAM","DHEMAJI",15,0,0,2579,2579
"ASSAM","DHUBRI",20,124,139,497,760
"ASSAM","DIBRUGARH",15,0,0,631,631
"ASSAM","GOALPARA",36,177,10,1243,1430
"ASSAM","GOLAGHAT",74,147,26,396,569
"ASSAM","HAILAKANDI",8,90,208,156,454
"ASSAM","JORHAT",63,89,0,1210,1299
"ASSAM","KAMRUP",49,586,89,1,676
"ASSAM","KARBI ANGLONG",8,0,0,950,950
"ASSAM","KARIMGANJ",5,0,0,636,636
"ASSAM","KOKRAJHAR",6,0,10,1008,1018
"ASSAM","LAKHIMPUR",55,11,61,460,532
"ASSAM","MARIGAON",8,0,0,1388,1388
