-----
{
 "description": "The table refers to District wise Distribution of Surface Lift Schemes(on Tank/Pond) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.19.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Lift Schemes(on Tank/Pond) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.19.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"ANDAMAN & NICOBARS","ANDAMAN",2,738,740,7,2211,2218,4,1024,1028
"ANDAMAN & NICOBARS","NICOBAR",0,6,6,0,33,33,0,11,11
"ANDHRA PRADESH","ADILABAD",0,49,49,0,44,44,0,33,33
"ANDHRA PRADESH","ANANTHAPUR",0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR",0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH",0,14,14,0,72,72,0,72,72
"ANDHRA PRADESH","EAST GODAVARI",0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","GUNTUR",0,2,2,0,34,34,0,34,34
"ANDHRA PRADESH","KARIMNAGAR",0,15,15,0,31,31,0,31,31
"ANDHRA PRADESH","KHAMMAM",26,325,351,691,738,1430,468,684,1152
"ANDHRA PRADESH","KRISHNA",1,2,3,34,237,271,34,237,271
"ANDHRA PRADESH","KURNOOL",0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","MAHABOOBNAGAR",0,18,18,0,37,37,0,37,37
"ANDHRA PRADESH","MEDAK",0,17,17,0,59,59,0,54,54
"ANDHRA PRADESH","NALGONDA",0,355,355,0,1203,1203,0,971,971
"ANDHRA PRADESH","NELLORE",2,318,320,83,697,779,74,540,614
"ANDHRA PRADESH","NIZAMABAD",0,66,66,0,274,274,0,238,238
"ANDHRA PRADESH","PRAKASAM",0,9,9,0,43,43,0,35,35
"ANDHRA PRADESH","RANGAREDDY",0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","SRIKAKULAM",0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","VISAKHAPATNAM",0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","VIZIANAGARAM",0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","WARANGAL",2,25,27,47,27,74,47,25,71
"ANDHRA PRADESH","WEST GODAVARI",0,10,10,0,69,69,0,69,69
"ARUNACHAL PRADESH","DIBANG VALLEY",0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","LOHIT",1,1,2,80,70,150,80,70,150
"ARUNACHAL PRADESH","TIRAP",0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","UPPER SUBANSIRI",0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","WEST KAMENG",0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","WEST SIANG",0,0,0,0,0,0,0,0,0
"ASSAM","BARPETA",0,0,0,0,0,0,0,0,0
"ASSAM","BONGAIGAON",0,8,8,0,38,38,0,36,36
"ASSAM","CACHAR",2,85,87,110,3165,3275,60,657,717
"ASSAM","DARRANG",0,1,1,0,30,30,0,30,30
