-----
{
 "description": "The table shows the distribution of households by expenditure class (rs./month) \u2013 beneficiary vs. non-beneficiary. It gives state-wise comparison for ICDS beneficiaries and non-beneficiaries by using different household monthly expenditure levels.\r", 
 "file_name": "ICDS_Table9.8.xls", 
 "title": "Download XLS for Distribution of Households by Expenditure Class (Rs./Month) \u2013 Beneficiary vs. Non-Beneficiary", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table9.8.xls"
}
-----
"States/UTs ","Beneficiary children-Below 1000","Beneficiary children-1000-1500  ","Beneficiary children-1501-2000","Beneficiary children-2001-2500","Beneficiary children-2501-3000","Beneficiary children-Above 3000","Non-beneficiary children-Below 1000","Non-beneficiary children-1000-1500  ","Non-beneficiary children-1501-2000","Non-beneficiary children-2001-2500","Non-beneficiary children-2501-3000","Non-beneficiary children-Above 3000"
"Andhra Pradesh",6.7,17.4,19.0,15.7,18.3,22.9,3.0,9.8,23.2,10.0,15.1,39.0
"Assam",0.3,3.4,18.0,14.6,27.2,36.5,3.0,0.8,24.1,29.9,15.7,26.6
"Bihar",7.5,22.2,23.9,16.3,18.5,11.7,1.8,13.5,25.6,25.8,9.8,23.4
"Chhattisgarh",3.2,19.3,27.7,16.9,15.1,17.9,1.0,9.1,16.4,11.5,10.0,52.0
"Gujarat",4.2,13.2,32.7,15.1,14.4,20.4,0.0,10.4,27.3,19.3,20.2,22.8
"Haryana",1.1,8.0,7.3,19.1,25.9,38.6,0.0,0.0,17.5,14.6,26.5,41.5
"Himachal Pradesh",0.0,1.4,10.2,7.5,38.6,42.4,0.0,0.0,11.1,25.6,22.0,41.3
"Jammu and Kashmir",1.3,3.9,4.5,5.8,31.2,53.4,0.0,0.0,6.7,5.1,2.8,85.5
"Jharkhand",1.0,10.0,15.3,22.8,25.9,25.0,0.0,3.3,46.5,21.2,9.9,19.1
"Karnataka",5.1,40.3,26.2,12.1,7.7,8.7,2.1,11.2,39.1,5.4,23.6,18.5
"Kerala",0.7,4.5,7.6,5.4,16.2,65.5,15.6,0.0,31.7,14.6,6.3,31.9
"Madhya Pradesh",5.4,17.9,22.8,16.8,18.6,18.5,1.9,11.8,20.3,13.8,11.7,40.5
"Maharashtra",9.3,10.8,16.6,16.5,17.5,29.3,7.9,6.9,13.6,8.6,17.4,45.6
"Orissa",6.8,23.0,21.0,14.0,14.8,20.5,1.7,14.8,20.8,14.3,22.5,26.0
"Punjab",0.9,8.6,20.0,11.5,28.0,30.9,2.9,0.9,12.9,21.4,22.9,39.1
"Rajasthan",1.9,10.2,14.1,19.6,30.4,23.9,2.0,3.6,20.2,20.9,22.3,31.1
"Tamil Nadu",7.6,16.8,22.3,12.0,18.5,22.9,3.8,6.8,27.4,16.6,11.2,34.1
"Uttar Pradesh",4.2,11.1,15.0,12.2,23.5,34.0,1.5,9.2,23.0,23.0,22.9,20.4
"Uttrakhand",3.0,17.1,22.4,14.8,20.8,21.9,0.0,0.0,63.9,34.4,0.6,1.1
"West Bengal",4.6,8.3,30.3,18.3,23.7,14.9,2.6,5.6,31.4,18.6,16.2,25.6
"Delhi",0.0,1.3,3.5,7.9,16.5,70.9,0.0,0.0,14.5,8.6,0.0,77.0
"Chandigarh",4.7,15.4,11.0,29.0,22.9,17.0,0.0,0.0,0.0,37.4,2.2,60.4
"Arunachal Pradesh",3.6,13.2,28.4,3.1,22.1,29.6,0.0,0.0,33.3,33.3,21.7,11.6
"Manipur",0.0,1.8,5.9,8.0,25.5,58.8,0.0,0.0,40.8,7.3,7.5,44.5
"Meghalaya",2.8,5.4,13.0,6.5,28.4,43.9,0.0,0.0,27.5,5.5,5.3,61.8
"Mizoram",28.4,16.1,8.5,5.2,16.3,25.5,0.0,0.0,33.3,33.3,0.0,33.3
"Nagaland",0.0,0.0,6.6,9.3,14.8,69.4,0.0,0.0,2.0,4.7,18.3,75.0
"Tripura",0.6,3.4,6.8,17.4,20.7,51.1,0.0,0.0,17.7,0.9,9.9,71.5
"Sikkim",0.0,10.2,32.9,26.5,17.1,13.4,0.0,0.0,20.0,43.7,14.0,22.3
"Dadar & Nagar Haveli",4.7,0.0,0.0,32.2,30.1,33.1,0.0,0.0,6.0,31.0,9.5,53.6
"Daman & Diu",0.0,0.0,10.7,7.0,50.7,31.5,0.0,0.0,0.0,0.0,3.3,96.7
"Goa",3.6,0.0,0.0,4.2,12.1,80.1,0.0,0.0,0.0,7.1,0.0,92.9
"Puducherry",0.0,19.1,47.1,8.0,7.7,18.0,0.0,15.1,56.0,0.0,9.7,19.2
"Andaman & Nicobar Islands",0.0,2.0,2.0,6.8,21.9,67.2,0.0,0.0,25.0,29.0,4.6,41.4
"All India",4.7,13.8,19.1,14.6,20.9,27.1,2.5,7.8,25.9,19.4,15.5,28.8
