-----
{
 "description": "The table provides details regarding the access to Safe Drinking Water to Households in India. It gives the figures relating to the access to safe drinking water in Rural and Urban households (through Tap, Handpump or Tubewell) for the years 1991, 2001 and 2011.\r", 
 "file_name": "tab96.xls", 
 "title": "Download XLS for Household&#039;s access to safe drinking water(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab96.xls"
}
-----
"9.6 : ACCESS TO SAFE DRINKING WATER IN HOUSEHOLDS IN INDIA ","","","","","","","","","","","","","A126"
"","","","","","","","","","","","","","(in per cent)"
"Sl. No.","States/ Union Territorries ","Tap/Handpump/Tubewell","","","","","","","","","","",""
"","",1981.0,"","",1991.0,"","",2001.0,"","",2011.0,"",""
"","","Total","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban"
1.0,"Jammu & Kashmir",40.3,28.0,86.7,"na","na","na",65.2,54.9,95.7,76.8,70.1,96.1
2.0,"Himachal Pradesh",44.5,39.6,89.6,77.3,75.5,91.9,88.6,87.5,97.0,93.7,93.2,97.8
3.0,"Punjab",84.6,81.8,91.1,92.7,92.1,94.2,97.6,96.9,98.9,97.6,96.7,98.9
4.0,"Chandigarh",99.1,94.4,99.4,97.7,98.1,97.7,99.8,99.9,99.8,99.3,98.7,99.4
5.0,"Uttarakhand","a","a","a","a","a","a",86.7,83.0,97.8,92.2,89.5,98.7
6.0,"Haryana",55.1,42.9,90.7,74.3,67.1,93.2,86.1,81.1,97.3,93.8,92.0,96.7
7.0,"Delhi",93.0,62.3,94.9,95.8,91.0,96.2,97.2,90.1,97.7,95.0,87.9,95.2
8.0,"Rajasthan",27.1,13.0,78.7,59.0,50.6,86.5,68.2,60.4,93.5,78.1,72.8,94.3
9.0,"Uttar Pradesh",33.8,25.3,73.2,62.2,56.6,85.8,87.8,85.5,97.2,95.1,94.3,97.9
10.0,"Bihar",37.6,33.8,65.4,58.8,56.5,73.4,86.6,86.1,91.2,94.0,93.9,94.7
11.0,"Sikkim",30.3,21.7,71.9,73.1,70.8,92.8,70.7,67.0,97.1,85.3,82.7,92.2
12.0,"Arunachal Pradesh",43.9,40.2,87.9,70.0,66.9,88.2,77.5,73.7,90.7,78.6,74.3,91.3
13.0,"Nagaland",45.6,43.4,57.2,53.4,55.6,45.5,46.5,47.5,42.3,53.8,54.6,51.8
14.0,"Manipur",19.5,12.9,38.7,38.7,33.7,52.1,37.0,29.3,59.4,45.4,37.5,60.8
15.0,"Mizoram",4.9,3.6,8.8,16.2,12.9,19.9,36.0,23.8,47.8,60.4,43.4,75.8
16.0,"Tripura",27.3,22.2,67.9,37.2,30.6,71.1,52.5,45.0,85.8,67.5,58.1,91.9
17.0,"Meghalaya",25.1,14.3,74.4,36.2,26.8,75.4,39.0,29.5,73.5,44.7,35.1,79.5
18.0,"Assam","na","na","na",45.9,43.3,64.1,58.8,56.8,70.4,69.9,68.3,78.2
19.0,"West Bengal",69.7,65.8,79.8,82.0,80.3,86.2,88.5,87.0,92.3,92.2,91.4,93.9
20.0,"Jharkhand","a","a","a","a","a","a",42.6,35.5,68.2,60.1,54.3,78.4
21.0,"Odisha",14.6,9.5,51.3,39.1,35.3,62.8,64.2,62.9,72.3,75.3,74.4,79.8
22.0,"Chhattisgarh","a","a","a","a","a","a",70.5,66.2,88.8,86.3,84.1,93.9
23.0,"Madhya Pradesh",20.2,8.1,66.7,53.4,45.6,79.4,68.4,61.5,88.6,78.0,73.1,92.1
24.0,"Gujarat",52.4,36.2,86.8,69.8,60.0,87.2,84.1,76.9,95.4,90.3,84.9,97.0
25.0,"Daman & Diu",54.5,46.4,67.0,71.4,56.9,86.8,96.3,94.9,98.9,98.7,97.8,99.0
26.0,"Dadra & Nagar Haveli",19.4,16.8,54.3,45.6,41.2,91.0,77.0,70.5,96.1,91.6,84.3,98.4
27.0,"Maharashtra",42.3,18.3,85.6,68.5,54.0,90.5,79.8,68.4,95.4,83.4,73.2,95.7
28.0,"Andhra Pradesh",25.9,15.1,63.3,55.1,49.0,73.8,80.1,76.9,90.2,90.5,88.6,94.5
29.0,"Karnataka",33.9,17.6,74.4,71.7,67.3,81.4,84.6,80.5,92.1,87.5,84.4,92.3
30.0,"Goa",22.5,8.6,52.3,43.4,30.5,61.7,70.1,58.3,82.1,85.7,78.4,90.4
31.0,"Lakshadweep",2.2,1.0,3.7,11.9,3.4,18.8,4.6,4.6,4.6,22.8,31.2,20.2
32.0,"Kerala",12.2,6.3,39.7,18.9,12.2,38.7,23.4,16.9,42.8,33.5,28.3,39.4
33.0,"Tamil Nadu",43.1,31.0,69.4,67.4,64.3,74.2,85.6,85.3,85.9,92.5,92.2,92.9
34.0,"Puducherry",80.6,76.9,84.2,88.8,92.9,86.1,95.9,96.6,95.5,97.8,99.6,97.0
35.0,"Andaman & Nicobar Islands",51.6,36.3,92.0,67.9,59.4,90.9,76.7,66.8,97.8,85.5,78.2,98.1
"","ALL INDIA",38.2,26.5,75.1,62.3,55.5,81.4,77.9,73.2,90.0,85.5,82.7,91.4
"Source:  Office of the Registrar General, India. Ministry of Home Affairs","","","","","","","","","","","","",""
"a : Created in 2001. Uttarakhand, Jharkhand and Chhattisgarh for 1991 are included under Uttar Pradesh, Bihar and Madhya Pradesh respectively.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"na: Not available as no census was carried out in Jammu & Kashmir during 1991.","","","","","","","","","","","","",""
