-----
{
 "description": "The table refers to district wise irrigation through supplemntary sources under surface flow schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Statetab4.13.csv", 
 "title": "Download CSV for Districtwise Irrigation through supplementary sources under Surface Flow Schemes for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statetab4.13.csv"
}
-----
State,District,Supplementary irrigation (Ha) - Kharif,Supplementary irrigation (Ha) - Rabi,Supplementary irrigation (Ha) - Perennial,Supplementary irrigation (Ha) - Others,Total
ANDHRA PRADESH,ADILABAD,2712,7,0,0,2719
ANDHRA PRADESH,ANANTHAPUR,36,36,0,0,72
ANDHRA PRADESH,CHITTOOR,62,38,0,0,100
ANDHRA PRADESH,CUDDAPAH,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,598,25,0,0,623
ANDHRA PRADESH,GUNTUR,1136,6,0,0,1142
ANDHRA PRADESH,HYDERABAD,0,0,0,0,0
ANDHRA PRADESH,KARIMNAGAR,644,1916,2,0,2562
ANDHRA PRADESH,KHAMMAM,3889,623,0,0,4512
ANDHRA PRADESH,KRISHNA,857,438,57,5,1357
ANDHRA PRADESH,KURNOOL,608,431,0,0,1039
ANDHRA PRADESH,MAHABOOB NAGAR,620,522,1,0,1143
ANDHRA PRADESH,MEDAK,824,27,84,43,978
ANDHRA PRADESH,NALGONDA,5518,5046,0,0,10564
ANDHRA PRADESH,NELLORE,5473,14723,433,0,20629
ANDHRA PRADESH,NIZAMABAD,6884,565,2,0,7451
ANDHRA PRADESH,PRAKASAM,2345,173,0,4,2522
ANDHRA PRADESH,RANGA REDDY,226,0,0,0,226
ANDHRA PRADESH,SRIKAKULUM,25918,258,0,0,26176
ANDHRA PRADESH,VIJAYA NAGARAM,913,77,0,0,990
ANDHRA PRADESH,VISAKHAPATNAM,233,5,211,0,449
ANDHRA PRADESH,WARANGAL,3692,948,15,0,4655
ANDHRA PRADESH,WEST GODAVARI,480,0,0,0,480
ARUNACHAL PRADESH,CHANGLANG,19,0,0,0,19
ARUNACHAL PRADESH,DIBANG VALLEY,0,0,0,0,0
ARUNACHAL PRADESH,EAST KAMENG,0,0,0,0,0
ARUNACHAL PRADESH,EAST SIANG,46,0,0,395,441
ARUNACHAL PRADESH,LOHIT,84,0,0,0,84
ARUNACHAL PRADESH,LOWER SUBANSIRI,0,0,0,0,0
ARUNACHAL PRADESH,PAPUM PARE,375,0,0,7,382
ARUNACHAL PRADESH,TAWANG,0,0,0,0,0
ARUNACHAL PRADESH,TIRAP,0,0,0,0,0
ARUNACHAL PRADESH,UPPER SIANG,368,78,12,9,467
ARUNACHAL PRADESH,UPPER SUBANSIRI,9,10,0,0,19
ARUNACHAL PRADESH,WEST KAMENG,0,0,0,0,0
ARUNACHAL PRADESH,WEST SIANG,0,0,0,0,0
ASSAM,BARPETA,0,0,0,0,0
ASSAM,BONGAIGAON,0,0,0,0,0
ASSAM,CACHAR,0,0,0,0,0
ASSAM,DARRANG,0,0,0,0,0
ASSAM,DHEMAJI,0,0,0,0,0
ASSAM,DHUBRI,0,0,0,0,0
ASSAM,DIBRUGARH,0,0,0,0,0
ASSAM,GOALPARA,0,0,0,0,0
ASSAM,GOLAGHAT,0,0,0,0,0
ASSAM,HAILAKANDI,NA,NA,NA,NA,NA
ASSAM,JORHAT,0,0,0,0,0
ASSAM,KAMRUP,0,0,0,0,0
ASSAM,KARBI ANGLONG,0,0,0,0,0
ASSAM,KARIMGANJ,0,0,0,0,0
ASSAM,KOKRAJHAR,0,0,0,0,0
ASSAM,LAKHIMPUR,0,0,0,0,0
ASSAM,MARIGAON,0,0,0,0,0
ASSAM,NAGAON,0,0,0,0,0
ASSAM,NALBARI,0,0,0,0,0
ASSAM,NORTH CACHAR HILLS,0,0,0,0,0
ASSAM,SIBSAGAR,0,0,0,0,0
ASSAM,SONITPUR,0,0,0,0,0
ASSAM,TINSUKIA,0,0,0,0,0
BIHAR,ARARIA,0,0,0,0,0
BIHAR,AURANGABAD,NA,NA,NA,NA,NA
BIHAR,BANKA,1972,441,25,0,2438
BIHAR,BEGUSARAI,0,0,0,0,0
BIHAR,BHABUA,631,567,0,0,1198
BIHAR,BHAGALPUR,28,8,0,0,36
BIHAR,BHOJPUR,2300,235,10,0,2545
BIHAR,BOKARO,219,138,0,0,357
BIHAR,BUXAR,183,101,0,0,284
BIHAR,CHAMPARAN EAST,0,0,0,0,0
BIHAR,CHAMPARAN WEST,92,54,0,1,147
BIHAR,CHATRA,93,44,0,0,137
BIHAR,DARBHANGA,0,0,0,0,0
BIHAR,DEOGHAR,49,18,7,1,75
BIHAR,DHANBAD,91,13,0,5,109
BIHAR,DUMKA,355,55,7,26,443
BIHAR,GARHWA,748,158,26,0,932
BIHAR,GAYA,6536,243,0,0,6779
BIHAR,GIRIDIH,1448,669,14,2,2133
BIHAR,GODDA,1917,1404,94,5,3420
BIHAR,GOPALGANJ,NA,NA,NA,NA,NA
BIHAR,GUMLA,32,58,40,0,130
BIHAR,HAZARIBAG,204,50,0,6,260
BIHAR,JAMUI,3468,1149,217,180,5014
BIHAR,JEHANABAD,1045,699,1,10,1755
BIHAR,KATIHAR,NA,NA,NA,NA,NA
BIHAR,KHAGARIA,0,0,0,0,0
BIHAR,KISHANGANJ,NA,NA,NA,NA,NA
BIHAR,KODARMA,0,0,0,0,0
BIHAR,LAKHISARAI,345,25,0,0,370
BIHAR,LOHARDAGA,0,0,0,0,0
BIHAR,MADHEPURA,0,0,0,0,0
BIHAR,MADHUBANI,116,96,0,0,212
BIHAR,MUNGER,1592,355,0,0,1947
BIHAR,MUZAFFARPUR,0,0,0,0,0
BIHAR,NALANDA,1089,132,10,0,1231
BIHAR,NAWADA,1757,2,183,0,1942
BIHAR,PAKUR,19,3,0,0,22
BIHAR,PALAMU,1229,436,44,44,1753
BIHAR,PATNA,4564,2934,92,10,7600
BIHAR,PURNIA,14,14,0,0,28
BIHAR,RANCHI,194,59,64,22,339
