-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "AndamanGSDPconst.csv", 
 "title": "Download CSV for A &amp; N Islands Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/AndamanGSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003"
"Agriculture","12979","13020","12713","12793","12754","12603","12352","13432","14282","15275"
"Foresty and Logging","4637","4547","4463","4004","2734","2652","2106","1794","570","435"
"Fishing","3781","3854","3817","3896","3717","4071","4072","3230","3190","3687"
"Mining and Quarrying","139","148","608","216","194","172","220","221","747","373"
"Sub total of primary","21536","21569","21601","20909","19399","19498","18750","18677","18789","19770"
"Manufacturing","4146","4944","4772","6033","6241","3876","3913","1923","2035","2125"
"Manu-Registered","2619","3376","2956","4121","4060","1700","1715","619","368","220"
"Manu-Unregistered","1527","1568","1816","1912","2181","2176","2198","1304","1667","1905"
"Construction","5847","8986","8429","8653","10928","9496","12730","14348","17010","15442"
"Electricity, Gas and water Supply","114","-175","-25","1049","515","-1420","-2047","-2429","-3490","-3120"
"Sub total of secondary","10107","13755","13176","15735","17684","11952","14596","13842","15555","14447"
"Transport Storage and Communication","2912","3820","2777","2589","3084","1694","2521","-1330","-1429","941"
"Railways","0","0","0","0","0","0","0","0","0","0"
"Transport by other means","2589","3465","2362","2130","2482","1075","1809","-2366","-2537","-403"
"Storage","0","0","0","0","0","0","0","0","0","0"
"Communication","323","355","415","459","602","619","712","1036","1108","1344"
"Trade, hotels and restaurants","5027","5500","6125","6634","7261","7545","8189","7140","7967","7148"
"Banking and Insurance","724","757","941","1841","1440","1673","1677","1285","1339","1550"
"Real estate, ownership of dwelling and business","1784","1849","1909","1968","2030","2093","2183","2443","2516","2633"
"Pubic Administration","4969","4723","4967","5271","7124","8819","9803","10708","9250","8764"
"Other Services","3810","4098","4233","4682","6201","6541","7072","8802","8328","9144"
"Sub total of tertiary","19226","20747","20952","22985","27140","28365","31445","29048","27971","30180"
"State domestic product","50869","56071","55729","59629","64223","59815","64791","61567","62315","64397"

"Figures are in Rs. Lakh"
