-----
{
 "description": "The table refers to block wise distribution of dugwells according to the farmers holding size. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.3.csv", 
 "title": "Download CSV for Block wise Distribution of Dugwells according to the holding size for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.3.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of dugwells by status. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.6.csv", 
 "title": "Download CSV for Block wise Distribution of Dugwells by its status for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.6.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of dugwells according to source of finance. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.7.csv", 
 "title": "Download CSV for Block wise Distribution of Dugwells according to Finance source for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.7.csv"
}
-----
-----
{
 "description": "The table refers to block wise culturable command area and potential created through dugwells. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.13.csv", 
 "title": "Download CSV for Block wise Culturable command area and potential created through Dugwells for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.13.csv"
}
-----
-----
{
 "description": "The table refers to village wise distribution of dugwells according to the farmers holding size. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "villdgwltab1.3.csv", 
 "title": "Download CSV for Village wise Distribution of Dugwells according to the holding size for 2nd census of minor irrigation schemes (1993-94)(External Link that opens in a new window)", 
 "url": "http://data.gov.in/sites/default/files/villdgwltab1.3.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of dugwells in The command of major/medium projects and average pumping hours. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.11_1.csv", 
 "title": "Download CSV for Block wise Dugwells in the command of major/medium projects and average pumping hours for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.11_1.csv"
}
-----
-----
{
 "description": "The table refers to block wise irrigation through supplementary sources. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "blckdgwltab1.15.csv", 
 "title": "Download CSV for Block wise Irrigation through supplementary sources with Dugwells for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdgwltab1.15.csv"
}
-----
"State","District","Block","Supplementary irrigation (Ha) - Kharif","Supplementary irrigation (Ha) - Rabi","Supplementary irrigation (Ha) - Perennial","Supplementary irrigation (Ha) - Others","Total"
"ANDHRA PRADESH","ADILABAD","ADILABAD",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","ASIFABAD",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","BAZARHATHNOOR",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","BEJJUR",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","BELA",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","BELLAMPALLE",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","BHAINSA",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","BHEEMINI",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","BOATH",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","CHENNUR",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","DAHEGAON",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","DANDEPALLE",350,168,2,0,520
"ANDHRA PRADESH","ADILABAD","DILAWARPUR",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","GUDIHATHNUR",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","ICHODA",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","INDERAVELLY",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","JAINAD",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","JAINOOR",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","JAIPUR",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","JANNARAM",68,36,0,0,104
"ANDHRA PRADESH","ADILABAD","KADDAM (PEDDUR)",2,0,0,0,2
"ANDHRA PRADESH","ADILABAD","KAGAZNAGAR",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","KASIPET",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","KERAMERI",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","KHANPUR",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","KOTAPALLE",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","KOUTHALA",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","KUBEER",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","KUNTALA",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","LAHESRA",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","LAXMANCHANDA",11,0,0,0,11
"ANDHRA PRADESH","ADILABAD","LUXETTIPET",227,103,0,1,331
"ANDHRA PRADESH","ADILABAD","MAMDA",1,0,0,0,1
"ANDHRA PRADESH","ADILABAD","MANCHERIAL",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","MANDAMARRI",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","MUDHOLE",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","NARNOOR",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","NENNAL",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","NERADIGONDA",0,0,0,0,0
