-----
{
 "description": "The table shows the Percentage of AWC providing different types of services which are reported by the AWW. The services provided at the AWC as part of the ICDS include Supplementary Nutrition, Immunisation, Health Check-ups, Referral Services, Pre-School Education, Nutrition & Health Education and ...", 
 "file_name": "ICDS_Table6.10.xls", 
 "title": "Download XLS for Percentage of AWC providing different types of services - Reported by the AWW", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table6.10.xls"
}
-----
"States/UTs ","Supplementary nutrition","Immunization","Health check-ups","Referral services","Pre-school education","Nutrition & health education","Kishori Shakti Yojana"
"Andhra Pradesh",100.0,99.0,95.1,96.7,96.7,97.8,79.5
"Assam",98.8,92.9,75.1,36.9,97.8,95.2,47.3
"Bihar",97.5,98.7,18.9,73.5,66.4,96.1,88.5
"Chhattisgarh",100.0,100.0,79.2,86.7,69.1,100.0,80.8
"Gujarat",100.0,100.0,90.4,97.7,100.0,87.4,22.8
"Haryana",100.0,100.0,100.0,83.3,98.3,87.2,16.4
"Himachal Pradesh",100.0,98.6,89.9,69.9,100.0,100.0,90.1
"Jammu and Kashmir",100.0,78.1,36.0,34.6,100.0,94.4,37.9
"Jharkhand",100.0,83.7,73.9,22.7,100.0,93.5,89.0
"Karnataka",100.0,100.0,89.7,76.6,98.7,98.7,86.3
"Kerala",100.0,92.2,85.0,87.8,96.9,98.6,20.9
"Madhya Pradesh",98.1,96.9,76.4,87.9,72.1,98.8,96.9
"Maharashtra",99.0,99.0,86.1,97.4,100.0,100.0,96.2
"Orissa",99.2,98.4,98.4,97.8,91.1,98.2,98.8
"Punjab",100.0,100.0,88.7,86.6,93.0,100.0,76.6
"Rajasthan",100.0,95.5,36.0,34.3,98.7,96.3,47.7
"Tamil Nadu",98.6,85.9,86.8,92.1,96.3,98.0,65.2
"Uttar Pradesh",100.0,94.9,35.9,20.3,63.6,86.3,82.8
"Uttrakhand",100.0,96.1,78.3,29.2,100.0,91.1,56.1
"West Bengal",99.5,55.4,54.9,14.3,99.5,96.2,7.1
"Delhi",100.0,100.0,100.0,89.2,100.0,100.0,100.0
"Chandigarh",100.0,100.0,100.0,100.0,100.0,100.0,0.0
"Arunachal Pradesh",100.0,78.2,0.0,0.0,63.1,15.3,35.3
"Manipur",100.0,84.0,28.0,80.0,100.0,100.0,0.0
"Meghalaya",100.0,100.0,73.5,100.0,100.0,93.5,0.0
"Mizoram",100.0,80.0,0.0,60.0,80.0,80.0,0.0
"Nagaland",100.0,54.8,17.6,86.3,88.7,88.7,0.0
"Tripura",100.0,5.4,22.7,4.6,100.0,100.0,20.8
"Sikkim",100.0,68.7,68.7,74.3,85.7,100.0,43.0
"Dadar & Nagar Haveli",100.0,100.0,100.0,80.0,100.0,100.0,20.0
"Daman & Diu",100.0,100.0,100.0,100.0,100.0,100.0,100.0
"Goa",100.0,100.0,60.0,100.0,100.0,80.0,80.0
"Puducherry",0.0,80.0,80.0,100.0,80.0,100.0,100.0
"Andaman & Nicobar Island",100.0,71.9,77.6,0.0,91.6,80.0,94.3
"All India",99.4,91.4,66.1,62.9,87.8,94.9,67.1
