-----
{
 "description": "The table refers to block wise culturable command area and potential created through Deep Tubewells . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.13.csv", 
 "title": "Download CSV for Block wise Culturable Command Area and Potential Created through Deep Tubewells for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.13.csv"
}
-----
-----
{
 "description": "The table refers to block wise distribution of Deep Tubewells according to water lifting device . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.8.csv", 
 "title": "Download CSV for Block wise Distribution of Deep Tubewells according to Water Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.8.csv"
}
-----
"State","District","Block","Submersible pumps","Turbine pumps","Others","Total"
"ANDHRA PRADESH","ADILABAD","ADILABAD",14,0,0,14
"ANDHRA PRADESH","ADILABAD","ASIFABAD",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BAZARHATHNOOR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BEJJUR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BELA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BELLAMPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BHAINSA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BHEEMINI",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","BOATH",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","CHENNUR",5,0,0,5
"ANDHRA PRADESH","ADILABAD","DAHEGAON",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","DANDEPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","DILAWARPUR",12,0,0,12
"ANDHRA PRADESH","ADILABAD","GUDIHATHNUR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","ICHODA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","INDERAVELLY",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","JAINAD",31,0,0,31
"ANDHRA PRADESH","ADILABAD","JAINOOR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","JAIPUR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","JANNARAM",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KADDAM (PEDDUR)",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KAGAZNAGAR",22,0,0,22
"ANDHRA PRADESH","ADILABAD","KASIPET",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KERAMERI",9,0,0,9
"ANDHRA PRADESH","ADILABAD","KHANPUR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KOTAPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KOUTHALA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KUBEER",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","KUNTALA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","LAHESRA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","LAXMANCHANDA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","LUXETTIPET",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","MAMDA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","MANCHERIAL",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","MANDAMARRI",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","MUDHOLE",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","NARNOOR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","NENNAL",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","NERADIGONDA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","NIRMAL",2,0,0,2
"ANDHRA PRADESH","ADILABAD","REBBENA",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","SARANGAPUR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","SIRPUR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","SIRPUR (T)",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","TALAMADUGU",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","TAMSI",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","TANDUR",1,0,0,1
"ANDHRA PRADESH","ADILABAD","TANUR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","TIRYANI",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","UTNUR",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","VEMANPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","ADILABAD","WANKDI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","AGALI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","AMADAGUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","AMARAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","ANANTAPUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","ATMAKUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BATHALAPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BELUGUPPA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BOMMANAHAL",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BRAHMASAMUDRAM",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BUKKAPATNAM",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","BUKKARAYASAMUDRAM",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","CHENNEKOTHAPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","CHILAMATHUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","D.HIREHAL",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","DHARMAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GANDLAPENTA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GARLADINNE",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GOOTY",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GORANTLA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GUDIBANDA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GUMMAGATA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","GUNTAKAL",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","HINDUPUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KADIRI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KALYANDRUG",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KAMBADUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KANAGANAPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KANEKAL",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KOTHACHERUVU",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KUDAIR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","KUNDURPI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","LEPAKSHI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","MADAKASIRA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","MUDIGUBBA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","NALLACHERUVU",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","NALLAMADA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","NAMBULAPULIKUNTA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","NARPALA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","OBULADEVARACHERUVU",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PAMIDI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PARIGI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PEDDAPAPPUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PEDDAVADUGUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PENUKONDA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PUTLUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","PUTTAPARTHI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","RAMAGIRI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","RAPTADU",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","RAYADURG",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","RODDAM",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","ROLLA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","SETTUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","SINGANAMALA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","SOMANDEPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","TADIMARRI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","TADPATRI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","TALUPULA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","TANAKAL",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","URAVAKONDA",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","VAJRAKARUR",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","VIDAPANAKAL",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","YADIKI",NA,NA,NA,NA
"ANDHRA PRADESH","ANANTHAPUR","YELLANUR",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","B.KOTHAKOTA",126,0,0,126
"ANDHRA PRADESH","CHITTOOR","BAIREDDIPALLE",4,0,0,4
"ANDHRA PRADESH","CHITTOOR","BANGARUPALEM",174,0,0,174
"ANDHRA PRADESH","CHITTOOR","BUCHINAIDU KHANDRIGA",8,0,0,8
"ANDHRA PRADESH","CHITTOOR","CHANDRAGIRI",34,0,0,34
"ANDHRA PRADESH","CHITTOOR","CHINNAGOTTIGALLU",21,0,0,21
"ANDHRA PRADESH","CHITTOOR","CHITTOOR",121,0,0,121
"ANDHRA PRADESH","CHITTOOR","CHOWDE[ALLE",83,1,2,86
"ANDHRA PRADESH","CHITTOOR","GANGADHARA NELLORE",434,0,0,434
"ANDHRA PRADESH","CHITTOOR","GANGAVARAM",43,0,0,43
"ANDHRA PRADESH","CHITTOOR","GUDIPALA",85,0,0,85
"ANDHRA PRADESH","CHITTOOR","GUDUPALLE",19,0,0,19
"ANDHRA PRADESH","CHITTOOR","GURRAMKONDA",156,1,0,157
"ANDHRA PRADESH","CHITTOOR","IRALA",206,0,0,206
"ANDHRA PRADESH","CHITTOOR","K.V.B. PURAM",5,0,0,5
"ANDHRA PRADESH","CHITTOOR","KALAKADA",47,0,0,47
"ANDHRA PRADESH","CHITTOOR","KALIKIRI",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","KAMACHANDRA PURAM",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","KAMBHAMVARIPALLE",18,0,0,18
"ANDHRA PRADESH","CHITTOOR","KARVETINAGAR",13,0,0,13
"ANDHRA PRADESH","CHITTOOR","KUPPAM",81,0,0,81
"ANDHRA PRADESH","CHITTOOR","KURABALAKOTA",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","MADANAPALLE",1,0,0,1
"ANDHRA PRADESH","CHITTOOR","MULAKALACHERUVU",67,0,0,67
"ANDHRA PRADESH","CHITTOOR","NAGALAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","NAGARI",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","NARAYANAVANAM",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","NIMMANAPALLE",15,0,0,15
"ANDHRA PRADESH","CHITTOOR","NINDRA",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","PAKALA",2,0,0,2
"ANDHRA PRADESH","CHITTOOR","PALAMANERU",60,0,0,60
"ANDHRA PRADESH","CHITTOOR","PALASAMUDRAM",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","PEDDAMANDYAM",60,0,0,60
"ANDHRA PRADESH","CHITTOOR","PEDDAPANJANI",8,0,0,8
"ANDHRA PRADESH","CHITTOOR","PEDDATHIPPASAMDRAM",245,0,0,245
"ANDHRA PRADESH","CHITTOOR","PENUMURU",187,0,0,187
"ANDHRA PRADESH","CHITTOOR","PICHATURU",62,0,0,62
"ANDHRA PRADESH","CHITTOOR","PILERU",28,0,0,28
"ANDHRA PRADESH","CHITTOOR","PULICHERLA",60,0,0,60
"ANDHRA PRADESH","CHITTOOR","PUNGANURU",118,0,0,118
"ANDHRA PRADESH","CHITTOOR","PUTHALAPATTU",113,0,12,125
"ANDHRA PRADESH","CHITTOOR","PUTTURU",24,0,0,24
"ANDHRA PRADESH","CHITTOOR","RAMAKUPPAM",131,0,0,131
"ANDHRA PRADESH","CHITTOOR","RAMASAMUDRAM",684,3,0,687
"ANDHRA PRADESH","CHITTOOR","RENIGUNTA",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","ROMPICHERLA",13,0,0,13
"ANDHRA PRADESH","CHITTOOR","SANTHIPURAM",290,0,0,290
"ANDHRA PRADESH","CHITTOOR","SATYAVEDU",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","SODAM",95,0,0,95
"ANDHRA PRADESH","CHITTOOR","SOMALA",207,1,0,208
"ANDHRA PRADESH","CHITTOOR","SRIKALAHASTI",5,0,0,5
"ANDHRA PRADESH","CHITTOOR","SRIRANGARAJAPURAM",37,0,0,37
"ANDHRA PRADESH","CHITTOOR","THAMBALLAPALLE",213,1,0,214
"ANDHRA PRADESH","CHITTOOR","THAVANAMPALLE",550,0,0,550
"ANDHRA PRADESH","CHITTOOR","THOTTAMBEDA",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","TIRUPATI (RURAL)",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","TIRUPATI (URBAN)",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","VADAMALAPETA",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","VARADAIAHPALEM",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","VAYALPAD",205,0,0,205
"ANDHRA PRADESH","CHITTOOR","VEDURUKUPPAM",39,0,0,39
"ANDHRA PRADESH","CHITTOOR","VENKATAGIRIKOTA",57,0,0,57
"ANDHRA PRADESH","CHITTOOR","VIJAYAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","YADAMARI",187,0,0,187
"ANDHRA PRADESH","CHITTOOR","YERPEDU",NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR","YERRAVARIPALEM",4,0,0,4
"ANDHRA PRADESH","CUDDAPAH","ATLUR",96,0,0,96
"ANDHRA PRADESH","CUDDAPAH","B.KODUR",64,0,0,64
"ANDHRA PRADESH","CUDDAPAH","BADVEL",79,0,0,79
"ANDHRA PRADESH","CUDDAPAH","BRAHMAMGARIMATHAM",124,0,0,124
"ANDHRA PRADESH","CUDDAPAH","CHAKARAYAPET",89,5,0,94
"ANDHRA PRADESH","CUDDAPAH","CHAPAD",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","CHENNAMANDEM",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","CHENNUR",5,0,0,5
"ANDHRA PRADESH","CUDDAPAH","CHINTHAKOMMADINNE",631,0,0,631
"ANDHRA PRADESH","CUDDAPAH","CHITVEL",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","CUDDAPAH",126,0,1,127
"ANDHRA PRADESH","CUDDAPAH","DUVVUR",501,40,0,541
"ANDHRA PRADESH","CUDDAPAH","GALIVEEDU",55,0,0,55
"ANDHRA PRADESH","CUDDAPAH","GOPAVARAM",45,0,0,45
"ANDHRA PRADESH","CUDDAPAH","JAMMALAMADUGU",27,0,0,27
"ANDHRA PRADESH","CUDDAPAH","KALASAPADU",282,13,0,295
"ANDHRA PRADESH","CUDDAPAH","KAMALAPURAM",83,0,0,83
"ANDHRA PRADESH","CUDDAPAH","KHAJIPET",283,0,0,283
"ANDHRA PRADESH","CUDDAPAH","KODUR",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","KONDAPURAM",51,0,0,51
"ANDHRA PRADESH","CUDDAPAH","LAKKIREDDIPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","LINGALA",215,0,0,215
"ANDHRA PRADESH","CUDDAPAH","MUDDANUR",367,1,0,368
"ANDHRA PRADESH","CUDDAPAH","MYLAVARAM",37,0,0,37
"ANDHRA PRADESH","CUDDAPAH","NANDALUR",112,1,0,113
"ANDHRA PRADESH","CUDDAPAH","OBULAVARIPALLE",441,0,0,441
"ANDHRA PRADESH","CUDDAPAH","PEDDAMUDIUM",163,6,0,169
"ANDHRA PRADESH","CUDDAPAH","PENAGALUR",355,0,0,355
"ANDHRA PRADESH","CUDDAPAH","PENDLIMARRI",287,0,0,287
"ANDHRA PRADESH","CUDDAPAH","PORUMAMILLA",178,0,0,178
"ANDHRA PRADESH","CUDDAPAH","PRODDUTUR",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","PULIVENDLA",409,0,0,409
"ANDHRA PRADESH","CUDDAPAH","PULLAMPETA",449,1,0,450
"ANDHRA PRADESH","CUDDAPAH","RAJAMPET",697,0,1,698
"ANDHRA PRADESH","CUDDAPAH","RAJUPALEM",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","RAMAPURAM",8,0,0,8
"ANDHRA PRADESH","CUDDAPAH","ROYACHOTI",52,0,0,52
"ANDHRA PRADESH","CUDDAPAH","S.MYDUKUR",193,18,0,211
"ANDHRA PRADESH","CUDDAPAH","SAMBEPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","SIDHOUT",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","SIMHADRIPURAM",406,0,0,406
"ANDHRA PRADESH","CUDDAPAH","T.SUNDUPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","CUDDAPAH","THONDUR",163,0,0,163
"ANDHRA PRADESH","CUDDAPAH","VALLUR",23,0,0,23
"ANDHRA PRADESH","CUDDAPAH","VEERABALLE",9,0,0,9
"ANDHRA PRADESH","CUDDAPAH","VEERAPUNAYUNIPALLE",3,0,0,3
"ANDHRA PRADESH","CUDDAPAH","VEMPALLE",55,0,0,55
"ANDHRA PRADESH","CUDDAPAH","VEMULA",329,0,0,329
"ANDHRA PRADESH","CUDDAPAH","VONTIMITTA",314,0,0,314
"ANDHRA PRADESH","CUDDAPAH","YERRAGUNTLA",67,0,0,67
"ANDHRA PRADESH","EAST GODAVARI","ADDATEEGALA",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","AINAVILLI",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","ALAMURU",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","ALLAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","AMALAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","AMBAJIPETA",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","ANAPARTHY",67,0,0,67
"ANDHRA PRADESH","EAST GODAVARI","ATREYAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","BICCAVOLU",145,0,0,145
"ANDHRA PRADESH","EAST GODAVARI","DEVIPATNAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","GANDEPALLE",24,0,0,24
"ANDHRA PRADESH","EAST GODAVARI","GANGAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","GOKAVARAM",8,0,0,8
"ANDHRA PRADESH","EAST GODAVARI","GOLLAPROLU",146,0,0,146
"ANDHRA PRADESH","EAST GODAVARI","I. POLAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","JAGGAMPETA",1,0,0,1
"ANDHRA PRADESH","EAST GODAVARI","KADIAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAJULURU",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAKINADA RURAL",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAKINADA URBAN",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KAPILESWARAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KARAPA",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KATRENIKONA",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KIRLAMPUDI",1,0,0,1
"ANDHRA PRADESH","EAST GODAVARI","KORUKONDA",430,0,0,430
"ANDHRA PRADESH","EAST GODAVARI","KOTANANDURU",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KOTHAPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","KOTHAPETA",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MALIKIPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MAMIDIKUDURU",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MANDAPETA",89,0,0,89
"ANDHRA PRADESH","EAST GODAVARI","MAREDUMILLI",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","MUMMIDIVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","P.GANNAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PAMARRU",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PEDAPUDI",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PEDDAPURAM",270,0,0,270
"ANDHRA PRADESH","EAST GODAVARI","PITHAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","PRATHIPADU",26,7,0,33
"ANDHRA PRADESH","EAST GODAVARI","RAJAHMUNDRY RURAL",208,1,0,209
"ANDHRA PRADESH","EAST GODAVARI","RAJAHMUNDRY URBAN",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAJANAGARAM",553,5,0,558
"ANDHRA PRADESH","EAST GODAVARI","RAJAVOMMANGI",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAMACHANDRAPURAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAMPACHODAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RANGAMPETA",195,0,0,195
"ANDHRA PRADESH","EAST GODAVARI","RAVULAPALEM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAYAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","RAZOLE",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","SAKHINETIPALLE",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","SAMALKOTA",8,0,0,8
"ANDHRA PRADESH","EAST GODAVARI","SANKHAVARAM",4,0,0,4
"ANDHRA PRADESH","EAST GODAVARI","SEETHANAGARAM",79,0,0,79
"ANDHRA PRADESH","EAST GODAVARI","THALLAREVU",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","THONDANGI",50,0,0,50
"ANDHRA PRADESH","EAST GODAVARI","TUNI",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","UPPALAGUPTAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","Y. RAMAVARAM",NA,NA,NA,NA
"ANDHRA PRADESH","EAST GODAVARI","YELESWARAM",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","ACHAMPET",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","AMARAVATHI",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","AMRUTHALUR",NA,NA,NA,NA
"ANDHRA PRADESH","GUNTUR","BAPATLA",NA,NA,NA,NA
