-----
{
 "description": "The table gives the Index Numbers of Wholesale Prices for three Commodity Groups- primary articles, fuel, power lighting & lubricants, manufactured products on the base prices of 2004-05 and 1993-94. Also, Index for all commodities is provided since 1994-95.\r\r", 
 "file_name": "tab51.xls", 
 "title": "Download XLS for Index Numbers of Wholesale Prices(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab51.xls"
}
-----
"5.1 : INDEX NUMBERS OF WHOLESALE PRICES","","","","","","","","","","","","",""
"(Base: 2004-05=100)","","","","","","","","","","","","",""
"","Primary articles","","","","","Fuel","Manufactured products","","","","","","All"
"","Total","Food articles","","Non-","Mine-","power-","Total","Food","Tex-","Chemi-","Basic","Mach-","com-"
"","","Total","Food","Food","rals","light &","","pro-","tiles","cals &","metals,","inery &","modi"
"","","","grains","arti-","","lubri-","","ducts","","chemical","alloys & ","machine","ties"
"","","","","cles","","cants","","","","products","metal","tools",""
"","","","","","","","","","","","products","",""
"Weight-Base (1993-94)=100",22.03,15.4,5.01,6.14,0.49,14.23,63.75,11.54,9.8,11.93,8.34,8.36,100.0
"Weight-Base (2004-05)=100",20.11815,14.33709,4.08982,4.25756,1.5235,14.91021,64.97164,9.97396,7.32639,12.0177,10.74785,8.93148,100.0
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0
"Last week of (1993-94 = 100)","","","","","","","","","","","","",""
"1994-95",121.0,115.0,119.0,137.0,104.0,109.0,117.0,113.0,128.0,121.0,116.0,109.0,116.9
"1995-96",125.0,124.0,127.0,129.0,93.0,115.0,123.0,118.0,126.0,130.0,123.0,113.0,122.2
"1996-97",136.0,138.0,144.0,133.0,109.0,130.0,126.0,130.0,115.0,136.0,128.0,117.0,128.8
"1997-98",142.0,144.0,139.0,142.0,100.0,148.0,129.0,137.0,117.0,137.0,132.0,115.0,134.6
"1998-99",153.0,157.0,167.0,146.0,118.0,153.0,135.0,150.0,114.0,152.0,133.0,116.0,141.7
"1999-00",159.0,168.0,176.0,141.0,104.0,193.0,139.0,150.0,116.0,160.0,137.0,116.0,150.9
"2000-01",162.0,168.0,170.0,149.0,118.0,223.0,144.0,145.0,122.0,167.0,142.0,127.0,159.2
"2001-02",168.0,177.0,170.0,150.0,120.0,231.0,144.0,145.0,116.0,171.0,140.0,130.0,161.8
"2002-03",178.0,178.0,176.0,183.0,118.0,256.0,152.0,158.0,128.0,178.0,150.0,130.0,172.3
"2003-04",181.0,178.0,175.0,191.0,148.0,263.0,162.0,174.0,139.0,179.0,183.0,134.0,180.3
"2004-05",183.0,184.0,179.0,177.0,249.0,290.0,169.0,174.0,131.0,186.0,214.0,144.0,189.5
"Last month of (2004-05 = 100)","","","","","","","","","","","","",""
"2005-06",104.3,105.0,113.1,96.5,118.5,117.3,103.5,102.4,99.5,104.8,102.5,104.9,105.7
"2006-07",117.6,118.9,125.9,106.7,134.8,118.6,110.0,106.8,100.7,110.2,116.4,111.5,112.8
"2007-08",128.9,125.6,137.0,124.1,172.8,127.4,117.8,115.8,101.2,115.5,138.1,114.9,121.5
"2008-09",135.8,135.6,152.1,124.8,167.9,123.1,119.8,123.1,102.6,116.1,130.0,117.7,123.5
"2009-10",165.9,163.6,172.2,150.3,231.6,140.1,126.2,141.7,111.9,120.4,132.8,119.5,136.3
"2010-11",188.2,179.0,175.6,191.4,266.8,157.6,135.6,145.1,132.4,129.3,148.3,123.3,149.5
"2011-12",207.8,197.1,185.6,189.9,358.8,177.8,142.6,154.1,127.9,139.2,163.3,126.4,161.0
"Average of weeks (1993-94 = 100)","","","","","","","","","","","","",""
"1994-95",116.0,113.0,115.0,124.0,105.0,109.0,112.0,114.0,118.0,117.0,108.0,106.0,112.6
"1995-96",125.0,122.0,122.0,135.0,95.0,115.0,122.0,118.0,129.0,127.0,120.0,112.0,121.6
"1996-97",136.0,137.0,138.0,134.0,107.0,126.0,124.0,125.0,119.0,131.0,126.0,116.0,127.2
"1997-98",139.0,141.0,139.0,138.0,100.0,144.0,128.0,135.0,115.0,137.0,131.0,115.0,132.8
"1998-99",156.0,159.0,152.0,152.0,111.0,148.0,134.0,150.0,114.0,146.0,133.0,116.0,140.7
"1999-00",158.0,165.0,176.0,143.0,110.0,162.0,137.0,151.0,115.0,155.0,135.0,116.0,145.3
"2000-01",163.0,170.0,174.0,147.0,113.0,208.0,142.0,146.0,120.0,164.0,140.0,123.0,155.7
"2001-02",168.0,176.0,172.0,153.0,119.0,227.0,144.0,146.0,119.0,169.0,141.0,129.0,161.3
"2002-03",174.0,179.0,174.0,165.0,119.0,239.0,148.0,153.0,122.0,174.0,145.0,130.0,166.8
"2003-04",181.0,181.0,176.0,186.0,122.0,255.0,156.0,167.0,132.0,177.0,168.0,133.0,175.9
"2004-05",188.0,186.0,177.0,188.0,255.0,280.0,166.0,175.0,136.0,182.0,203.0,140.0,187.2
"Average of months (2004-05 = 100)","","","","","","","","","","","","",""
"2005-06",104.3,105.38,107.26,96.68,115.15,113.58,102.42,101.19,98.94,103.79,102.23,103.58,104.47
"2006-07",114.33,115.52,122.41,102.29,136.61,120.92,108.22,106.54,100.8,108.94,111.72,110.12,111.35
"2007-08",123.85,123.57,130.88,114.42,152.78,120.96,113.39,110.31,101.54,112.83,123.22,114.14,116.63
"2008-09",137.53,134.8,145.3,129.15,186.52,134.95,120.38,119.9,103.19,118.07,137.96,117.44,126.02
"2009-10",154.94,155.39,166.36,136.21,202.92,132.1,123.05,136.08,106.73,117.76,129.51,117.98,130.81
"2010-11",182.44,179.63,174.43,166.63,253.28,148.32,130.07,141.15,119.62,124.04,140.73,121.31,143.32
"2011-12",200.316666667,192.741666667,180.716666667,182.7,320.65,169.025,139.508333333,151.2,128.541666667,134.725,156.291666667,125.083333333,156.133333333
"2011-12","","","","","","","","","","","","",""
"April",196.8,186.8,175.5,192.2,303.6,159.5,136.6,146.2,133.8,131.0,149.3,123.9,152.1
"May",194.9,186.3,176.7,183.1,308.9,160.4,137.4,148.3,133.9,131.8,150.3,123.9,152.4
"June",195.9,188.8,177.0,181.1,303.6,161.6,137.9,148.8,132.2,132.2,151.5,124.0,153.1
"July",198.2,192.8,178.6,176.2,309.7,165.6,138.0,150.3,128.9,132.7,151.8,124.2,154.2
"August",199.4,193.7,180.2,181.8,301.9,167.1,138.4,150.9,126.6,133.0,154.1,124.6,154.9
"September",202.9,197.2,180.8,184.0,309.3,168.3,139.0,151.7,126.1,133.8,155.6,125.2,156.2
"October",204.3,199.0,183.1,178.0,313.0,170.0,139.6,152.0,126.0,135.0,157.0,125.2,157.0
"November ",201.8,196.5,182.4,176.6,322.5,171.6,140.4,152.5,126.4,135.6,159.4,125.5,157.4
"December ",198.9,190.9,182.1,179.2,328.7,172.7,140.9,153.3,126.3,136.5,160.3,125.7,157.3
"January",200.7,191.1,183.3,183.1,339.9,177.0,141.5,153.3,126.9,137.8,161.2,126.0,158.7
"February",203.0,192.4,183.5,186.8,348.1,176.7,141.8,153.2,127.4,137.9,162.0,126.3,159.3
"March",207.8,197.1,185.6,189.9,358.8,177.8,142.6,154.1,127.9,139.2,163.3,126.4,161.0
"2012-13","","","","","","","","","","","","",""
"April",215.6,207.2,188.9,194.9,351.9,178.8,143.8,155.5,128.7,140.3,165.9,126.4,163.5
"May",215.0,206.1,190.4,198.8,344.4,178.9,144.6,156.9,129.9,141.4,166.3,127.0,163.9
"June",215.0,209.4,193.3,194.1,326.6,181.1,145.3,157.6,130.2,141.9,166.8,127.7,164.7
"July",219.1,212.4,199.8,199.7,336.5,179.5,146.1,160.8,130.0,142.6,166.6,128.2,165.8
"August",221.8,211.8,207.6,207.4,356.6,181.7,147.2,164.9,130.7,143.4,166.5,128.3,167.3
"September",221.6,213.1,212.0,203.2,352.2,188.5,148.0,167.3,131.8,144.0,167.1,128.4,168.8
"October ",219.4,212.7,214.1,198.8,339.8,189.8,147.9,166.7,131.8,144.2,166.6,128.6,168.5
"November P",220.8,213.2,212.5,201.3,347.1,188.8,148.0,167.7,131.8,143.9,166.4,128.5,168.8
"December P",220.0,212.2,216.2,202.9,340.8,188.9,148.0,167.1,132.2,144.0,165.7,128.9,168.6
"Source : Office of the Economic Adviser, Ministry of Commerce & Industry. ","","","","","","","","","","","","",""
"P: Provisional","","","","","","","","","","","","",""
