-----
{
 "description": "The table refers to district wise distribution of Deep Tubewells to Average Pumping Hours during peak season. The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.11.csv", 
 "title": "Download CSV for District wise Distribution of Deep Tubewells according to Average Pumping Hours during peak season for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.11.csv"
}
-----
"State","District","Average pumping hours (0-4)","Average pumping hours (4-8)","Average pumping hours (8-12)","Average pumping hours (12-16)","Average pumping hours (16-20)","Average pumping hours (20-24)","Total"
"ANDHRA PRADESH","ADILABAD",31,47,15,3,0,0,96
"ANDHRA PRADESH","ANANTHAPUR",NA,NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR",2369,2423,569,80,22,3,5466
"ANDHRA PRADESH","CUDDAPAH",1197,4857,1759,107,20,20,7960
"ANDHRA PRADESH","EAST GODAVARI",73,637,1111,291,66,139,2317
"ANDHRA PRADESH","GUNTUR",0,667,0,0,0,0,667
"ANDHRA PRADESH","HYDERABAD",NA,NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","KARIMNAGAR",24,40,43,1,2,7,117
"ANDHRA PRADESH","KHAMMAM",18,411,41,46,21,0,537
"ANDHRA PRADESH","KRISHNA",8,298,252,287,2,1,848
"ANDHRA PRADESH","KURNOOL",93,1356,92,53,0,0,1594
"ANDHRA PRADESH","MAHABOOB NAGAR",67,26,16,0,0,0,109
"ANDHRA PRADESH","MEDAK",17,29,17,0,0,0,63
"ANDHRA PRADESH","NALGONDA",4,2,0,2,0,0,8
"ANDHRA PRADESH","NELLORE",6,146,39,4,18,0,213
"ANDHRA PRADESH","NIZAMABAD",NA,NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","PRAKASAM",6,160,12,0,0,0,178
"ANDHRA PRADESH","RANGA REDDY",4,22,49,6,1,4,86
"ANDHRA PRADESH","SRIKAKULUM",12,11,6,2,11,0,42
"ANDHRA PRADESH","VIJAYA NAGARAM",NA,NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM",3,14,1,0,0,0,18
"ANDHRA PRADESH","WARANGAL",106,76,24,7,0,0,213
"ANDHRA PRADESH","WEST GODAVARI",613,3263,3948,1755,1089,16,10684
"ARUNACHAL PRADESH","CHANGLANG",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI",NA,NA,NA,NA,NA,NA,NA
