-----
{
 "description": "The table refers to District wise Distribution of Surface Flow Schemes(Other Storage) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowstate4.15.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Flow Schemes(Other Storage) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcflowstate4.15.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"ANDHRA PRADESH","ADILABAD",246,98,344,1576,396,1973,1272,192,1464
"ANDHRA PRADESH","ANANTHAPUR",65,13,78,3061,636,3697,1130,153,1283
"ANDHRA PRADESH","CHITTOOR",74,12,86,1095,121,1216,269,25,294
"ANDHRA PRADESH","CUDDAPAH",152,13,165,2789,78,2867,332,4,336
"ANDHRA PRADESH","EAST GODAVARI",46,5,51,1096,117,1213,993,111,1104
"ANDHRA PRADESH","GUNTUR",9,2,11,218,2,220,217,1,218
"ANDHRA PRADESH","KARIMNAGAR",577,0,577,10179,0,10179,7532,0,7532
"ANDHRA PRADESH","KHAMMAM",654,145,799,8573,1475,10048,7948,1464,9412
"ANDHRA PRADESH","KRISHNA",20,10,30,584,6,590,472,6,478
"ANDHRA PRADESH","KURNOOL",6,3,9,155,3,158,110,1,111
"ANDHRA PRADESH","MAHABOOBNAGAR",982,548,1530,8317,1441,9757,2862,702,3564
"ANDHRA PRADESH","MEDAK",1300,0,1300,14252,0,14252,2364,0,2364
"ANDHRA PRADESH","NALGONDA",147,51,198,3951,614,4564,2830,185,3014
"ANDHRA PRADESH","NELLORE",13,22,35,218,1296,1514,138,1194,1332
"ANDHRA PRADESH","NIZAMABAD",253,6,259,2960,27,2987,1534,17,1551
"ANDHRA PRADESH","PRAKASAM",21,120,141,539,495,1034,276,330,606
"ANDHRA PRADESH","RANGAREDDY",22,47,69,449,649,1098,103,219,322
"ANDHRA PRADESH","SRIKAKULAM",154,2,156,4432,11,4443,4367,11,4378
"ANDHRA PRADESH","VISAKHAPATNAM",109,0,109,1850,0,1850,1673,0,1673
"ANDHRA PRADESH","VIZIANAGARAM",99,1,100,982,2,984,816,2,818
"ANDHRA PRADESH","WARANGAL",874,224,1098,35415,3841,39257,29038,3696,32734
"ANDHRA PRADESH","WEST GODAVARI",8,0,8,230,0,230,169,0,169
"ARUNACHAL PRADESH","CHANGLANG",31,5,36,642,359,1001,317,181,498
"ARUNACHAL PRADESH","DIBANG VALLEY",0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","EAST KAMENG",1,0,1,14,0,14,9,0,9
"ARUNACHAL PRADESH","EAST SIANG",13,16,29,785,145,930,779,135,914
"ARUNACHAL PRADESH","LOHIT",6,0,6,2004,0,2004,1063,0,1063
"ARUNACHAL PRADESH","LOWER SUBANSIRI",3,1,4,36,15,51,36,10,46
"ARUNACHAL PRADESH","PAPUMPARE",6,17,23,240,148,388,127,81,208
"ARUNACHAL PRADESH","TAWANG",2,0,2,71,0,71,47,0,47
"ARUNACHAL PRADESH","TIRAP",12,9,21,262,76,338,212,67,279
"ARUNACHAL PRADESH","UPPER SIANG",0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","UPPER SUBANSIRI",5,8,13,15,135,150,14,26,40
"ARUNACHAL PRADESH","WEST KAMENG",6,0,6,212,0,212,197,0,197
"ARUNACHAL PRADESH","WEST SIANG",14,0,14,218,0,218,143,0,143
"ASSAM","BARPETA",0,0,0,0,0,0,0,0,0
"ASSAM","BONGAIGAON",0,0,0,0,0,0,0,0,0
"ASSAM","CACHAR",2,2,4,10,20,30,10,20,30
"ASSAM","DARRANG",9,45,54,1210,1834,3044,910,1201,2111
"ASSAM","DHUBRI",0,0,0,0,0,0,0,0,0
"ASSAM","GOALPARA",16,22,38,3673,3110,6783,3099,2300,5399
"ASSAM","GOLAGHAT",0,0,0,0,0,0,0,0,0
"ASSAM","HAILAKANDI",0,0,0,0,0,0,0,0,0
"ASSAM","JORHAT",0,0,0,0,0,0,0,0,0
"ASSAM","KAMRUP",0,3,3,0,252,252,0,252,252
"ASSAM","KARBIANGLONG",63,18,81,1099,177,1276,1099,177,1276
"ASSAM","KARIMGANJ",0,0,0,0,0,0,0,0,0
"ASSAM","KOKRAJHAR",1,40,41,53,917,970,53,667,720
"ASSAM","LAKHIMPUR",0,0,0,0,0,0,0,0,0
"ASSAM","MORIGAON",1,1,2,5,20,25,5,20,25
"ASSAM","NAGOAN",5,10,15,101,458,559,94,455,549
"ASSAM","NALBARI",20,0,20,2358,0,2358,1332,0,1332
"ASSAM","NC HILLS",0,0,0,0,0,0,0,0,0
"ASSAM","SIBSAGAR",0,1,1,0,350,350,0,0,0
"ASSAM","SONITPUR",0,5,5,0,959,959,0,959,959
"BIHAR","ARARIA",0,0,0,0,0,0,0,0,0
"BIHAR","AURANGABAD",563,136,699,14925,2128,17054,10648,1824,12473
"BIHAR","BANKA",1432,161,1593,25285,1503,26787,20571,822,21393
"BIHAR","BEGUSARAI",2,0,2,6,0,6,4,0,4
"BIHAR","BHAGALPUR",269,57,326,2398,495,2893,1733,464,2196
"BIHAR","BHOJPUR",47,9,56,1457,414,1871,404,284,688
"BIHAR","BUXAR",0,4,4,0,33,33,0,25,25
"BIHAR","EAST CHAMPARAN",0,0,0,0,0,0,0,0,0
"BIHAR","GAYA",3266,356,3622,46091,5742,51833,36260,5207,41466
"BIHAR","GOPAALGANJ",0,1,1,0,2,2,0,0,0
"BIHAR","JAMUI",1322,216,1538,22467,1603,24070,19312,1228,20540
"BIHAR","JEHANABAD",134,60,194,3872,351,4223,3201,329,3529
"BIHAR","KAIMUR (BHABUA)",74,132,206,905,793,1698,736,749,1485
"BIHAR","KATIHAR",0,1,1,0,4,4,0,1,1
"BIHAR","LAKHISARAI",159,1,160,5629,65,5694,4598,50,4648
"BIHAR","MADHEPURA",0,0,0,0,0,0,0,0,0
"BIHAR","MADHUBANI",5,51,56,590,359,949,255,295,550
"BIHAR","MUNGER",73,1,74,3462,5,3467,2564,5,2569
"BIHAR","MUZAFFARPUR",0,0,0,0,0,0,0,0,0
"BIHAR","NALANDA",35,8,43,6195,1260,7455,6195,1260,7455
"BIHAR","NAWADA",692,49,741,18638,1266,19904,16914,1065,17979
"BIHAR","PATNA",15,0,15,130,0,130,125,0,125
"BIHAR","ROHTAS(SASARAM)",46,0,46,564,0,564,441,0,441
"BIHAR","SARAN",3,8,11,13,97,110,9,62,71
"BIHAR","SHEKHPURA",46,20,66,1783,459,2242,1186,389,1575
"BIHAR","SITAMARHI",0,3,3,0,13,13,0,13,13
"BIHAR","SIWAN",0,4,4,0,151,151,0,146,146
"BIHAR","SUPAUL",0,0,0,0,0,0,0,0,0
"BIHAR","VAISHALI",1,0,1,35,0,35,32,0,32
"BIHAR","WEST CHAMPARAN",0,11,11,0,63,63,0,53,53
"CHHATTISGARH","BASTER",13,460,473,70,282,352,9,184,193
"CHHATTISGARH","BILASPUR",13,10,23,194,20,214,136,20,156
"CHHATTISGARH","DANTEWADA",0,1,1,0,3,3,0,3,3
"CHHATTISGARH","DHAMTARI",10,0,10,301,0,301,282,0,282
"CHHATTISGARH","DURG",68,10,78,5079,120,5199,2682,53,2734
"CHHATTISGARH","JANJGIR-CHAMPA",104,0,104,118,0,118,81,0,81
"CHHATTISGARH","JASHPUR",3,20,23,74,11,85,73,10,83
"CHHATTISGARH","KANKER",8,14,22,2290,54,2344,1600,21,1621
"CHHATTISGARH","KORBA",8,127,135,355,106,461,340,105,445
"CHHATTISGARH","KORIA",6,7,13,325,7,332,74,6,81
"CHHATTISGARH","KVARDHA",1,127,128,15,90,105,0,84,84
"CHHATTISGARH","MAHASAMUND",21,18,39,1536,66,1603,830,27,857
"CHHATTISGARH","RAIGARH",34,477,511,1908,4172,6081,1537,4158,5694
"CHHATTISGARH","RAIPUR",29,30,59,1134,229,1363,1002,215,1217
"CHHATTISGARH","RAJNANDGAON",56,95,151,5441,827,6267,4173,535,4708
"CHHATTISGARH","SURGUJA",66,57,123,5937,317,6255,970,279,1249
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",1,7,8,2,92,94,0,10,10
"DELHI","ALIPUR",0,0,0,0,0,0,0,0,0
"GOA","NORTH GOA",35,1679,1714,154,1991,2145,146,1930,2076
"GOA","SOUTH GOA",9,428,437,197,783,980,177,712,889
"GUJARAT","AHMEDABAD",44,2,46,674,81,755,492,66,558
"GUJARAT","AMRELI",0,0,0,0,0,0,0,0,0
"GUJARAT","BANASKANTHA",0,1,1,0,2,2,0,2,2
"GUJARAT","BHARUCH",26,24,50,3307,415,3722,442,0,442
"GUJARAT","BHAVNAGAR",0,0,0,0,0,0,0,0,0
"GUJARAT","DAHOD",11,0,11,293,0,293,4,0,4
"GUJARAT","DANG",0,0,0,0,0,0,0,0,0
"GUJARAT","GANDHINAGAR",0,0,0,0,0,0,0,0,0
"GUJARAT","JAMNAGAR",0,0,0,0,0,0,0,0,0
"GUJARAT","JUNAGADH",0,0,0,0,0,0,0,0,0
"GUJARAT","KACHCHH",0,0,0,0,0,0,0,0,0
"GUJARAT","KHEDA",0,0,0,0,0,0,0,0,0
"GUJARAT","MEHSANA",0,0,0,0,0,0,0,0,0
"GUJARAT","NARMADA",0,0,0,0,0,0,0,0,0
"GUJARAT","NAVSARI",0,0,0,0,0,0,0,0,0
"GUJARAT","PANCHMAHAL",83,0,83,5299,0,5299,0,0,0
"GUJARAT","PATAN",9,0,9,150,0,150,0,0,0
"GUJARAT","PORBANDAR",0,0,0,0,0,0,0,0,0
"GUJARAT","RAJKOT",23,5,28,106,30,136,0,0,0
"GUJARAT","SABARKANTHA",0,0,0,0,0,0,0,0,0
"GUJARAT","SURAT",27,1,28,7430,58,7488,352,58,410
"GUJARAT","SURENDRANAGAR",37,29,66,482,38,521,269,0,269
"GUJARAT","VADODARA",9,0,9,1201,0,1201,90,0,90
"GUJARAT","VALSAD",0,0,0,0,0,0,0,0,0
"HARYANA","AMBALA",0,0,0,0,0,0,0,0,0
"HARYANA","BHIWANI",0,0,0,0,0,0,0,0,0
"HARYANA","GURGAON",0,0,0,0,0,0,0,0,0
"HARYANA","KARNAL",0,0,0,0,0,0,0,0,0
"HARYANA","PANCHKULA",3,46,49,48,245,293,44,143,187
"HARYANA","REWARI",0,0,0,0,0,0,0,0,0
"HIMACHAL PRADESH","Bilaspur",7,9,16,50,15,65,50,15,65
"HIMACHAL PRADESH","Chamba",0,6,6,0,48,48,0,36,36
"HIMACHAL PRADESH","Hamirpur",6,23,29,26,46,72,25,39,64
"HIMACHAL PRADESH","Kangra",1,7,8,7,310,317,5,310,315
"HIMACHAL PRADESH","Kinnaur",0,0,0,0,0,0,0,0,0
"HIMACHAL PRADESH","Kullu",0,0,0,0,0,0,0,0,0
"HIMACHAL PRADESH","Lahul & Spiti",0,0,0,0,0,0,0,0,0
"HIMACHAL PRADESH","Mandi",42,15,57,167,104,271,161,91,252
"HIMACHAL PRADESH","Shimla",29,15,44,136,18,154,83,13,96
"HIMACHAL PRADESH","Sirmaur",0,25,25,0,327,327,0,235,235
"HIMACHAL PRADESH","Solan",66,77,143,462,300,762,383,244,628
"HIMACHAL PRADESH","Una",2,0,2,340,0,340,220,0,220
"JAMMU & KASHMIR","ANANTNAG",1,0,1,166,0,166,156,0,156
"JAMMU & KASHMIR","BADGAM",0,2,2,0,54,54,0,47,47
"JAMMU & KASHMIR","BARAMULLA",3,3,6,13,132,145,13,105,118
"JAMMU & KASHMIR","DODA",0,2,2,0,52,52,0,52,52
"JAMMU & KASHMIR","JAMMU",0,0,0,0,0,0,0,0,0
"JAMMU & KASHMIR","KARGIL",0,0,0,0,0,0,0,0,0
"JAMMU & KASHMIR","KATHUA",15,4,19,3114,415,3529,3044,394,3438
"JAMMU & KASHMIR","KUPWARA",0,0,0,0,0,0,0,0,0
"JAMMU & KASHMIR","LEH",0,0,0,0,0,0,0,0,0
"JAMMU & KASHMIR","POONCH",20,4,24,1052,254,1306,1032,254,1286
