-----
{
 "description": "The table refers to block wise distribution of surface lift schemes according to the farmers holding size. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblcktab5.3.csv", 
 "title": "Download CSV for Blockwise Distribution of surface lift schemes according to the holding size for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblcktab5.3.csv"
}
-----
"State","District","Block","Marginal (0-1 Ha)","Small (1-2 Ha)","Medium (2-10 Ha)","Big (Greater than 10 Ha)","Total"
"ANDHRA PRADESH","ADILABAD","ADILABAD",13,14,40,4,71
"ANDHRA PRADESH","ADILABAD","ASIFABAD",0,6,19,0,25
"ANDHRA PRADESH","ADILABAD","BAZARHATHNOOR",4,1,12,0,17
"ANDHRA PRADESH","ADILABAD","BELA",1,10,20,0,31
"ANDHRA PRADESH","ADILABAD","BHAINSA",0,0,2,0,2
"ANDHRA PRADESH","ADILABAD","BOATH",17,27,37,0,81
"ANDHRA PRADESH","ADILABAD","CHENNUR",0,1,2,3,6
"ANDHRA PRADESH","ADILABAD","DANDEPALLE",196,57,9,3,265
"ANDHRA PRADESH","ADILABAD","DILAWARPUR",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","INDERAVELLY",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","JAINAD",17,40,70,2,129
"ANDHRA PRADESH","ADILABAD","JAINOOR",0,1,3,0,4
"ANDHRA PRADESH","ADILABAD","KADDAM (PEDDUR)",7,4,3,3,17
"ANDHRA PRADESH","ADILABAD","KAGAZNAGAR",0,4,0,0,4
"ANDHRA PRADESH","ADILABAD","KASIPET",121,41,13,0,175
"ANDHRA PRADESH","ADILABAD","KERAMERI",0,3,0,0,3
"ANDHRA PRADESH","ADILABAD","KHANPUR",5,4,45,16,70
"ANDHRA PRADESH","ADILABAD","KUNTALA",7,21,32,2,62
"ANDHRA PRADESH","ADILABAD","LAHESRA",0,0,0,1,1
"ANDHRA PRADESH","ADILABAD","LUXETTIPET",98,59,14,2,173
"ANDHRA PRADESH","ADILABAD","MANCHERIAL",7,11,7,0,25
"ANDHRA PRADESH","ADILABAD","MUDHOLE",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","NARNOOR",1,0,0,0,1
"ANDHRA PRADESH","ADILABAD","NERADIGONDA",24,42,50,0,116
"ANDHRA PRADESH","ADILABAD","NIRMAL",17,88,61,1,167
"ANDHRA PRADESH","ADILABAD","SARANGAPUR",25,24,9,3,61
"ANDHRA PRADESH","ADILABAD","TALAMADUGU",44,40,49,0,133
"ANDHRA PRADESH","ADILABAD","TAMSI",10,32,53,1,96
"ANDHRA PRADESH","ADILABAD","TIRYANI",16,22,15,1,54
"ANDHRA PRADESH","ANANTHAPUR","TANAKAL",0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR","BUCHINAIDU KHANDRIGA",9,36,24,0,69
"ANDHRA PRADESH","CHITTOOR","RENIGUNTA",2,8,3,0,13
"ANDHRA PRADESH","CHITTOOR","THOTTAMBEDA",8,9,6,0,23
"ANDHRA PRADESH","CUDDAPAH","ATLUR",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","BADVEL",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","DUVVUR",2,2,0,0,4
"ANDHRA PRADESH","CUDDAPAH","KHAJIPET",4,1,8,19,32
"ANDHRA PRADESH","CUDDAPAH","PEDDAMUDIUM",6,6,13,0,25
"ANDHRA PRADESH","CUDDAPAH","RAMAPURAM",1,0,1,0,2
"ANDHRA PRADESH","CUDDAPAH","VALLUR",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","VONTIMITTA",0,0,1,0,1
"ANDHRA PRADESH","EAST GODAVARI","ADDATEEGALA",0,0,0,0,0
"ANDHRA PRADESH","EAST GODAVARI","ATREYAPURAM",8,5,0,0,13
"ANDHRA PRADESH","EAST GODAVARI","JAGGAMPETA",0,0,2,1,3
"ANDHRA PRADESH","EAST GODAVARI","KADIAM",0,0,0,0,0
"ANDHRA PRADESH","EAST GODAVARI","KAJULURU",0,0,1,1,2
"ANDHRA PRADESH","EAST GODAVARI","KAPILESWARAPURAM",6,3,7,0,16
"ANDHRA PRADESH","EAST GODAVARI","KARAPA",0,0,9,0,9
"ANDHRA PRADESH","EAST GODAVARI","KIRLAMPUDI",0,0,0,0,0
"ANDHRA PRADESH","EAST GODAVARI","PAMARRU",0,2,3,0,5
"ANDHRA PRADESH","EAST GODAVARI","PEDAPUDI",0,0,0,0,0
"ANDHRA PRADESH","EAST GODAVARI","PRATHIPADU",1,3,6,0,10
"ANDHRA PRADESH","EAST GODAVARI","RAJAHMUNDRY RURAL",0,0,0,0,0
"ANDHRA PRADESH","EAST GODAVARI","RAJAVOMMANGI",0,0,0,0,0
"ANDHRA PRADESH","EAST GODAVARI","RANGAMPETA",0,0,0,0,0
"ANDHRA PRADESH","EAST GODAVARI","SAMALKOTA",0,0,0,0,0
"ANDHRA PRADESH","EAST GODAVARI","THALLAREVU",0,0,0,1,1
"ANDHRA PRADESH","EAST GODAVARI","Y. RAMAVARAM",0,0,0,0,0
"ANDHRA PRADESH","GUNTUR","ACHAMPET",6,17,13,1,37
"ANDHRA PRADESH","GUNTUR","AMARAVATHI",11,17,30,5,63
"ANDHRA PRADESH","GUNTUR","BAPATLA",14,11,16,2,43
"ANDHRA PRADESH","GUNTUR","BELLAMKONDA",2,10,0,0,12
"ANDHRA PRADESH","GUNTUR","BOLLAPALLE",0,0,0,0,0
"ANDHRA PRADESH","GUNTUR","CHEBROLE",0,0,0,1,1
"ANDHRA PRADESH","GUNTUR","CHERUKUPALLE",1,0,0,0,1
"ANDHRA PRADESH","GUNTUR","CHILAKALURIPET",17,6,3,0,26
"ANDHRA PRADESH","GUNTUR","DACHEPALLE",11,51,24,1,87
"ANDHRA PRADESH","GUNTUR","EDLAPADU",6,15,11,0,32
"ANDHRA PRADESH","GUNTUR","GUNTUR",0,0,0,0,0
"ANDHRA PRADESH","GUNTUR","GURAZALA",2,9,13,0,24
"ANDHRA PRADESH","GUNTUR","IPUR",0,0,0,1,1
"ANDHRA PRADESH","GUNTUR","KAKUMANU",6,0,0,0,6
"ANDHRA PRADESH","GUNTUR","KARLAPALEM",0,0,25,0,25
"ANDHRA PRADESH","GUNTUR","KOLLUR",8,1,0,0,9
"ANDHRA PRADESH","GUNTUR","KROSURU",6,18,47,8,79
"ANDHRA PRADESH","GUNTUR","MACHERLA",0,0,0,3,3
"ANDHRA PRADESH","GUNTUR","MANGALAGIRI",0,0,0,0,0
"ANDHRA PRADESH","GUNTUR","MUPPALLA",5,6,2,0,13
"ANDHRA PRADESH","GUNTUR","NADENDLA",1,3,23,1,28
"ANDHRA PRADESH","GUNTUR","NAGARAM",18,28,56,5,107
"ANDHRA PRADESH","GUNTUR","NARASARAOPET",0,0,0,0,0
"ANDHRA PRADESH","GUNTUR","NIZAMPATNAM",2,17,10,1,30
"ANDHRA PRADESH","GUNTUR","NUZENDLA",0,5,88,0,93
"ANDHRA PRADESH","GUNTUR","PEDAKAKANI",0,0,0,2,2
"ANDHRA PRADESH","GUNTUR","PEDAKURAPADU",1,0,0,2,3
"ANDHRA PRADESH","GUNTUR","PEDANANDIPADU",0,0,0,2,2
"ANDHRA PRADESH","GUNTUR","PHIRANGIPURAM",0,1,0,0,1
"ANDHRA PRADESH","GUNTUR","PITTALAVANIPALEM",2,6,9,0,17
"ANDHRA PRADESH","GUNTUR","PONNUR",12,10,12,10,44
"ANDHRA PRADESH","GUNTUR","RAJUPALEM",7,12,28,0,47
"ANDHRA PRADESH","GUNTUR","REPALLE",43,8,3,0,54
"ANDHRA PRADESH","GUNTUR","SATTENAPALLE",1,14,70,3,88
"ANDHRA PRADESH","GUNTUR","SAV'PURAM KANUM'PUDI",1,0,6,13,20
"ANDHRA PRADESH","GUNTUR","TADEPALLE",33,14,15,2,64
"ANDHRA PRADESH","GUNTUR","TADIKONDA",2,29,9,0,40
"ANDHRA PRADESH","GUNTUR","TENALI",0,0,0,0,0
"ANDHRA PRADESH","GUNTUR","THULLUR",0,0,0,0,0
"ANDHRA PRADESH","GUNTUR","VATTICHERUKURU",0,0,0,2,2
"ANDHRA PRADESH","GUNTUR","VEMURU",3,4,0,0,7
"ANDHRA PRADESH","GUNTUR","VINUKONDA",11,25,83,14,133
"ANDHRA PRADESH","KARIMNAGAR","CHIGURUMAMIDI",0,0,0,0,0
"ANDHRA PRADESH","KARIMNAGAR","GAMBHIRAOPET",14,12,12,1,39
"ANDHRA PRADESH","KARIMNAGAR","KATARAM",0,0,0,0,0
"ANDHRA PRADESH","KARIMNAGAR","MALHARRAO MANDAL",0,0,0,0,0
"ANDHRA PRADESH","KARIMNAGAR","MANTHANI",0,0,0,0,0
"ANDHRA PRADESH","KARIMNAGAR","MANTHANI",18,27,19,1,65
"ANDHRA PRADESH","KARIMNAGAR","MUSTABAD",18,22,11,0,51
"ANDHRA PRADESH","KARIMNAGAR","ODELA",4,2,5,0,11
"ANDHRA PRADESH","KARIMNAGAR","RAIKAL",0,0,0,0,0
"ANDHRA PRADESH","KARIMNAGAR","SRIRAMPUR",14,64,55,5,138
"ANDHRA PRADESH","KARIMNAGAR","THIMMAPUR",0,0,0,0,0
"ANDHRA PRADESH","KARIMNAGAR","VELGATOOR",10,10,7,0,27
"ANDHRA PRADESH","KHAMMAM","ASWAPURAM",0,14,68,0,82
"ANDHRA PRADESH","KHAMMAM","ASWARAOPETA",3,13,15,0,31
"ANDHRA PRADESH","KHAMMAM","BAYYARAM",41,46,53,7,147
"ANDHRA PRADESH","KHAMMAM","BHADRACHALAM",5,64,29,1,99
"ANDHRA PRADESH","KHAMMAM","BONAKAL",4,1,15,0,20
"ANDHRA PRADESH","KHAMMAM","BURGAMPADU",60,50,30,0,140
"ANDHRA PRADESH","KHAMMAM","CHANDRUGONDA",0,0,0,0,0
"ANDHRA PRADESH","KHAMMAM","CHERLA",2,22,60,11,95
"ANDHRA PRADESH","KHAMMAM","CHINTHAKANI",0,0,0,0,0
"ANDHRA PRADESH","KHAMMAM","CHINTUR",84,44,15,0,143
"ANDHRA PRADESH","KHAMMAM","DUMMUGUDEM",0,3,12,27,42
"ANDHRA PRADESH","KHAMMAM","ENKURU",3,26,18,0,47
"ANDHRA PRADESH","KHAMMAM","GARLA",24,88,101,3,216
"ANDHRA PRADESH","KHAMMAM","GUNDALA",4,5,1,1,11
"ANDHRA PRADESH","KHAMMAM","JULURPAD",0,0,0,0,0
"ANDHRA PRADESH","KHAMMAM","KALLURU",3,7,11,3,24
"ANDHRA PRADESH","KHAMMAM","KHAMMAM (RURAL)",25,68,97,1,191
"ANDHRA PRADESH","KHAMMAM","KHAMMAM (URBAN)",5,16,31,5,57
"ANDHRA PRADESH","KHAMMAM","KOTHAGUDEM",29,77,32,10,148
"ANDHRA PRADESH","KHAMMAM","KUKUNOOR",1,1,90,36,128
"ANDHRA PRADESH","KHAMMAM","KUNAVARAM",22,135,326,140,623
"ANDHRA PRADESH","KHAMMAM","MADHIRA",48,24,51,4,127
"ANDHRA PRADESH","KHAMMAM","MANUGUR",0,4,22,14,40
"ANDHRA PRADESH","KHAMMAM","MUDIGONDA",0,0,0,0,0
"ANDHRA PRADESH","KHAMMAM","MULAKALAPALLE",1,183,0,0,184
"ANDHRA PRADESH","KHAMMAM","NELAKONDAPALLE",0,0,1,0,1
"ANDHRA PRADESH","KHAMMAM","PALWANCHA",29,50,19,0,98
"ANDHRA PRADESH","KHAMMAM","PENUBALLI",1,6,12,2,21
"ANDHRA PRADESH","KHAMMAM","PINAPAKA",0,7,4,0,11
"ANDHRA PRADESH","KHAMMAM","SATHUPALLE",7,12,16,0,35
"ANDHRA PRADESH","KHAMMAM","SINGARENI",0,0,0,0,0
"ANDHRA PRADESH","KHAMMAM","TEKULAPALLE",81,9,33,1,124
"ANDHRA PRADESH","KHAMMAM","THALLADA",6,51,101,10,168
"ANDHRA PRADESH","KHAMMAM","THIRUMALAYAPALEM",0,0,0,0,0
"ANDHRA PRADESH","KHAMMAM","VARARAMACHANDRAPURAM",58,86,171,39,354
"ANDHRA PRADESH","KHAMMAM","VELAIRPAD",1,8,99,26,134
"ANDHRA PRADESH","KHAMMAM","VEMSOOR",0,0,0,0,0
"ANDHRA PRADESH","KHAMMAM","VENKATAPURAM",44,76,230,0,350
"ANDHRA PRADESH","KHAMMAM","WAZEED",4,21,49,0,74
"ANDHRA PRADESH","KHAMMAM","WYRA",3,6,60,9,78
"ANDHRA PRADESH","KHAMMAM","YERRUPALEM",30,18,0,0,48
"ANDHRA PRADESH","KRISHNA","AGIRIPALLE",0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","BAPULAPADU",0,0,0,13,13
"ANDHRA PRADESH","KRISHNA","CHANDARLAPADU",0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","CHATRAI",0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","GAMPALAGUDEM",0,0,1,0,1
"ANDHRA PRADESH","KRISHNA","GANNAVARAM",0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","IBRAHIMPATNAM",0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","JAGGAYYAPETA",0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","KAIKALUR",0,1,7,1,9
"ANDHRA PRADESH","KRISHNA","KALIDINDI",0,0,0,2,2
"ANDHRA PRADESH","KRISHNA","KANCHIKACHERLA",0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","MANDAVALLI",0,1,3,0,4
"ANDHRA PRADESH","KRISHNA","MUDINEPALLE",0,6,15,0,21
"ANDHRA PRADESH","KRISHNA","MUSUNURU",0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","NAGAYALANKA",0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","NANDIGAMA",0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","NANDIVADA",0,0,1,1,2
"ANDHRA PRADESH","KRISHNA","PAMARRU",0,0,0,1,1
"ANDHRA PRADESH","KRISHNA","PEDANA",0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","PENAMALURU",0,1,0,2,3
"ANDHRA PRADESH","KRISHNA","REDDIGUDEM",0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","TIRUVURU",0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","UNGUTURU",0,0,0,2,2
"ANDHRA PRADESH","KRISHNA","VATSAVAI",0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","VEERULLAPADU",0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","VIJAYAWADA (URBAN)",0,0,0,0,0
