-----
{
 "description": "It provides details of Internal and Extra Budgetary Resources (IEBR) of public enterprises viz. Internal resources", 
 "file_name": "stat15.xls", 
 "title": "Download XLS for Resources of Public Enterprises(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/ub2013-14/eb/stat15.xls"
}
-----
"Expenditure Budget Vol. I, 2013-2014","","","","","","","","","",""
"","","","","","","","","","",""
"STATEMENT 15","","","","","","","","","",""
"RESOURCES OF PUBLIC ENTERPRISES","","","","","","","","","",""
"(In crores of Rupees)","","","","","","","","","",""
"","Revised 2012-2013","","","","","Budget 2013-2014","","","",""
"S.No. Name of Enterprise/Undertaking","Internal","Bonds/","E.C.B/","Others","Total","Internal","Bonds/","E.C.B/","Others","Total"
"","Resources","Debentures","Suppliers","","","Resources","Debentures","Suppliers","",""
"","","","Credit","","","","","Credit","",""
"","","","","","","","","","",""
"Department of Atomic Energy",2707.55,2927.0,"... ",110.0,5744.55,3534.3,4257.68,"... ",207.08,7999.06
"1. Bharatiya Nabhikiya Vidyut Nigam Limited (BHAVINI)","...","...","...",60.0,60.0,"...",7.68,"...",107.08,114.76
"2. Electonics Corporation of India Limited",44.0,"...","...","...",44.0,36.5,"...","...","...",36.5
"3. Indian Rare Earths Limited",122.05,"...","...","...",122.05,100.3,"...","...","...",100.3
"4. Nuclear Power Corporation of India Limited (NPCIL)",2523.0,2927.0,"...",50.0,5500.0,3130.5,4250.0,"...",100.0,7480.5
"5. Uranium Corporation of India Limited",18.5,"...","...","...",18.5,267.0,"...","...","...",267.0
"Ministry of Chemicals and Fertilisers",2971.75,"... ","... ","... ",2971.75,2770.71,"... ","... ","... ",2770.71
"Department of Fertilisers",2971.75,"... ","... ","... ",2971.75,2770.71,"... ","... ","... ",2770.71
"6. Fertilizer Corporation of India (FAGMIL)",11.11,"...","...","...",11.11,44.05,"...","...","...",44.05
"7. Krishak Bharti Cooperative Ltd.",522.0,"...","...","...",522.0,927.0,"...","...","...",927.0
"8. National Fertilizers Ltd.",2087.94,"...","...","...",2087.94,803.2,"...","...","...",803.2
"9. Projects and Development (India) Ltd.",5.57,"...","...","...",5.57,18.17,"...","...","...",18.17
"10. Rashtriya Chemicals and Fertilizers Ltd.",345.13,"...","...","...",345.13,978.29,"...","...","...",978.29
"Ministry of Civil Aviation",-161.93,"... ",508.59,2741.56,3088.22,1230.49,"... ",539.27,1895.64,3665.4
"11. Air India Charters Ltd.",-82.96,"...","...",87.96,5.0,"...","...","...","...","..."
"12. Air India Ltd.",637.28,"...",508.59,"...",1145.87,779.33,"...",539.27,"...",1318.6
"13. Airport Authority of India",-743.42,"...","...",2558.42,1815.0,384.36,"...","...",1875.64,2260.0
"14. Pawan Hans Helicopters Ltd.",27.17,"...","...",95.18,122.35,66.8,"...","...",20.0,86.8
"Ministry of Coal",6088.7,965.6,278.9,1769.39,9102.59,7579.67,1304.07,275.93,2144.54,11304.21
"15. Coal India Ltd",4100.0,"...","...","...",4100.0,5000.0,"...","...","...",5000.0
"16. Neyveli Lignite Corporation Limited",453.37,965.6,278.9,84.39,1782.26,690.97,1304.07,275.93,33.24,2304.21
"17. Singareni Colleries Co. Ltd.",1535.33,"...","...",1685.0,3220.33,1888.7,"...","...",2111.3,4000.0
"Ministry of Communications and Information Technology",6347.4,"... ","... ",208.37,6555.77,6935.94,"... ","... ",246.58,7182.52
"Department of Telecommunications",5893.48,"... ","... ","... ",5893.48,6439.93,"... ","... ","... ",6439.93
"18. Bharat Sanchar Nigam Limited",5409.0,"...","...","...",5409.0,5593.0,"...","...","...",5593.0
"19. C-DOT",40.0,"...","...","...",40.0,60.0,"...","...","...",60.0
"20. Mahanagar Telephone Nigam Limited",444.48,"...","...","...",444.48,786.93,"...","...","...",786.93
"Department of Electronics and Information Technology",453.92,"... ","... ",208.37,662.29,496.01,"... ","... ",246.58,742.59
"21. NIELIT/SAMEER/C-DAC.etc",453.92,"...","...",208.37,662.29,496.01,"...","...",246.58,742.59
"Ministry of Consumer Affairs, Food and Public Distribution",126.56,"... ","... ","... ",126.56,157.72,"... ","... ","... ",157.72
"Department of Food and Public Distribution",126.56,"... ","... ","... ",126.56,157.72,"... ","... ","... ",157.72
"22. Central Warehousing Corporation",126.56,"...","...","...",126.56,157.72,"...","...","...",157.72
"Ministry of Heavy Industries and Public Enterprises",1370.58,"... ","... ",57.0,1427.58,1794.08,"... ","... ","... ",1794.08
"Department of Heavy Industry",1370.58,"... ","... ",57.0,1427.58,1794.08,"... ","... ","... ",1794.08
"23. Andrew Yule and Company Limited",11.0,"...","...","...",11.0,43.0,"...","...","...",43.0
"24. Bharat Heavy Electricals Ltd.",1220.0,"...","...","...",1220.0,1375.0,"...","...","...",1375.0
"25. Bharat Yantra Nigam Limited",70.22,"...","...",10.0,80.22,28.0,"...","...","...",28.0
"26. Cement Corporation of India Limited",54.26,"...","...","...",54.26,113.29,"...","...","...",113.29
"27. Engineering Projects (India) Limited",8.1,"...","...","...",8.1,8.3,"...","...","...",8.3
"28. Fluid Control Research Institute",0.5,"...","...","...",0.5,0.8,"...","...","...",0.8
