-----
{
 "description": "The table refers to block wise distribution of surface flow schemes according to source of finance. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.7.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes according to Finance source for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.7.csv"
}
-----
State,District,Block,Government funds,Farmers saving,Loan & Saving,Subsidy & Bank loan,Subsidy only,Others,Total
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,0,4,0,0,0,0,4
ANDHRA PRADESH,ANANTHAPUR,GOOTY,0,3,0,0,0,0,3
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATA,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,5,9,1,0,0,0,15
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,32,0,1,0,0,1,34
ANDHRA PRADESH,ANANTHAPUR,KADIRI,57,7,4,0,0,0,68
ANDHRA PRADESH,ANANTHAPUR,KALYANDRUG,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,12,0,1,0,0,21,34
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,2,1,0,0,0,3,6
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,0,1,0,0,0,2,3
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,0,0,0,0,0,20,20
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,17,7,0,0,0,3,27
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,11,0,0,1,0,0,12
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,0,1,0,0,0,0,1
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,NAMBULAPULIKUNTA,64,1,0,0,0,0,65
ANDHRA PRADESH,ANANTHAPUR,NARPALA,0,9,0,0,0,2,11
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,0,1,0,0,0,0,1
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PARIGI,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PENUKONDA,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,2,0,0,0,0,0,2
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,RODDAM,1,1,0,0,0,0,2
ANDHRA PRADESH,ANANTHAPUR,ROLLA,5,1,2,0,0,0,8
ANDHRA PRADESH,ANANTHAPUR,SETTUR,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,1,0,0,0,0,0,1
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,0,0,0,0,0,2,2
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,0,1,0,0,0,0,1
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,58,0,0,0,0,0,58
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,2,0,0,0,0,0,2
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,27,6,13,1,0,1,48
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,0,0,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,YADIKI,0,1,0,0,0,0,1
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,0,1,0,0,0,0,1
ANDHRA PRADESH,CHITTOOR,B.KOTHAKOTA,4,0,0,0,0,0,4
ANDHRA PRADESH,CHITTOOR,BAIREDDIPALLE,46,0,0,0,0,0,46
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,1,0,0,0,0,0,1
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,2,0,0,0,0,0,2
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,2,0,0,0,0,0,2
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,11,0,0,0,0,0,11
ANDHRA PRADESH,CHITTOOR,CHITTOOR,4,3,6,0,0,1,14
ANDHRA PRADESH,CHITTOOR,CHOWDE[ALLE,19,0,0,0,0,0,19
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,2,0,0,0,0,0,2
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,5,0,0,0,0,0,5
ANDHRA PRADESH,CHITTOOR,GUDIPALA,4,0,0,0,0,0,4
ANDHRA PRADESH,CHITTOOR,GUDUPALLE,5,0,0,0,0,0,5
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,IRALA,3,0,0,0,0,0,3
ANDHRA PRADESH,CHITTOOR,K.V.B. PURAM,5,0,0,0,0,0,5
ANDHRA PRADESH,CHITTOOR,KALAKADA,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,KALIKIRI,6,0,0,0,0,0,6
ANDHRA PRADESH,CHITTOOR,KAMACHANDRA PURAM,2,2,0,0,0,0,4
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,4,0,0,0,0,0,4
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,2,0,0,0,0,0,2
ANDHRA PRADESH,CHITTOOR,KUPPAM,12,0,0,0,0,0,12
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,1,0,0,0,0,0,1
ANDHRA PRADESH,CHITTOOR,MADANAPALLE,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,2,0,0,0,0,0,2
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,2,0,0,0,0,0,2
ANDHRA PRADESH,CHITTOOR,NAGARI,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,4,0,0,0,0,0,4
ANDHRA PRADESH,CHITTOOR,NINDRA,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PAKALA,2,0,0,0,0,0,2
ANDHRA PRADESH,CHITTOOR,PALAMANERU,13,0,0,0,0,0,13
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,14,1,0,0,0,0,15
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,17,0,0,0,0,0,17
ANDHRA PRADESH,CHITTOOR,PEDDAPANJANI,4,0,0,0,0,0,4
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMDRAM,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PENUMURU,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PICHATURU,1,0,0,0,0,0,1
ANDHRA PRADESH,CHITTOOR,PILERU,30,0,3,1,22,1,57
ANDHRA PRADESH,CHITTOOR,PULICHERLA,1,0,1,0,0,0,2
ANDHRA PRADESH,CHITTOOR,PUNGANURU,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,1,0,0,0,0,0,1
ANDHRA PRADESH,CHITTOOR,PUTTURU,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,RAMAKUPPAM,41,0,0,0,0,4,45
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,1,0,0,0,0,0,1
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,SANTHIPURAM,50,0,0,0,0,0,50
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,4,1,0,0,0,0,5
ANDHRA PRADESH,CHITTOOR,SODAM,130,1,0,0,0,1,132
ANDHRA PRADESH,CHITTOOR,SOMALA,2,0,0,0,0,0,2
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,6,0,0,0,0,0,6
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,11,1,0,0,0,1,13
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,2,0,0,0,0,0,2
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,1,0,0,0,0,0,1
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDA,25,0,0,0,0,0,25
ANDHRA PRADESH,CHITTOOR,TIRUPATI (RURAL),4,0,0,0,0,0,4
ANDHRA PRADESH,CHITTOOR,TIRUPATI (URBAN),0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,1,0,0,0,0,0,1
ANDHRA PRADESH,CHITTOOR,VAYALPAD,8,0,0,0,0,0,8
ANDHRA PRADESH,CHITTOOR,VEDURUKUPPAM,4,0,0,0,0,2,6
ANDHRA PRADESH,CHITTOOR,VENKATAGIRIKOTA,1,0,0,0,0,0,1
ANDHRA PRADESH,CHITTOOR,VIJAYAPURAM,1,0,0,0,0,0,1
ANDHRA PRADESH,CHITTOOR,YADAMARI,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,YERPEDU,3,0,0,0,0,0,3
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,ATLUR,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,B.KODUR,2,2,0,0,0,6,10
ANDHRA PRADESH,CUDDAPAH,BADVEL,0,0,0,0,0,12,12
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATHAM,0,1,0,0,0,0,1
ANDHRA PRADESH,CUDDAPAH,CHAKARAYAPET,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,CHAPAD,1,0,0,0,0,0,1
ANDHRA PRADESH,CUDDAPAH,CHENNAMANDEM,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,CHENNUR,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,CHINTHAKOMMADINNE,1,1,0,0,0,2,4
ANDHRA PRADESH,CUDDAPAH,CHITVEL,2,0,0,0,0,0,2
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,0,0,0,0,0,2,2
ANDHRA PRADESH,CUDDAPAH,DUVVUR,0,3,0,0,0,0,3
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,1,0,0,0,0,0,1
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,5,0,0,0,0,0,5
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,2,1,0,0,0,0,3
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,KODUR,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,LINGALA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,8,0,0,0,0,4,12
ANDHRA PRADESH,CUDDAPAH,NANDALUR,26,0,0,0,0,0,26
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,3,0,0,0,0,0,3
ANDHRA PRADESH,CUDDAPAH,PENAGALUR,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,1,0,0,0,0,0,1
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,RAJUPALEM,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,0,0,0,0,0,1,1
ANDHRA PRADESH,CUDDAPAH,ROYACHOTI,15,9,0,0,0,4,28
ANDHRA PRADESH,CUDDAPAH,S.MYDUKUR,3,0,0,0,0,0,3
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,0,0,0,0,0,1,1
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,SIMHADRIPURAM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,CUDDAPAH,T.SUNDUPALLE,2,0,0,0,0,0,2
ANDHRA PRADESH,CUDDAPAH,THONDUR,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VALLUR,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,0,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,2,0,0,0,0,0,2
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,0,1,0,0,0,0,1
ANDHRA PRADESH,CUDDAPAH,VEMULA,1,0,0,0,0,1,2
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,4,0,0,1,0,1,6
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,1,2,0,0,0,1,4
ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,ALLAVARAM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,AMALAPURAM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHY,18,0,0,0,0,0,18
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,21,0,0,0,0,0,21
ANDHRA PRADESH,EAST GODAVARI,DEVIPATNAM,1,0,0,0,0,0,1
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,5,0,0,0,0,1,6
ANDHRA PRADESH,EAST GODAVARI,GANGAVARAM,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,0,1,0,0,0,1,2
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,1,0,0,0,0,0,1
ANDHRA PRADESH,EAST GODAVARI,I. POLAVARAM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,42,1,1,0,0,8,52
ANDHRA PRADESH,EAST GODAVARI,KADIAM,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KAKINADA RURAL,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KAKINADA URBAN,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KARAPA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KATRENIKONA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,7,0,0,0,0,0,7
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,2,0,0,0,0,0,2
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,0,0,0,0,0,1,1
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLE,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,MAMIDIKUDURU,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,14,0,0,1,0,0,15
ANDHRA PRADESH,EAST GODAVARI,MAREDUMILLI,5,2,0,0,0,0,7
ANDHRA PRADESH,EAST GODAVARI,MUMMIDIVARAM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,P.GANNAVARAM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,34,0,0,1,0,6,41
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,8,17,19,0,13,2,59
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY RURAL,1,0,0,0,0,0,1
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY URBAN,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,3,0,0,0,0,1,4
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,RAMACHANDRAPURAM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAMPACHODAVARAM,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,2,0,0,0,0,0,2
ANDHRA PRADESH,EAST GODAVARI,RAVULAPALEM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAYAVARAM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,SAKHINETIPALLE,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,9,0,0,0,0,0,9
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,0,0,0,0,0,2,2
ANDHRA PRADESH,EAST GODAVARI,TUNI,46,4,2,0,0,28,80
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,EAST GODAVARI,Y. RAMAVARAM,8,9,0,0,0,1,18
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,19,0,0,0,0,0,19
ANDHRA PRADESH,GUNTUR,ACHAMPET,5,0,0,0,0,0,5
ANDHRA PRADESH,GUNTUR,AMARAVATHI,0,0,0,0,0,1,1
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,BAPATLA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,0,0,0,0,0,2,2
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,0,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,CHEBROLE,0,0,0,0,0,0,0
